"Front","Back"
"What is momentum?","The product of mass and velocity"
"What is the formula for momentum","Momentum equals mass times velocity"
"What is the unit of momentum","Kilogram metres per second"
"What is conservation of momentum?","Total momentum before equals total momentum after in a closed system"
"What is an isolated system?","A system with no external forces"
"What is impulse?","Change in momentum"
"What is the formula for impulse","Impulse equals force times time"
"What is another formula for impulse","Change in momentum"
"What is the unit of impulse","Newton seconds"
"What happens when force acts for longer time","Smaller force needed for same change in momentum"
"What is elastic collision?","Collision where kinetic energy is conserved"
"What is inelastic collision?","Collision where kinetic energy is not conserved"
"What is explosion in physics","Object breaks into parts moving apart"
"What is recoil?","Backward motion due to conservation of momentum"
"What is Newtons second law in momentum form","Force equals rate of change of momentum"
"What is circular motion?","Motion of an object in a circular path"
"What is uniform circular motion?","Motion at constant speed in a circle"
"What is centripetal force?","Force acting towards centre of circle"
"What is the formula for centripetal force","Mass times velocity squared divided by radius"
"What is another centripetal force formula","Mass times angular velocity squared times radius"
"What is centripetal acceleration?","Acceleration towards centre of circle"
"What is the formula for centripetal acceleration","Velocity squared divided by radius"
"What is angular velocity?","Rate of change of angle"
"What is the formula for angular velocity","Angle divided by time"
"What is the relationship between angular and linear velocity","Velocity equals angular velocity times radius"
"What is period in circular motion","Time for one revolution"
"What is frequency in circular motion","Number of revolutions per second"
"What is the formula linking frequency and period","Frequency equals one divided by period"
"What is tangential velocity?","Velocity along tangent to circle"
"What happens if centripetal force is removed","Object moves in straight line tangent"
"What provides centripetal force in a car turning","Friction between tyres and road"
"What provides centripetal force for a satellite","Gravitational force"
"What is banking of roads","Tilting road to help provide centripetal force"
"What is conical pendulum?","Object moving in horizontal circle on string"
"What is tension in circular motion","Force in string towards centre"
"What is radial direction","Direction towards centre"
"What is tangential direction","Direction along path"
"What is angular acceleration?","Rate of change of angular velocity"
"What is projectile motion?","Motion under gravity with no other forces"
"What are horizontal forces in projectile motion","No forces if air resistance ignored"
"What are vertical forces in projectile motion","Gravity only"
"What is horizontal velocity in projectile motion","Constant"
"What is vertical velocity in projectile motion","Changes due to acceleration"
"What is acceleration in projectile motion","Constant downward g"
"What is time of flight","Total time object is in air"
"What is range?","Horizontal distance travelled"
"What is maximum height?","Highest point reached"
"What is velocity at highest point","Horizontal only vertical is zero"
"What is independence of components","Horizontal and vertical motions are separate"
"What is free fall?","Motion under gravity only"
"What is terminal velocity?","Constant speed when forces balance"
"What forces act at terminal velocity","Weight equals drag"
"What is drag force?","Air resistance opposing motion"
"What affects drag force","Speed shape surface area density"
"What is Stokes Law?","Drag proportional to velocity at low speeds"
"What is turbulent flow?","Irregular flow at high speeds"
"What is laminar flow?","Smooth flow at low speeds"
"What is Reynolds number?","Number describing flow type"
"What is a vector in circular motion","Velocity direction constantly changing"
"What changes in circular motion","Direction of velocity not speed"
"What is centripetal force direction","Towards centre"
"What is uniform speed?","Constant magnitude of velocity"
"What is non uniform circular motion","Speed changes"
"What is work done in circular motion","No work done by centripetal force"
"Why does centripetal force do no work","Force is perpendicular to motion"
"What is angular displacement","Angle moved in radians"
"What is radian?","Angle where arc length equals radius"
"What is one full revolution in radians","2 pi radians"
"What is linear speed formula","Distance divided by time"
"What is angular speed formula","Angle divided by time"
"What is the relationship between speed and radius","Greater radius increases speed at same angular velocity"
"What is centripetal force effect of mass","Greater mass increases force"
"What is centripetal force effect of speed","Greater speed increases force greatly"
"What is centripetal force effect of radius","Greater radius reduces force"
"What is escape velocity?","Minimum speed to escape gravitational field"
"What is gravitational force providing circular motion","Keeps planets in orbit"
"What is orbital motion?","Motion under gravity in circular or elliptical path"
"What is weightlessness in orbit","No normal reaction force felt"
"What is g force in circular motion","Force experienced due to acceleration"
"What is banking angle effect","Reduces reliance on friction"
"What is resolving forces in circular motion","Split into vertical and horizontal components"
"What is impulse graph","Force time graph"
"What does area under force time graph represent","Impulse"
"What is change in momentum direction in circular motion","Continuously changing"
"What is centripetal force always doing","Changing direction of velocity"
"What is angular momentum?","Momentum of rotating object"
"What is conservation of angular momentum","Angular momentum remains constant if no external torque"

