"Front","Back"
"What is respiration?","The process by which cells release energy from glucose."
"What is cellular respiration?","A series of metabolic reactions producing ATP."
"What is the overall equation for aerobic respiration?","Glucose + oxygen → carbon dioxide + water + energy."
"What molecule stores energy in cells?","ATP."
"What does ATP stand for?","Adenosine triphosphate."
"What happens when ATP is hydrolysed?","Energy is released."
"What does ATP break down into?","ADP and inorganic phosphate."
"What are the stages of aerobic respiration?","Glycolysis, link reaction, Krebs cycle and oxidative phosphorylation."
"Where does glycolysis occur?","Cytoplasm."
"What is glycolysis?","The breakdown of glucose into two pyruvate molecules."
"Does glycolysis require oxygen?","No."
"How many ATP are produced in glycolysis?","2 net ATP."
"What molecule is reduced during glycolysis?","NAD."
"What does NAD become when reduced?","Reduced NAD (NADH)."
"What is pyruvate?","The three-carbon molecule formed from glucose in glycolysis."
"What happens to pyruvate when oxygen is present?","It enters the mitochondria."
"What is the link reaction?","Conversion of pyruvate into acetyl CoA."
"Where does the link reaction occur?","Mitochondrial matrix."
"What is released in the link reaction?","Carbon dioxide."
"What molecule combines with coenzyme A?","Acetate."
"What is acetyl CoA?","A molecule entering the Krebs cycle."
"What is the Krebs cycle?","A series of reactions releasing energy from acetyl CoA."
"Where does the Krebs cycle occur?","Mitochondrial matrix."
"What is produced in the Krebs cycle?","Reduced NAD, reduced FAD, ATP and CO2."
"What is FAD?","An electron carrier molecule."
"What is reduced FAD?","FAD that has gained hydrogen."
"What stage produces most ATP?","Oxidative phosphorylation."
"Where does oxidative phosphorylation occur?","Inner mitochondrial membrane."
"What structure contains electron carriers?","Electron transport chain."
"What happens in the electron transport chain?","Electrons pass between proteins releasing energy."
"What does the released energy do?","Pumps protons across the membrane."
"What forms across the membrane?","A proton gradient."
"What is chemiosmosis?","Movement of protons down their gradient through ATP synthase."
"What enzyme produces ATP in mitochondria?","ATP synthase."
"What is oxidative phosphorylation?","ATP production using the electron transport chain."
"What is the final electron acceptor in respiration?","Oxygen."
"What happens if oxygen is absent?","Aerobic respiration stops."
"What is anaerobic respiration?","Respiration without oxygen."
"What is anaerobic respiration in animals?","Glucose → lactate."
"What is anaerobic respiration in yeast?","Glucose → ethanol + carbon dioxide."
"What is fermentation?","Anaerobic breakdown of glucose."
"What is lactate?","Product of anaerobic respiration in animals."
"What causes muscle fatigue?","Lactate accumulation."
"What is oxygen debt?","Extra oxygen needed to remove lactate."
"What happens to lactate in the liver?","Converted back to glucose."
"What is the ATP yield of aerobic respiration?","About 36 ATP per glucose."
"What is the ATP yield of anaerobic respiration?","2 ATP per glucose."
"What molecule provides electrons in respiration?","Reduced NAD and reduced FAD."
"What happens to electrons in oxidative phosphorylation?","They pass along the electron transport chain."
"What happens when electrons combine with oxygen?","Water forms."
"What is the role of mitochondria in respiration?","Site of aerobic respiration."
"What structure increases mitochondrial surface area?","Cristae."
"What is the mitochondrial matrix?","Fluid where the Krebs cycle occurs."
"What happens to carbon atoms from glucose?","Released as carbon dioxide."
"What type of reactions occur in respiration?","Redox reactions."
"What is oxidation?","Loss of electrons."
"What is reduction?","Gain of electrons."
"What is NAD?","Electron carrier molecule."
"What does NAD do in respiration?","Accepts hydrogen and electrons."
"What is metabolic energy used for?","Movement, synthesis and active transport."
"What is respiratory substrate?","A molecule used in respiration."
"What are examples of respiratory substrates?","Glucose, lipids and proteins."
"What is respiratory quotient (RQ)?","Ratio of CO2 produced to O2 used."
"What is the RQ for carbohydrates?","1.0."
"What is the RQ for lipids?","About 0.7."
"What is the RQ for proteins?","About 0.8."
"What does RQ indicate?","Which substrate is being respired."
"What instrument measures respiration rate?","Respirometer."
"What is a respirometer?","Device measuring oxygen consumption."
"What happens to pressure in respirometry?","It decreases as oxygen is used."
"What absorbs carbon dioxide in respirometers?","Potassium hydroxide."
"What factors affect respiration rate?","Temperature, substrate availability and oxygen."
"What happens to respiration when temperature rises?","Rate increases until enzymes denature."
"What is metabolic rate?","Speed of metabolism in organisms."
"What organisms respire?","All living organisms."
"What is respiration's purpose?","Release energy for cellular activities."
"What happens to glucose during respiration?","It is oxidised."
"What happens to oxygen during respiration?","It is reduced."
"What organelle is essential for aerobic respiration?","Mitochondrion."
"What is substrate-level phosphorylation?","ATP formation directly from metabolic reactions."
"What stage uses substrate-level phosphorylation?","Glycolysis and Krebs cycle."
"What is the electron transport chain made of?","Carrier proteins."
"What happens if the electron chain stops?","ATP production stops."
"What molecule carries hydrogen in respiration?","Reduced NAD."
"What is the link between respiration and photosynthesis?","Products of one are reactants of the other."
"What is the energy stored as during respiration?","ATP."
"What is the importance of respiration?","Provides energy for life processes."
"What processes require ATP?","Active transport, muscle contraction and biosynthesis."
"What is the role of enzymes in respiration?","Catalyse metabolic reactions."
"What would happen without respiration?","Cells could not release energy."
"What type of pathway is respiration?","A metabolic pathway."
"What is the significance of respiration for organisms?","Supports growth, repair and activity."
