"Front","Back"
"What is internal energy?","The total kinetic and potential energy of particles in a system"
"What is temperature?","A measure of the average kinetic energy of particles"
"What is absolute zero?","The lowest possible temperature where particles have minimum energy"
"What is absolute zero in Kelvin","0 K"
"What is the relationship between Celsius and Kelvin","Kelvin equals Celsius plus 273"
"What is specific heat capacity?","Energy needed to raise temperature of 1 kg by 1 degree"
"What is the formula for specific heat capacity","Energy equals mass times specific heat capacity times temperature change"
"What is the unit of specific heat capacity","Joules per kilogram per Kelvin"
"What is specific latent heat?","Energy needed to change state without temperature change"
"What is the formula for latent heat","Energy equals mass times specific latent heat"
"What is the unit of latent heat","Joules per kilogram"
"What is latent heat of fusion?","Energy to change solid to liquid"
"What is latent heat of vaporisation?","Energy to change liquid to gas"
"What happens during change of state","Temperature remains constant"
"What is thermal equilibrium?","When two objects are at same temperature"
"What is conduction?","Heat transfer through solids"
"What is convection?","Heat transfer by movement of fluids"
"What is radiation?","Heat transfer by electromagnetic waves"
"What type of waves transfer thermal radiation","Infrared waves"
"What is a perfect black body?","An object that absorbs all radiation"
"What is emission of radiation?","Transfer of energy away from surface"
"What affects rate of heat transfer","Surface area temperature difference material"
"What is insulation?","Reducing heat transfer"
"What is the kinetic theory of gases?","Model describing gas particles in motion"
"What assumptions are made in kinetic theory","Particles are small random and collide elastically"
"What is pressure in a gas?","Force per unit area from particle collisions"
"What is the formula for pressure","Pressure equals force divided by area"
"What is the unit of pressure","Pascal Pa"
"What is Boyle Law?","Pressure inversely proportional to volume at constant temperature"
"What is Charles Law?","Volume proportional to temperature at constant pressure"
"What is pressure law?","Pressure proportional to temperature at constant volume"
"What is the ideal gas equation","Pressure times volume equals number of moles times gas constant times temperature"
"What is the symbol for gas constant","R"
"What is the unit of gas constant","Joules per mole per Kelvin"
"What is number of moles?","Amount of substance"
"What is the formula for moles","Mass divided by molar mass"
"What is root mean square speed?","Measure of average particle speed"
"What affects kinetic energy of gas particles","Temperature"
"What happens when temperature increases","Particles move faster"
"What is internal energy change","Due to heating or work done"
"What is first law of thermodynamics","Change in internal energy equals energy added minus work done"
"What is work done by a gas","Energy transferred when gas expands"
"What happens during compression","Work done on gas increases energy"
"What happens during expansion","Gas does work on surroundings"
"What is isothermal process","Temperature remains constant"
"What is adiabatic process","No heat transfer"
"What is pressure volume graph","Graph showing gas behaviour"
"What does area under PV graph represent","Work done"
"What is thermal conductivity","Measure of how well a material conducts heat"
"What is thermal insulation example","Double glazing loft insulation"
"What is specific heat capacity practical","Heating known mass and measuring temperature change"
"What is latent heat practical","Measuring energy during state change"
"What is Brownian motion?","Random movement of particles in fluid"
"What causes Brownian motion","Collisions with molecules"
"What is diffusion?","Movement of particles from high to low concentration"
"What affects diffusion rate","Temperature particle mass medium"
"What is density of a gas","Mass per unit volume"
"What is pressure in terms of particles","Collisions with container walls"
"What is cooling curve","Graph showing temperature decrease over time"
"What is heating curve","Graph showing temperature increase over time"
"What happens at flat sections of heating curve","Change of state"
"What is thermal energy transfer","Movement of energy due to temperature difference"
"What is equilibrium in gases","Equal energy distribution"
"What is kinetic energy formula for particles","Half times mass times speed squared"
"What is mean kinetic energy","Average energy of particles"
"What is internal energy in solids","Vibrations of particles"
"What is internal energy in gases","Kinetic energy of moving particles"
"What is the effect of pressure increase","Particles collide more frequently"
"What is effect of volume decrease","Pressure increases"
"What is effect of temperature on pressure","Higher temperature increases pressure"
"What is gas constant equation rearranged","Pressure times volume divided by temperature equals constant"
"What is real gas?","Gas that does not follow ideal behaviour"
"What causes deviation from ideal gas","Intermolecular forces and volume of particles"
"What is energy transfer in conduction","Vibration and electron movement"
"What is convection current","Flow of fluid due to density differences"
"What is Stefan Boltzmann law","Power radiated proportional to temperature to the fourth power"
"What is emissivity","Measure of how well a surface emits radiation"
"What is specific latent heat of vaporisation","Energy to convert liquid to gas per kg"
"What is specific latent heat of fusion","Energy to convert solid to liquid per kg"

