Front,Back
What is globalisation?,The increasing interconnectedness of countries through trade investment culture technology and migration.
What are the main dimensions of globalisation?,Economic political social cultural and environmental.
What is economic globalisation?,The growth of international trade investment and financial flows between countries.
What is cultural globalisation?,The spread of ideas values brands and lifestyles across the world.
What is political globalisation?,The growth of international organisations and agreements that influence global governance.
What is a TNC?,A Transnational Corporation that operates in more than one country.
Why do TNCs locate production in LICs?,To reduce labour costs access new markets and reduce regulation costs.
What is outsourcing?,Moving part of a business process to another country to reduce costs.
What is offshoring?,Relocating production or services abroad.
What is foreign direct investment (FDI)?,Investment by a company in business operations in another country.
How do TNCs benefit host countries?,Job creation infrastructure investment and economic growth.
How can TNCs negatively impact host countries?,Low wages environmental damage and profit repatriation.
What is international trade?,The exchange of goods and services between countries.
What is a trade bloc?,A group of countries that reduce trade barriers between themselves.
What is the WTO?,The World Trade Organization which regulates global trade rules.
What is protectionism?,Policies such as tariffs or quotas designed to protect domestic industries.
What is a tariff?,A tax placed on imported goods.
What is comparative advantage?,When a country can produce a good at lower opportunity cost than another.
What is the development gap?,The difference in wealth and living standards between countries.
What is GDP?,Gross Domestic Product – the total value of goods and services produced.
What is GNI per capita?,Average income per person in a country.
What is HDI?,Human Development Index measuring health education and income.
What are core countries?,Wealthy developed countries dominating global trade and finance.
What are periphery countries?,Less developed countries often reliant on raw material exports.
What is the IMF?,International Monetary Fund providing financial support to countries in crisis.
What is a structural adjustment programme?,Economic reforms required by IMF loans.
What is the World Bank?,An institution providing loans for development projects.
What is the role of the WTO?,To reduce trade barriers and resolve trade disputes.
What is global governance?,The system of international rules institutions and agreements managing global issues.
What is migration?,The movement of people from one place to another.
What is international migration?,Movement of people across national borders.
What is a push factor?,A reason forcing people to leave a place.
What is a pull factor?,A reason attracting people to a place.
What is remittance?,Money sent home by migrants to their country of origin.
How do remittances benefit LICs?,They increase household income reduce poverty and stimulate local economies.
What is brain drain?,Loss of skilled workers from a country through migration.
What is brain gain?,When migrants bring skills and knowledge back to their home country.
What is economic interdependence?,Countries relying on each other for trade resources and investment.
What is political interdependence?,Countries cooperating through international agreements and organisations.
How does globalisation increase interdependence?,Through trade supply chains and shared financial systems.
What is a global supply chain?,The network of production and distribution across countries.
What is fair trade?,A trading system ensuring producers receive fair prices.
What is neoliberalism?,An economic approach promoting free markets and reduced government intervention.
How does globalisation affect inequality?,It can increase wealth but also widen income gaps.
What is a global financial centre?,A major hub for banking finance and investment.
What is a superpower?,A country with dominant global political economic and military influence.
How does climate change require global governance?,It crosses borders and requires international cooperation.
What is the Paris Agreement?,An international treaty to limit global warming.
How does trade reduce the development gap?,By increasing income employment and infrastructure.
Why might globalisation increase the development gap?,Unequal trade benefits and exploitation of periphery countries.
What exam skill is essential for Global Governance essays?,Balancing economic political and social arguments with evaluation.

