Front,Back
"What is observational drawing?","Drawing directly from real-life objects or scenes."
"What is gesture drawing?","Quick drawing capturing movement and form."
"What is continuous line drawing?","Drawing without lifting the pencil from the page."
"What is contour drawing?","Drawing focusing on outlines and edges."
"What is blind contour drawing?","Drawing without looking at the paper."
"What is tonal rendering?","Using tone to create realistic depth and form."
"What is cross-hatching?","Using intersecting lines to create tone."
"What is hatching?","Using parallel lines for shading."
"What is stippling?","Creating tone using dots."
"What is mark-making?","Using different marks to create texture and effects."
"What is blending?","Smoothly merging tones or colours."
"What is smudging?","Softening marks by rubbing them."
"What is foreshortening?","Showing objects compressed by perspective."
"What is perspective drawing?","Creating the illusion of depth."
"What is one-point perspective?","Perspective using one vanishing point."
"What is two-point perspective?","Perspective using two vanishing points."
"What is three-point perspective?","Perspective using three vanishing points."
"What is acrylic paint?","Fast-drying water-based paint."
"What is oil paint?","Slow-drying paint mixed with oil."
"What is watercolour?","Transparent water-based paint."
"What is gouache?","Opaque water-based paint."
"What is impasto?","Applying paint thickly for texture."
"What is glazing in painting?","Applying thin transparent paint layers."
"What is dry brush technique?","Using little paint for rough texture."
"What is wash technique?","Applying diluted paint in thin layers."
"What is colour mixing?","Combining colours to create new hues."
"What is palette knife painting?","Applying paint using a knife rather than a brush."
"What is underpainting?","A base layer painted before final colours."
"What is printmaking?","Creating images through printing processes."
"What is lino printing?","Carving a design into lino for printing."
"What is etching?","Printing from a metal plate with engraved lines."
"What is screen printing?","Using a mesh screen to transfer ink."
"What is mono-printing?","Creating a single unique print."
"What is relief printing?","Printing from a raised surface."
"What is intaglio printing?","Printing from incised surfaces holding ink."
"What is collagraph printing?","Printing from textured collaged surfaces."
"What is sculpture?","Three-dimensional artwork."
"What is modelling in sculpture?","Shaping soft materials like clay."
"What is carving?","Removing material to create form."
"What is casting?","Pouring liquid material into a mould."
"What is assemblage?","Creating sculpture from found objects."
"What is installation art?","Art arranged within a space."
"What is wire sculpture?","Sculpture made using wire structures."
"What is clay modelling?","Shaping clay into forms."
"What is mixed media?","Using multiple materials in one artwork."
"What is collage?","Combining images or materials onto a surface."
"What is decoupage?","Decorating surfaces with cut-out paper."
"What is photography?","Creating images using light and cameras."
"What is aperture?","The opening controlling light entering a camera."
"What is shutter speed?","The length of time the camera sensor is exposed to light."
"What is ISO in photography?","Camera sensitivity to light."
"What is depth of field?","The area appearing sharp in focus."
"What is composition in photography?","Arrangement of visual elements in an image."
"What is the rule of thirds?","Dividing an image into thirds for composition."
"What is framing in photography?","Using elements to surround or focus attention on a subject."
"What is leading lines?","Lines directing the viewer's eye."
"What is macro photography?","Close-up photography of small subjects."
"What is portrait photography?","Photography focused on people."
"What is landscape photography?","Photography of natural or urban scenery."
"What is documentary photography?","Photography recording real events or life."
"What is photo manipulation?","Digitally altering photographs."
"What is digital art?","Art created using digital technology."
"What is vector art?","Digital art using mathematical paths and shapes."
"What is raster graphics?","Images made from pixels."
"What is Photoshop?","Software used for digital image editing."
"What is layer masking?","Hiding or revealing parts of digital layers."
"What is opacity in digital editing?","The transparency level of a layer."
"What is graphic design?","Visual communication using typography and images."
"What is typography?","The style and arrangement of text."
"What is illustration?","Visual representation accompanying ideas or text."
"What is animation?","Creating moving images from sequences."
"What is stop-motion animation?","Animation using photographed physical objects."
"What is textile art?","Art using fabric and fibres."
"What is embroidery?","Decorating fabric with stitched thread."
"What is batik?","Dyeing fabric using wax-resistant patterns."
"What is weaving?","Interlacing threads to create fabric."
"What is tie-dye?","Creating patterns by tying and dyeing fabric."
"What is fabric manipulation?","Altering fabric texture or structure."
"What is ceramic art?","Art made from clay and fired materials."
"What is glazing in ceramics?","Applying a glass-like coating to ceramics."
"What is kiln firing?","Heating ceramics in a kiln to harden them."
"What is artist experimentation?","Trying different materials and methods."
"What is refinement in art?","Improving and developing ideas further."
"What is annotation?","Written notes explaining artistic decisions."
"What is visual research?","Collecting images and references for ideas."
"What is artist analysis?","Studying artists' techniques and meanings."
"What is developmental work?","Work showing progression of ideas."
"What is a final outcome?","The completed artwork resolving a project."
"What is presentation in art?","How artwork is displayed or organised."
"What is mounting artwork?","Attaching artwork for display."
"What is curation?","Selecting and organising artworks for exhibition."
