"Front","Back"
"What is a function?","A relation that maps each input to exactly one output"
"What is function notation?","Using f(x) to represent a function"
"What does f(x) mean?","The output of function f for input x"
"What is domain?","The set of all possible input values"
"What is range?","The set of all possible output values"
"What is a composite function?","A function formed by combining two functions"
"What is the notation for composite functions?","f(g(x))"
"What is an inverse function?","A function that reverses the effect of another"
"What is the notation for an inverse function?","f⁻¹(x)"
"What is the condition for a function to have an inverse?","It must be one to one"
"What does one to one mean?","Each output corresponds to only one input"
"What line shows inverse graphically?","The line y equals x"
"What happens when finding an inverse algebraically?","Swap x and y and rearrange"
"What are laws of indices?","Rules for simplifying powers"
"What is a^m times a^n?","a to the power m plus n"
"What is a^m divided by a^n?","a to the power m minus n"
"What is (a^m)^n?","a to the power m times n"
"What is a^0?","1"
"What is a^-n?","1 divided by a^n"
"What is a^(1/n)?","The nth root of a"
"What is a^(m/n)?","The nth root of a to the power m"
"What is a surd?","An irrational number expressed as a root"
"What is rationalising the denominator?","Removing surds from denominator"
"What is expanding brackets?","Multiplying expressions together"
"What is factorising?","Writing an expression as a product of factors"
"What is completing the square?","Rewriting quadratic in vertex form"
"What is the form after completing square?","a(x plus or minus b) squared plus c"
"What is a quadratic equation?","Equation of form ax squared plus bx plus c equals zero"
"What is the quadratic formula?","Minus b plus or minus root b squared minus 4ac over 2a"
"What is the discriminant?","b squared minus 4ac"
"What does discriminant greater than zero mean","Two real solutions"
"What does discriminant equal zero mean","One repeated solution"
"What does discriminant less than zero mean","No real solutions"
"What is a polynomial?","An expression with powers of x"
"What is the degree of a polynomial?","The highest power of x"
"What is a root?","A value where function equals zero"
"What is a factor?","An expression that divides exactly"
"What is factor theorem?","If f(a) equals zero then x minus a is a factor"
"What is remainder theorem?","Remainder when dividing by x minus a is f(a)"
"What is long division?","Method to divide polynomials"
"What is synthetic division?","Short method of polynomial division"
"What is graph of quadratic?","A parabola"
"What determines shape of parabola?","Coefficient of x squared"
"What is vertex?","Turning point of graph"
"What is axis of symmetry?","Vertical line through vertex"
"What is transformation of graphs?","Changing position or shape of graph"
"What does f(x) plus a do?","Shifts graph up"
"What does f(x minus a) do?","Shifts graph right"
"What does a f(x) do?","Stretches graph vertically"
"What does f(ax) do?","Stretches graph horizontally"
"What does negative f(x) do?","Reflects in x axis"
"What does f(-x) do?","Reflects in y axis"
"What is modulus function?","Function involving absolute value"
"What does modulus do?","Makes all outputs positive"
"What is solving modulus equation?","Split into two cases positive and negative"
"What is solving inequalities?","Finding range of values"
"What happens when multiplying inequality by negative","Sign reverses"
"What is algebraic fraction?","Fraction with algebraic expressions"
"What is simplifying algebraic fractions?","Cancel common factors"
"What is solving algebraic fractions?","Multiply through by denominator"
"What is a binomial expansion?","Expanding expression raised to a power"
"What is binomial theorem?","General formula for expansion"
"What is coefficient?","Number multiplying variable"
"What is term?","A single part of an expression"
"What is expression?","Combination of terms"
"What is equation?","Statement showing two expressions equal"
"What is identity?","Equation true for all values"
"What is proof in algebra?","Showing statement is always true"
"What is function composition order?","Do inner function first"
"What is inverse of composite?","Reverse order of functions"
"What is domain restriction?","Limiting input values"
"What is range restriction?","Limiting output values"
"What is sketching graphs?","Drawing key features of functions"
"What are intercepts?","Points where graph crosses axes"
"What is x intercept?","Where y equals zero"
"What is y intercept?","Where x equals zero"
"What is increasing function?","Function that rises left to right"
"What is decreasing function?","Function that falls left to right"
"What is even function?","Symmetrical about y axis"
"What is odd function?","Symmetrical about origin"
"What is piecewise function?","Function defined in parts"
"What is composite domain?","Restricted by both functions"
"What is inverse domain?","Range of original function"
"What is algebraic manipulation?","Rearranging expressions"
"What is simplifying expressions?","Combining like terms"
"What is expanding triple brackets?","Multiply step by step"
"What is difference of two squares?","a squared minus b squared equals a minus b times a plus b"
"What is perfect square expansion?","a plus b squared equals a squared plus 2ab plus b squared"
"What is solving simultaneous equations?","Finding values satisfying both equations"
"What is substitution method?","Replace one variable"
"What is elimination method?","Add or subtract equations"
"What is identity proof example?","Show both sides simplify to same form"
"What is factorising cubic?","Use factor theorem then divide"
"What is graph behaviour at infinity?","End behaviour of polynomial"
"What is leading coefficient effect?","Determines direction of graph ends"
"What is turning point?","Where graph changes direction"

