Front,Back
What is a theme?,"A central idea explored in a text."
What is a motif?,"A recurring idea or image."
What is context?,"Background information about time and society."
What is a metaphor?,"A comparison saying one thing is another."
What is a simile?,"A comparison using like or as."
What is personification?,"Giving human qualities to non human things."
What is pathetic fallacy?,"Weather reflecting mood."
What is alliteration?,"Repetition of initial consonant sounds."
What is juxtaposition?,"Placing contrasting ideas together."
What is oxymoron?,"Two contradictory words together."
What is soliloquy?,"A character speaking thoughts aloud alone."
Who wrote Macbeth?,"William Shakespeare."
What is Macbeth's tragic flaw?,"Ambition."
Who are the three witches?,"Supernatural figures who influence Macbeth."
What does Lady Macbeth call on?,"Spirits to unsex her."
What does blood symbolise in Macbeth?,"Guilt."
What does the dagger symbolise?,"Macbeth's ambition and guilt."
Who kills Duncan?,"Macbeth."
Who kills Banquo?,"Murderers hired by Macbeth."
What theme is central in Macbeth?,"Ambition."
What does sleep symbolise in Macbeth?,"Innocence and peace."
Who becomes king at the end of Macbeth?,"Malcolm."
What genre is Macbeth?,"Tragedy."
Who wrote A Christmas Carol?,"Charles Dickens."
Who is the protagonist in A Christmas Carol?,"Ebenezer Scrooge."
What does Marley warn Scrooge about?,"The consequences of greed."
What theme dominates A Christmas Carol?,"Redemption."
What does the Ghost of Christmas Past show?,"Scrooge's childhood."
What does the Ghost of Christmas Present represent?,"Generosity and joy."
What does the Ghost of Christmas Yet to Come show?,"Scrooge's lonely death."
What does Tiny Tim represent?,"Innocence and poverty."
What is Dickens criticising?,"Victorian inequality."
Who wrote An Inspector Calls?,"J B Priestley."
Who is the Inspector?,"A character representing social responsibility."
What theme is central in An Inspector Calls?,"Responsibility."
What does Eva Smith symbolise?,"The working class."
What political message does Priestley promote?,"Socialism."
What is dramatic irony?,"Audience knows more than characters."
What is structure?,"How a text is organised."
What is stanza?,"Group of lines in a poem."
What is enjambment?,"Sentence running over lines."
What is caesura?,"Pause within a line."
What is iambic pentameter?,"Ten syllables per line unstressed stressed pattern."
What is blank verse?,"Unrhymed iambic pentameter."
What is a monologue?,"One character speaking."
What is conflict?,"Struggle between forces."
What is internal conflict?,"Struggle within a character."
What is external conflict?,"Struggle between characters."
What is symbolism?,"Using objects to represent ideas."
What is irony?,"Opposite of expectation."
What is foreshadowing?,"Hinting at future events."
What is a semantic field?,"Group of related words."
What is a cyclical structure?,"Text ends where it began."
What is tone?,"Writer's attitude."
What is imagery?,"Descriptive language appealing to senses."
What is anthropomorphism?,"Giving animals human traits."
What is pathetic fallacy?,"Weather reflecting mood."
What is a tragic hero?,"Main character with fatal flaw."
What is hubris?,"Excessive pride."
What is catharsis?,"Emotional release."
What does ambition lead to in Macbeth?,"Destruction."
What does Scrooge represent at the start?,"Greed."
How does Scrooge change?,"Becomes generous."
What is capitalism?,"Economic system based on profit."
What is socialism?,"System promoting equality."
What is power theme in poetry?,"Control and authority."
What is conflict theme in poetry?,"Struggle and war."
Who wrote Exposure?,"Wilfred Owen."
What is Exposure about?,"Suffering of soldiers."
Who wrote London?,"William Blake."
What does London criticise?,"Corruption and oppression."
Who wrote My Last Duchess?,"Robert Browning."
What theme is in My Last Duchess?,"Power and control."
Who wrote Kamikaze?,"Beatrice Garland."
What theme is in Kamikaze?,"Conflict between duty and family."
What is anthology?,"Collection of poems."
What is comparative question?,"Comparing two texts."
What is evaluation?,"Judging effectiveness."
What is analysis?,"Breaking down language."
What is inference?,"Reading between lines."
What is thesis statement?,"Main argument."
What is embedded quotation?,"Quote integrated into sentence."
What is pathetic fallacy in Macbeth?,"Storms during Duncan's murder."
What is Scrooge's famous line?,"Bah Humbug."
What is Inspector's warning?,"Fire blood and anguish."
What is dramatic tension?,"Suspense in drama."
What is climax?,"Turning point."
What is exposition?,"Introduction."
What is resolution?,"Ending."
What is tragedy?,"Serious drama ending in downfall."
What is morality?,"Right and wrong."
What is patriarchy?,"Male dominated society."
What is supernatural theme?,"Witches and ghosts."
What is redemption?,"Forgiveness and change."
What is social responsibility?,"Duty to others."
What is guilt theme?,"Remorse after wrongdoing."
What is isolation theme?,"Being alone."
What is family theme?,"Relationships within family."
What is generational divide?,"Conflict between ages."
What is poverty theme?,"Lack of wealth."
What is wealth theme?,"Possession of money."
What is war theme?,"Impact of conflict."
What is authority theme?,"Power structures."
What is loyalty theme?,"Faithfulness."
What is betrayal theme?,"Breaking trust."
What is fate theme?,"Predetermined destiny."
What is free will?,"Ability to choose."
What is ambition theme?,"Desire for power."
What is masculinity theme?,"Expectations of men."
What is femininity theme?,"Expectations of women."
What is Dickens purpose?,"Highlight inequality."
What is Shakespeare purpose?,"Explore ambition and power."
What is Priestley purpose?,"Promote social responsibility."
What is context of Macbeth?,"Jacobean belief in divine right."
What is context of A Christmas Carol?,"Victorian poverty."
What is context of An Inspector Calls?,"Post war socialism."
What is dramatic structure?,"How play is organised."
What is stage direction?,"Instructions for actors."
What is aside?,"Character speaks to audience."
What is pathetic fallacy used for?,"Creating mood."
What is symbolism of chains in ACC?,"Burden of greed."
What is symbolism of light in AIC?,"Truth."
What is symbolism of crown in Macbeth?,"Power."
What is motif of blood?,"Guilt."
What is motif of weather?,"Disorder."
What is Scrooge's transformation?,"From miser to generous."
What is Macbeth's downfall?,"Over ambition."
What is Inspector's role?,"Moral judge."
What is collective responsibility?,"Shared duty."
What is individualism?,"Focus on self."
What is Dickens message?,"Care for poor."
What is Priestley message?,"We are responsible for each other."
What is Shakespeare warning?,"Unchecked ambition destroys."

