"Front","Back"
"What is exchange in biology?","The movement of substances between an organism and its environment."
"What is diffusion?","Movement of particles from high concentration to low concentration."
"What is the role of exchange surfaces?","To allow efficient movement of substances."
"What features make exchange surfaces efficient?","Large surface area, thin barrier and good blood supply."
"What is the role of ventilation?","Maintains concentration gradients for gas exchange."
"What is the role of circulation in exchange?","Transporting substances around the body."
"What gas is exchanged in respiration?","Oxygen and carbon dioxide."
"What is the function of the lungs?","Gas exchange between air and blood."
"What structures in lungs perform gas exchange?","Alveoli."
"What are alveoli?","Tiny air sacs where gas exchange occurs."
"What feature of alveoli increases surface area?","Large number of alveoli."
"What feature of alveoli shortens diffusion distance?","Thin walls."
"What feature of alveoli maintains gradient?","Rich blood supply."
"What is ventilation?","Movement of air in and out of the lungs."
"What muscles control breathing?","Intercostal muscles and diaphragm."
"What happens during inhalation?","Chest volume increases and air enters lungs."
"What happens during exhalation?","Chest volume decreases and air leaves lungs."
"What is the diaphragm?","A muscular sheet separating chest and abdomen."
"What happens to diaphragm during inhalation?","It contracts and flattens."
"What happens to diaphragm during exhalation?","It relaxes and domes upward."
"What are intercostal muscles?","Muscles between ribs."
"What happens to ribs during inhalation?","They move upward and outward."
"What happens to ribs during exhalation?","They move downward and inward."
"What is tidal volume?","Volume of air moved in normal breathing."
"What is vital capacity?","Maximum air that can be inhaled or exhaled."
"What is residual volume?","Air remaining in lungs after exhalation."
"What is haemoglobin?","A protein that transports oxygen in red blood cells."
"What does haemoglobin contain?","Iron-containing haem groups."
"What is oxyhaemoglobin?","Haemoglobin bound with oxygen."
"What happens to haemoglobin in lungs?","It binds oxygen."
"What happens to haemoglobin in tissues?","It releases oxygen."
"What is the oxygen dissociation curve?","Graph showing haemoglobin saturation at different oxygen pressures."
"What is cooperative binding?","Oxygen binding making further binding easier."
"What is the Bohr effect?","Reduced oxygen affinity in presence of carbon dioxide."
"What is partial pressure?","Pressure exerted by a gas."
"What causes oxygen release in tissues?","Low oxygen concentration."
"What carries carbon dioxide in blood?","Plasma, haemoglobin and bicarbonate ions."
"What is bicarbonate formation?","CO2 reacting with water to form bicarbonate."
"What enzyme catalyses this reaction?","Carbonic anhydrase."
"What is the circulatory system?","Transport system moving substances around the body."
"What are the three blood vessels?","Arteries, veins and capillaries."
"What is the function of arteries?","Carry blood away from the heart."
"What is the function of veins?","Carry blood to the heart."
"What is the function of capillaries?","Exchange of substances."
"What is the structure of arteries?","Thick muscular walls and narrow lumen."
"What is the structure of veins?","Thin walls and valves."
"What is the structure of capillaries?","Single cell thick walls."
"What is blood plasma?","Liquid component transporting substances."
"What cells carry oxygen?","Red blood cells."
"What cells defend against pathogens?","White blood cells."
"What are platelets?","Fragments involved in blood clotting."
"What is the heart?","Muscular pump circulating blood."
"What are the four chambers of the heart?","Two atria and two ventricles."
"What is the role of the left ventricle?","Pumps oxygenated blood to the body."
"What is the role of the right ventricle?","Pumps blood to the lungs."
"What is double circulation?","Blood passes through the heart twice."
"What is systemic circulation?","Blood flow between heart and body."
"What is pulmonary circulation?","Blood flow between heart and lungs."
"What is transpiration?","Loss of water vapour from plant leaves."
"What structures control transpiration?","Stomata."
"What are stomata?","Pores in leaves allowing gas exchange."
"What are guard cells?","Cells controlling stomatal opening."
"What is transpiration stream?","Movement of water through xylem."
"What is xylem?","Plant tissue transporting water."
"What is phloem?","Plant tissue transporting sugars."
"What is translocation?","Movement of sugars in plants."
"What is the cohesion-tension theory?","Explains water movement in xylem."
"What is cohesion?","Water molecules sticking together."
"What is adhesion?","Water molecules sticking to xylem walls."
"What factors affect transpiration?","Light, temperature, humidity and wind."
"What happens to transpiration in high light?","It increases."
"What happens to transpiration in high humidity?","It decreases."
"What happens to transpiration in wind?","It increases."
"What is root pressure?","Water pushed up through xylem from roots."
"What are root hair cells?","Cells increasing absorption surface area."
"What do root hairs absorb?","Water and minerals."
"What transport process moves minerals into roots?","Active transport."
"What is mass flow in plants?","Movement of sugars through phloem."
"What is a source in translocation?","Area where sugars are produced."
"What is a sink in translocation?","Area where sugars are used or stored."
"What is a concentration gradient?","Difference in concentration between two areas."
"What maintains exchange gradients?","Ventilation and circulation."
"What is countercurrent flow?","Opposite flow of fluids improving exchange."
"What organisms use countercurrent exchange?","Fish gills."
"What are gill lamellae?","Thin surfaces for gas exchange in fish."
"What feature of gills aids exchange?","Large surface area."
"What is haemoglobin affinity?","Tendency to bind oxygen."
"What affects oxygen affinity?","pH and carbon dioxide levels."
"What is oxygen transport essential for?","Respiration."
"What happens if oxygen delivery fails?","Cells cannot respire."
"What is transport essential for?","Distribution of nutrients and gases."
"What is the function of exchange surfaces?","Maximise diffusion efficiency."
