"Front","Back"
"What is a sequence?","An ordered list of numbers"
"What is a series?","The sum of terms in a sequence"
"What is an arithmetic sequence?","A sequence with a constant difference"
"What is the common difference?","The amount added each time"
"What is the formula for nth term of arithmetic sequence","a plus n minus 1 times d"
"What does a represent in arithmetic sequence","First term"
"What does d represent","Common difference"
"What is the formula for sum of arithmetic series","n over 2 times first term plus last term"
"What is another sum formula for arithmetic series","n over 2 times 2a plus n minus 1 d"
"What is a geometric sequence?","A sequence with a constant ratio"
"What is the common ratio?","The value multiplied each time"
"What is the nth term of geometric sequence","a times r to the power n minus 1"
"What is the sum of geometric series","a times 1 minus r to the n over 1 minus r"
"What is condition for infinite geometric series","Absolute value of r less than 1"
"What is sum to infinity formula","a over 1 minus r"
"What is convergence?","Series approaches a finite value"
"What is divergence?","Series does not approach a finite value"
"What is sigma notation?","Notation for summing terms"
"What does sigma symbol mean","Sum of terms"
"What is general term?","Formula for nth term"
"What is recursive formula?","Each term defined using previous term"
"What is arithmetic mean?","Average of two numbers"
"What is geometric mean?","Square root of product of two numbers"
"What is sequence pattern?","Rule defining sequence"
"What is increasing sequence?","Terms get larger"
"What is decreasing sequence?","Terms get smaller"
"What is bounded sequence?","Sequence with limits"
"What is unbounded sequence?","Sequence with no limits"
"What is quadratic sequence?","Second difference is constant"
"What is difference method?","Find pattern using differences"
"What is first difference?","Difference between consecutive terms"
"What is second difference?","Difference of first differences"
"What is partial sum?","Sum of first n terms"
"What is telescoping series?","Terms cancel when summed"
"What is arithmetic progression AP","Another name for arithmetic sequence"
"What is geometric progression GP","Another name for geometric sequence"
"What is sum of squares formula","n times n plus 1 times 2n plus 1 over 6"
"What is sum of natural numbers formula","n times n plus 1 over 2"
"What is sum of cubes formula","n squared times n plus 1 squared over 4"
"What is proof by induction?","Method to prove statements true for all n"
"What are steps in induction","Base case assume true prove next case"
"What is base case?","Check for first value"
"What is inductive step?","Prove for n plus 1"
"What is factorial?","Product of integers from 1 to n"
"What is n factorial?","n times n minus 1 times down to 1"
"What is 0 factorial?","1"
"What is binomial expansion?","Expansion of expression raised to power"
"What is binomial coefficient?","Number of ways to choose terms"
"What is Pascal triangle?","Triangle of binomial coefficients"
"What is combination formula","n factorial over r factorial n minus r factorial"
"What is notation for combinations","n choose r"
"What is sequence limit?","Value sequence approaches"
"What is infinite series?","Series with infinite terms"
"What is alternating series?","Terms change sign"
"What is arithmetic sequence example","2 4 6 8"
"What is geometric sequence example","2 4 8 16"
"What is common ratio greater than 1 effect","Sequence grows"
"What is common ratio between 0 and 1 effect","Sequence decays"
"What is sigma limits?","Range of values summed"
"What is summation index?","Variable in sigma notation"
"What is expanding sigma notation","Write out terms explicitly"
"What is linear sequence?","Constant difference sequence"
"What is cubic sequence?","Third differences constant"
"What is series notation use","Compact representation"
"What is partial fractions use in series","Simplifying sums"
"What is arithmetic series example","Sum of 1 2 3 4"
"What is geometric series example","Sum of 1 2 4 8"
"What is sequence notation?","u1 u2 u3 for terms"
"What is nth term notation","un"
"What is limit of geometric sequence","Zero if r less than 1"
"What is divergence of geometric sequence","Grows if r greater than 1"
"What is sequence graph?","Plot of terms against n"
"What is convergence test simple","Check ratio magnitude"
"What is arithmetic sequence constant","Difference"
"What is geometric sequence constant","Ratio"
"What is term to term rule?","Rule connecting terms"
"What is position to term rule?","Formula using n"
"What is pattern recognition?","Identifying sequence rule"
"What is sum notation meaning","Adding sequence values"
"What is series formula purpose","Find total quickly"
"What is recurrence relation?","Another term for recursive sequence"
"What is bounded above?","Has maximum limit"
"What is bounded below?","Has minimum limit"
"What is monotonic sequence?","Always increasing or decreasing"
"What is arithmetic mean insertion","Insert term between two numbers"
"What is geometric mean insertion","Insert geometric term"
"What is sigma squared meaning","Sum of squares"
"What is sequence modelling?","Represent real situations"
"What is exponential sequence?","Another name for geometric"

