Front,Back
What is a primary source?,A source created at the time of the historical event
What is a secondary source?,A source produced later by historians analysing events
What is provenance?,Information about the origin author and date of a source
Why is provenance important?,It helps evaluate reliability and purpose
What is historical context?,The circumstances surrounding an event or source
What is bias in a historical source?,A viewpoint that favours one side
Why do historians analyse bias?,To understand perspective and limitations
What is reliability in historical sources?,The degree to which a source can be trusted
What is utility in source analysis?,The usefulness of a source for answering a question
Why can biased sources still be useful?,They reveal attitudes and viewpoints of the time
What is corroboration?,Using multiple sources to confirm evidence
Why do historians compare sources?,To evaluate accuracy and perspective
What is an interpretation in history?,A historian's explanation of the past
Why do interpretations differ?,Historians have different perspectives and evidence
What is historiography?,The study of how history is written
What is causation in history?,The reasons why events happen
What is a short term cause?,A trigger occurring shortly before an event
What is a long term cause?,A factor developing over a long period
What is consequence in history?,The results or outcomes of events
What is significance in history?,The importance of an event or person
How do historians judge significance?,By evaluating impact and lasting effects
What is continuity?,Things that remain the same over time
What is change?,Developments that alter historical conditions
What is a turning point?,An event that causes major change
Why do historians debate turning points?,They interpret impact differently
What is evidence in historical study?,Information used to support arguments
Why must evidence be analysed?,To understand meaning and reliability
What is evaluation in history essays?,Assessing the strength of evidence
What is a historical argument?,A reasoned explanation supported by evidence
Why should arguments be balanced?,To consider multiple perspectives
What is synthesis in history?,Combining ideas from different sources
What is inference in source analysis?,Drawing conclusions from evidence
What is the difference between fact and interpretation?,Facts are evidence interpretations explain meaning
Why is author purpose important?,It explains why the source was created
What types of purpose might sources have?,Persuasion justification propaganda or information
What is propaganda?,Information designed to influence opinion
Why must historians consider audience?,Sources may be tailored to influence specific groups
What is reliability linked to?,Author perspective context and purpose
What is the difference between reliability and usefulness?,Reliable sources may still have limited usefulness
What is contextual knowledge?,Information about the time period supporting analysis
Why should contextual knowledge be used?,It strengthens evaluation of sources
What is a judgement in historical writing?,A reasoned conclusion based on evidence
What is comparative analysis?,Comparing similarities and differences between sources
What is a supported judgement?,A conclusion backed by evidence
Why is structure important in essays?,It helps present arguments clearly
What is a thematic essay?,An essay organised by themes
What is chronological structure?,Organising events by time sequence
Why do historians analyse language?,Word choice can reveal attitudes and bias
What is the tone of a source?,The attitude expressed in the writing
Why is tone useful in analysis?,It reveals author intentions
What is the value of eyewitness accounts?,They provide immediate perspectives
Why can eyewitness accounts be unreliable?,Memory bias and limited perspective
What is the role of statistics in history?,They provide quantitative evidence
Why must statistics be evaluated?,They may be incomplete or manipulated
What is a historical narrative?,A structured account of events
Why do narratives vary?,Historians interpret events differently
What is a revisionist historian?,A historian challenging traditional interpretations
What is a traditional interpretation?,An earlier widely accepted explanation
What is a Marxist interpretation?,A view focusing on class struggle
What is a political interpretation?,An explanation focusing on power and leadership
What is an economic interpretation?,An explanation focusing on economic factors
Why do historians disagree?,Different evidence values and perspectives
What is source limitation?,A weakness affecting reliability or usefulness
What is source strength?,A feature making a source valuable
Why should historians avoid assumptions?,Interpretation must rely on evidence
What is a historical debate?,A disagreement among historians about interpretation
What is critical thinking in history?,Evaluating evidence and arguments carefully
What is the purpose of historical enquiry?,To understand and explain the past
What skills are essential for historians?,Analysis evaluation interpretation and argument
