Front,Back
Hello,"Bonjour"
Hi,"Salut"
Goodbye,"Au revoir"
See you later,"À plus tard"
Please,"S'il vous plaît"
Thank you,"Merci"
You're welcome,"De rien"
Excuse me,"Excusez moi"
Yes,"Oui"
No,"Non"
How are you?,"Comment ça va?"
I am fine,"Ça va bien"
What is your name?,"Comment tu t'appelles?"
My name is,"Je m'appelle"
I am,"Je suis"
I am fifteen years old,"J'ai quinze ans"
Where do you live?,"Où habites tu?"
I live in,"J'habite à"
Family,"La famille"
Mother,"La mère"
Father,"Le père"
Brother,"Le frère"
Sister,"La sœur"
Parents,"Les parents"
Grandmother,"La grand mère"
Grandfather,"Le grand père"
Friend,"L'ami"
Best friend,"Le meilleur ami"
School,"L'école"
Teacher,"Le professeur"
Student,"L'élève"
Homework,"Les devoirs"
Exam,"L'examen"
Subject,"La matière"
Maths,"Les maths"
French,"Le français"
English,"L'anglais"
Science,"Les sciences"
History,"L'histoire"
Break time,"La récréation"
Uniform,"L'uniforme"
Rules,"Les règles"
I like,"J'aime"
I love,"J'adore"
I dislike,"Je n'aime pas"
I hate,"Je déteste"
Sport,"Le sport"
Football,"Le football"
Swimming,"La natation"
Music,"La musique"
Cinema,"Le cinéma"
Reading,"La lecture"
Television,"La télévision"
Computer,"L'ordinateur"
Mobile phone,"Le portable"
House,"La maison"
Flat,"L'appartement"
Bedroom,"La chambre"
Kitchen,"La cuisine"
Bathroom,"La salle de bains"
Garden,"Le jardin"
Town,"La ville"
Village,"Le village"
Shops,"Les magasins"
Beach,"La plage"
Mountains,"Les montagnes"
Weather,"Le temps"
It is sunny,"Il fait beau"
It is raining,"Il pleut"
It is cold,"Il fait froid"
It is hot,"Il fait chaud"
Holiday,"Les vacances"
Hotel,"L'hôtel"
Airport,"L'aéroport"
Plane,"L'avion"
Train,"Le train"
Ticket,"Le billet"
Passport,"Le passeport"
I went,"Je suis allé"
I visited,"J'ai visité"
I saw,"J'ai vu"
I did,"J'ai fait"
I will go,"J'irai"
I am going to go,"Je vais aller"
Job,"Le travail"
Career,"La carrière"
Money,"L'argent"
Weekend,"Le week end"
Yesterday,"Hier"
Today,"Aujourd'hui"
Tomorrow,"Demain"
Morning,"Le matin"
Evening,"Le soir"
Always,"Toujours"
Often,"Souvent"
Sometimes,"Parfois"
Never,"Jamais"
Because,"Parce que"
However,"Cependant"
But,"Mais"
And,"Et"
With,"Avec"
Without,"Sans"
Big,"Grand"
Small,"Petit"
Interesting,"Intéressant"
Boring,"Ennuyeux"
Difficult,"Difficile"
Easy,"Facile"
Expensive,"Cher"
Cheap,"Bon marché"
Healthy,"Sain"
Unhealthy,"Mauvais pour la santé"
Environment,"L'environnement"
Pollution,"La pollution"
Recycling,"Le recyclage"
Save energy,"Économiser l'énergie"
Protect,"Protéger"
Reduce,"Réduire"
Future tense ending for er verbs,"Ai as a ons ez ont"
Present tense je ending,"E"
Present tense nous ending,"Ons"
Past tense using avoir,"J'ai plus past participle"
Past tense using être,"Je suis plus past participle"
Adjective agreement rule,"Add e for feminine s for plural"
What is,"Qu'est ce que c'est?"
There is,"Il y a"
There are,"Il y a"
Can,"Pouvoir"
Must,"Devoir"
Want,"Vouloir"
To be,"Être"
To have,"Avoir"
To do or make,"Faire"
To go,"Aller"
To see,"Voir"
To eat,"Manger"
To drink,"Boire"
To play,"Jouer"
To watch,"Regarder"
To listen,"Écouter"
To study,"Étudier"
To work,"Travailler"
To travel,"Voyager"
To stay,"Rester"
I would like,"Je voudrais"
If,"Si"
When,"Quand"
Why,"Pourquoi"
How,"Comment"
Where,"Où"
Which,"Quel"
Very,"Très"
Quite,"Assez"
Too much,"Trop"
More,"Plus"
Less,"Moins"
Better,"Meilleur"
Worse,"Pire"
Important,"Important"
Useful,"Utile"
Dangerous,"Dangereux"
Safe,"Sûr"
Friendly,"Sympathique"
Strict,"Sévère"
Kind,"Gentil"
Funny,"Drôle"
Serious,"Sérieux"
Busy,"Occupé"
Free,"Libre"
Early,"Tôt"
Late,"En retard"
Next year,"L'année prochaine"
Last year,"L'année dernière"
In my opinion,"À mon avis"
Firstly,"Premièrement"
Finally,"Finalement"
For example,"Par exemple"
On the other hand,"D'un autre côté"
I agree,"Je suis d'accord"
I disagree,"Je ne suis pas d'accord"
