"Define dualism.","The belief that the mind/soul and body are separate substances."
"Who proposed substance dualism?","Rene Descartes."
"What is Descartes' key claim about the self?","The self is a thinking substance distinct from the body."
"What is the cogito?","'Cogito ergo sum' – I think, therefore I am."
"What is interactionism?","The view that mind and body interact causally."
"What problem faces interactionist dualism?","The interaction problem – how can two different substances interact?"
"What is property dualism?","The view that there is one substance (physical) but it has mental properties."
"What is the conceivability argument?","Descartes' argument that he can conceive of existing without a body."
"What is the divisibility argument?","The mind is indivisible; the body is divisible."
"What is materialism?","The belief that only physical matter exists."
"What is reductive materialism?","The view that mental states are reducible to brain states."
"What is behaviourism?","The theory that mental states are just descriptions of behaviour."
"What is logical behaviourism?","The idea that mental language refers to observable behaviour."
"What is the identity theory?","Mental states are identical to brain states."
"What is eliminative materialism?","The belief that common-sense mental concepts are mistaken."
"What is the soul?","The immaterial essence of a person."
"What is Aristotle’s view of the soul?","The soul is the form of the body."
"What is hylomorphism?","Aristotle’s theory that body and soul form one substance."
"What is Aquinas’ view of the soul?","The soul is the form of the body but can survive death."
"What is Plato’s view of the soul?","The soul is immortal and distinct from the body."
"What is Plato’s tripartite soul?","Reason, spirit, and appetite."
"What is the analogy of the charioteer?","Plato’s image of reason controlling desires."
"What is reincarnation?","The belief that the soul is reborn in another body."
"What is resurrection?","The belief in bodily rising after death."
"What is the difference between resurrection and immortality?","Resurrection involves the body; immortality involves the soul."
"What is Christian belief about resurrection?","Belief in bodily resurrection at the end of time."
"What is the empty tomb evidence?","The Gospel claim that Jesus’ tomb was found empty."
"What is John Hick’s replica theory?","God recreates a replica of a person after death."
"What is the parable of the celestial city?","Hick’s analogy explaining resurrection identity."
"What is personal identity?","What makes a person the same over time."
"What is the memory criterion?","Personal identity is based on continuity of memory."
"What did John Locke argue about identity?","Identity is based on psychological continuity."
"What is the soul-making theodicy?","Hick’s idea that life develops moral character."
"What is purgatory?","A temporary state of purification after death."
"What is heaven?","A state of eternal union with God."
"What is hell?","A state of separation from God."
"What is annihilationism?","The belief that the wicked cease to exist."
"What is the beatific vision?","Direct knowledge of God in heaven."
"What is near-death experience (NDE)?","Reported experiences during clinical death."
"What do materialists say about NDEs?","They are caused by brain activity."
"What is the problem of other minds?","We cannot directly know other minds exist."
"What is the zombie argument?","The idea that a being could be physically identical but lack consciousness."
"What is epiphenomenalism?","The view that mental events are caused by physical events but have no causal power."
"What is the analogy of the ship of Theseus?","A puzzle about identity over time."
"What is the bundle theory?","Hume’s idea that the self is a collection of perceptions."
"What is the argument from religious experience?","Claim that experiences of the afterlife support belief."
"What is parapsychology?","Study of paranormal phenomena like ESP."
"What is the problem of verification?","We cannot empirically verify life after death."
"What is the strength of dualism?","It explains consciousness and subjective experience."
"What is a weakness of dualism?","Lack of scientific evidence for a non-physical soul."

