"Front","Back"
"Do you think social media is harmful?","Meiner Meinung nach können soziale Medien schädlich sein, da sie zu Abhängigkeit führen, jedoch ermöglichen sie auch Kommunikation"
"What are the advantages of technology?","Die Technologie bietet viele Vorteile, da sie die Kommunikation erleichtert und Zugang zu Informationen ermöglicht"
"What are the disadvantages of technology?","Allerdings kann sie zu Abhängigkeit führen und negative Auswirkungen auf die psychische Gesundheit haben"
"Should young people use social media?","Ich denke, dass Jugendliche soziale Medien in Maßen nutzen sollten, um negative Auswirkungen zu vermeiden"
"Is education important?","Meiner Meinung nach ist Bildung wesentlich, da sie Fähigkeiten entwickelt und Chancen verbessert"
"Are exams useful?","Prüfungen sind nützlich, da sie Wissen bewerten, jedoch können sie Stress verursachen"
"Should university be free?","Ich denke, dass die Universität kostenlos sein sollte, um Chancengleichheit zu gewährleisten"
"What are the benefits of apprenticeships?","Ausbildungen ermöglichen es Jugendlichen, praktische Erfahrung zu sammeln und gleichzeitig Geld zu verdienen"
"Is unemployment a problem?","Arbeitslosigkeit ist ein großes Problem, da sie zu finanziellen Schwierigkeiten führt"
"How can the government reduce unemployment?","Die Regierung sollte in Bildung und Ausbildung investieren, um mehr Arbeitsplätze zu schaffen"
"Is climate change serious?","Der Klimawandel ist ein ernstes Problem, das sofortiges Handeln erfordert"
"What can individuals do to protect the environment?","Individuen können weniger konsumieren und mehr recyceln"
"Should governments do more for the environment?","Regierungen sollten strengere Gesetze einführen, um die Umwelt zu schützen"
"Is immigration beneficial?","Einwanderung kann vorteilhaft sein, da sie die Wirtschaft stärkt und kulturelle Vielfalt bringt"
"What problems can immigration cause?","Sie kann jedoch soziale Spannungen verursachen, wenn sie schlecht verwaltet wird"
"Is crime increasing?","Kriminalität ist in einigen Regionen ein wachsendes Problem"
"How can crime be reduced?","Bildung und Prävention sind entscheidend, um Kriminalität zu reduzieren"
"Is mental health important?","Die psychische Gesundheit ist für das allgemeine Wohlbefinden sehr wichtig"
"How can people improve their mental health?","Menschen können Sport treiben und über ihre Probleme sprechen"
"Is a healthy lifestyle important?","Ein gesunder Lebensstil ist entscheidend für die Gesundheit"
"What should people do to stay healthy?","Sie sollten sich ausgewogen ernähren und regelmäßig Sport treiben"
"Is sport important?","Sport spielt eine wichtige Rolle für die körperliche und psychische Gesundheit"
"What are the benefits of hobbies?","Hobbys helfen, sich zu entspannen und die Lebensqualität zu verbessern"
"Is work-life balance important?","Eine gute Work-Life-Balance ist entscheidend für das Wohlbefinden"
"Should people work long hours?","Lange Arbeitszeiten können Stress verursachen und die Gesundheit beeinträchtigen"
"Is money important?","Geld ist wichtig, aber es garantiert kein Glück"
"What makes people happy?","Glück hängt oft von Beziehungen und Wohlbefinden ab"
"Is family important?","Die Familie spielt eine zentrale Rolle bei der emotionalen Unterstützung"
