"Front","Back"
"What is ecology?","The study of interactions between organisms and their environment."
"What is a population?","A group of organisms of the same species living in the same area."
"What is a community?","All populations of different species in an area."
"What is an ecosystem?","A community of organisms interacting with their environment."
"What is a habitat?","The place where an organism lives."
"What is a niche?","The role an organism plays in its ecosystem."
"What are abiotic factors?","Non-living environmental factors."
"What are examples of abiotic factors?","Temperature, light, water and pH."
"What are biotic factors?","Living factors affecting organisms."
"What are examples of biotic factors?","Competition, predation and disease."
"What is a food chain?","A sequence showing energy transfer between organisms."
"What is a trophic level?","Position of an organism in a food chain."
"What are producers?","Organisms that make their own food."
"What organisms are producers?","Plants and algae."
"What are consumers?","Organisms that feed on other organisms."
"What is a primary consumer?","Organism that eats producers."
"What is a secondary consumer?","Organism that eats primary consumers."
"What is a tertiary consumer?","Organism that eats secondary consumers."
"What are decomposers?","Organisms that break down dead material."
"What organisms are decomposers?","Bacteria and fungi."
"What is a food web?","Network of interconnected food chains."
"What is biomass?","Total mass of living material in organisms."
"What is energy transfer?","Movement of energy between trophic levels."
"What percentage of energy is transferred between trophic levels?","About 10 percent."
"What happens to energy not transferred?","Lost as heat, movement or waste."
"What is productivity?","Rate of biomass production."
"What is gross primary productivity?","Total energy captured by producers."
"What is net primary productivity?","Energy remaining after respiration."
"What equation calculates NPP?","NPP = GPP − respiration."
"What is net secondary productivity?","Energy available to consumers."
"What is ecological efficiency?","Efficiency of energy transfer."
"What is the carbon cycle?","Movement of carbon through ecosystems."
"What process removes CO2 from atmosphere?","Photosynthesis."
"What process returns CO2 to atmosphere?","Respiration."
"What is decomposition?","Breakdown of dead organisms."
"What is combustion?","Burning of fossil fuels releasing carbon."
"What is the nitrogen cycle?","Movement of nitrogen through ecosystems."
"What is nitrogen fixation?","Conversion of nitrogen gas into ammonia."
"What organisms fix nitrogen?","Nitrogen-fixing bacteria."
"What is nitrification?","Conversion of ammonia into nitrates."
"What bacteria carry out nitrification?","Nitrifying bacteria."
"What is ammonification?","Conversion of organic nitrogen to ammonia."
"What is denitrification?","Conversion of nitrates into nitrogen gas."
"What bacteria perform denitrification?","Denitrifying bacteria."
"What do plants absorb from soil?","Nitrate ions."
"What is succession?","Gradual change in species over time."
"What is primary succession?","Succession on bare rock."
"What is secondary succession?","Succession after disturbance."
"What are pioneer species?","First species to colonise an area."
"What are climax communities?","Stable final stage communities."
"What role do lichens play in succession?","Break down rock to form soil."
"What is biodiversity?","Variety of species in an ecosystem."
"What increases ecosystem stability?","High biodiversity."
"What is conservation?","Protection of ecosystems."
"What is sustainable development?","Using resources without harming future generations."
"What causes habitat destruction?","Deforestation and urbanisation."
"What is eutrophication?","Nutrient enrichment causing algal blooms."
"What causes eutrophication?","Fertiliser runoff."
"What effect do algal blooms have?","Reduce oxygen in water."
"What organisms suffer in eutrophication?","Fish and aquatic life."
"What is biomagnification?","Increase of toxins up food chains."
"What is biological control?","Using organisms to control pests."
"What is an invasive species?","Non-native species harming ecosystems."
"What is a keystone species?","Species with large ecosystem impact."
"What is ecosystem resilience?","Ability to recover from disturbance."
"What is ecosystem stability?","Ability to resist change."
"What is climate change?","Long-term change in global climate."
"What causes climate change?","Increased greenhouse gases."
"What is a greenhouse gas?","Gas trapping heat in atmosphere."
"What is global warming?","Rise in Earth's average temperature."
"What is carbon sequestration?","Long-term carbon storage."
"What is reforestation?","Planting trees to restore forests."
"What is habitat restoration?","Rebuilding damaged ecosystems."
"What is conservation agriculture?","Farming methods protecting biodiversity."
"What is organic farming?","Farming without synthetic chemicals."
"What is crop rotation?","Growing different crops each year."
"What is pollination?","Transfer of pollen between plants."
"What organisms are pollinators?","Bees and insects."
"What is the importance of ecology?","Understanding and protecting ecosystems."
