Front,Back
Who became Tsar of Russia in 1855?,Alexander II
Why did Alexander II introduce reforms?,Russia's defeat in the Crimean War exposed weaknesses
What was the Crimean War?,A conflict between Russia and an alliance including Britain France and the Ottoman Empire
Why was the Crimean War significant?,It revealed Russia's economic and military backwardness
What was the Emancipation Edict of 1861?,A law freeing the Russian serfs
Why did Alexander II emancipate the serfs?,To modernise Russia and reduce social unrest
What problems remained after emancipation?,Peasants still owed redemption payments and lacked land
What were zemstvos?,Local councils created to improve administration
Why were zemstvos significant?,They allowed limited local self government
What was judicial reform under Alexander II?,Creation of independent courts and trial by jury
What was the impact of educational reforms?,Greater access to education and rising literacy
Why did opposition grow against Alexander II?,Some groups wanted faster political reform
Who were the Narodniks?,Revolutionaries who tried to inspire peasants to revolt
What was the policy of 'going to the people'?,Narodnik attempts to spread revolutionary ideas among peasants
Why did Narodnik efforts fail?,Peasants often reported them to authorities
What was the People's Will?,A revolutionary group using terrorism
How did Alexander II die?,He was assassinated by the People's Will in 1881
Who succeeded Alexander II?,Alexander III
What was Alexander III's political approach?,Reactionary policies and repression
What was Russification?,Policies forcing Russian language and culture on minorities
Why did Alexander III strengthen the secret police?,To suppress revolutionary movements
What was the Okhrana?,The Tsarist secret police
Who became Tsar in 1894?,Nicholas II
Why was Nicholas II considered a weak ruler?,He lacked political skill and resisted reform
What economic change occurred in the 1890s?,Rapid industrialisation
Who led Russia's industrial development?,Sergei Witte
What was Witte's industrial policy?,State investment in railways and heavy industry
What was the Trans Siberian Railway?,A railway linking European Russia to Siberia
Why did industrialisation cause problems?,Poor working conditions and urban overcrowding
What group grew in cities due to industrialisation?,The industrial working class
What was the Socialist Revolutionary Party?,A group supporting peasant revolution
What was the Russian Social Democratic Labour Party?,A Marxist revolutionary party
What division occurred in the Social Democrats?,Bolsheviks and Mensheviks
Who led the Bolsheviks?,Vladimir Lenin
What did the Bolsheviks believe?,A small revolutionary party could lead the workers
What happened in the Russo Japanese War?,Russia fought Japan from 1904 to 1905
Why was the war disastrous for Russia?,Russia suffered humiliating defeats
What event triggered the 1905 Revolution?,Bloody Sunday
What was Bloody Sunday?,Troops shot peaceful protesters in St Petersburg in 1905
Who led the Bloody Sunday march?,Father Gapon
What was the impact of Bloody Sunday?,It sparked nationwide protests and strikes
What was the October Manifesto?,A promise of civil liberties and a parliament
What was the Duma?,Russia's new parliament created in 1905
Why did the Duma have limited power?,The Tsar could dissolve it
Who was Pyotr Stolypin?,Nicholas II's prime minister
What reforms did Stolypin introduce?,Agricultural reforms to create wealthier peasants
What was Stolypin's aim?,To strengthen loyalty to the Tsar
What repression followed the revolution?,Executions and exile of revolutionaries
What role did Rasputin play?,He influenced the royal family
Why was Rasputin controversial?,He appeared to have political influence
What problems did Russia face during World War I?,Military defeats food shortages and economic crisis
Why did Nicholas II take command of the army?,He wanted to restore confidence
Why did this decision weaken his rule?,He became directly blamed for military failures
What problems developed in Russian cities?,Food shortages and strikes
What happened in February 1917?,Mass protests erupted in Petrograd
Why did the army refuse to suppress protests?,Soldiers joined the demonstrators
What happened to Nicholas II?,He abdicated the throne
What government replaced the Tsar?,The Provisional Government
Why was the Provisional Government weak?,It continued the war and lacked authority
What was the Petrograd Soviet?,A council representing workers and soldiers
What was dual power?,The Provisional Government sharing power with the Soviet
Why did Lenin return to Russia?,To lead the Bolsheviks
What were Lenin's April Theses?,Calls for peace land and bread
What slogan did Lenin use?,All power to the Soviets
What was the July Days?,A failed uprising against the Provisional Government
Who became head of the Provisional Government?,Alexander Kerensky
What was the Kornilov Affair?,An attempted military takeover in 1917
Why did the Kornilov Affair help the Bolsheviks?,They appeared as defenders of the revolution
What happened in October 1917?,The Bolsheviks seized power
Who led the October Revolution?,Lenin and the Bolsheviks
What building symbolised the revolution?,The Winter Palace
Why was the October Revolution successful?,The government had little support
What government replaced the Provisional Government?,A Bolshevik government
Why was the 1917 Revolution significant?,It ended centuries of Tsarist rule
