Front,Back
What is Paley’s Design Argument?,"Paley’s Design Argument is an a posteriori argument claiming the world shows evidence of design, implying an intelligent designer (God)."
What analogy does Paley use?,Paley uses the analogy of a watch found on a heath to show that complexity implies a designer.
One strength of Paley’s Design Argument,"It is based on observation of the natural world, making it accessible and persuasive."
One criticism of Paley by Hume,Hume argues the analogy between the world and a machine is weak because the world is unique.
What is Anselm’s Ontological Argument?,Anselm’s Ontological Argument is an a priori argument claiming God must exist by definition as the greatest conceivable being.
Gaunilo’s criticism of Anselm,Gaunilo argues that Anselm’s logic could be used to prove the existence of a perfect island.
Kant’s criticism of the Ontological Argument,Kant argues that existence is not a predicate and cannot be part of a definition.
What is Aquinas’ Cosmological Argument (Way 3)?,"Aquinas argues that contingent beings require a necessary being, which we call God."
Russell’s criticism of the Cosmological Argument,Russell argues that the universe may be a brute fact requiring no explanation.
What is moral evil?,"Moral evil is suffering caused by human free will, such as murder or theft."
What is natural evil?,"Natural evil is suffering caused by natural events, such as earthquakes or disease."
What is Hick’s Soul-Making Theodicy?,Hick argues that suffering allows humans to develop morally and spiritually.
One criticism of Hick,It does not justify extreme or seemingly pointless suffering.
What is the Free Will Defence?,The Free Will Defence argues that God allows evil because free will is necessary for genuine moral goodness.
What is a numinous experience?,"A numinous experience is an encounter with the ‘wholly other’, producing awe and fear (Otto)."
What is a mystical experience according to William James?,"A mystical experience is non-sensuous and ineffable, involving union with the divine."
What are Swinburne’s principles of credulity and testimony?,They argue we should trust religious experiences unless there is good reason not to.
What is the verification principle?,The verification principle states that a statement is meaningful only if empirically verifiable.
What is eschatological verification?,"Hick argues religious claims can be verified after death, if true."
What is a miracle according to Hume?,Hume defines a miracle as a violation of natural law and argues belief in miracles is irrational.
What is Wiles’ view of miracles?,Wiles argues God does not intervene in natural laws but works through them.
What is substance dualism?,Descartes argues the mind and body are distinct substances.
One problem with life after death,Personal identity may not survive bodily death.
