"Front","Back"
"What is social stratification?","The division of society into hierarchical layers."
"What is social class?","A group based on economic position and status."
"What are the three main classes?","Working class, middle class, upper class."
"What is inequality?","Unequal distribution of resources and opportunities."
"What is life chances?","Opportunities individuals have in life."
"What did Weber argue about class?","Class, status and party shape inequality."
"What is status?","Social honour or prestige."
"What is party?","Power in political systems."
"What is Marxism’s view of class?","Society is divided into bourgeoisie and proletariat."
"What is bourgeoisie?","Owners of means of production."
"What is proletariat?","Working class who sell labour."
"What is exploitation?","Workers paid less than value they produce."
"What is alienation?","Workers disconnected from their labour."
"What is false consciousness?","Workers unaware of exploitation."
"What is a criticism of Marxism?","Ignores middle class and mobility."
"What is functionalism’s view of stratification?","Inequality is necessary and beneficial."
"What did Davis and Moore argue?","Important jobs need higher rewards."
"What is role allocation?","Assigning people to roles."
"What is a criticism of Davis and Moore?","Rewards not always linked to importance."
"What is social mobility?","Movement between social classes."
"What is upward mobility?","Moving to a higher class."
"What is downward mobility?","Moving to a lower class."
"What is intergenerational mobility?","Movement between generations."
"What is intragenerational mobility?","Movement within a lifetime."
"What is poverty?","Lack of resources."
"What is absolute poverty?","Inability to meet basic needs."
"What is relative poverty?","Lack compared to others."
"What is deprivation?","Lack of necessities."
"What is the underclass?","Group excluded from society."
"What did Murray argue?","Welfare creates dependency."
"What is a criticism of Murray?","Blames individuals not structure."
"What is Townsend’s view of poverty?","Relative deprivation."
"What is a criticism of poverty measures?","Difficult to define."
"What is gender inequality?","Unequal treatment based on gender."
"What is patriarchy?","Male dominance."
"What is the pay gap?","Difference in earnings between men and women."
"What is vertical segregation?","Women in lower positions."
"What is horizontal segregation?","Women in certain job sectors."
"What is a criticism of gender inequality?","Gap is narrowing."
"What is ethnicity?","Shared culture and identity."
"What is ethnic inequality?","Differences in outcomes between groups."
"What is racism?","Discrimination based on race."
"What is institutional racism?","Systemic bias in institutions."
"What is a criticism of ethnic inequality?","Some groups succeed."
"What is global inequality?","Differences between countries."
"What is development?","Economic and social progress."
"What is dependency theory?","Poor countries depend on rich ones."
"What is neoliberalism?","Free market approach."
"What is welfare state?","Government support system."
"What is meritocracy?","Success based on ability."
"What is a criticism of meritocracy?","Inequality still exists."
"What is cultural capital?","Knowledge and skills aiding success."
"What did Bourdieu argue?","Middle class have advantage."
"What is habitus?","Internalised values shaping behaviour."
"What is social capital?","Networks and connections."
"What is economic capital?","Financial resources."
"What is a key AO3 point?","Inequality is multi-dimensional."
"What is intersectionality?","Overlap of class, gender and ethnicity."
"What is a strong essay tip?","Use multiple perspectives."
"What is AO1?","Knowledge."
"What is AO2?","Application."
"What is AO3?","Evaluation."
"What is a strong evaluation phrase?","However, this can be criticised because..."
"What is a strong conclusion tip?","Balance arguments and justify judgement."
