Front,Back
What is urbanisation?,The increase in the proportion of people living in towns and cities.
What is a megacity?,A city with a population of over 10 million people.
What is a world city?,A globally influential city in finance trade and culture.
What is suburbanisation?,The movement of people from inner cities to outer suburbs.
What is counter-urbanisation?,Movement of people from urban to rural areas.
What is re-urbanisation?,The movement of people back into inner cities.
What is urban regeneration?,Investment to improve economic social and environmental conditions.
What is brownfield land?,Previously developed land suitable for redevelopment.
What is greenfield land?,Undeveloped land often on the urban fringe.
What is urban sprawl?,Uncontrolled expansion of urban areas.
What causes rapid urban growth in LICs?,Rural-urban migration and natural increase.
What is rural-urban migration?,Movement of people from countryside to cities.
What are push factors in rural areas?,Lack of jobs poor services low income.
What are pull factors in urban areas?,Employment education healthcare and better housing.
What is informal housing?,Unplanned housing built without official permission.
What is a squatter settlement?,Informal housing area lacking infrastructure.
What are challenges of informal settlements?,Poor sanitation overcrowding and lack of services.
What is urban deprivation?,Areas suffering from poverty unemployment and poor housing.
What is social segregation?,Separation of groups based on income or ethnicity.
What is gentrification?,Process of wealthier people moving into poorer urban areas.
What are positive impacts of gentrification?,Improved housing investment and services.
What are negative impacts of gentrification?,Displacement of low-income residents.
What is sustainable urban development?,Urban growth meeting present needs without harming future generations.
What is an eco-city?,A city designed to minimise environmental impact.
What is urban heat island effect?,Urban areas being warmer than surrounding rural areas.
What causes the urban heat island effect?,Concrete buildings traffic and lack of vegetation.
What is air pollution?,Contamination of air by harmful substances.
What are main sources of urban air pollution?,Traffic industry and domestic heating.
What is traffic congestion?,Excessive vehicle traffic causing delays.
What are impacts of congestion?,Air pollution stress and economic costs.
What is sustainable transport?,Transport systems reducing environmental impact.
Give examples of sustainable transport.,Cycling public transport electric vehicles.
What is waste management?,Collection recycling and disposal of waste.
What is landfill?,Disposal of waste by burial.
What is recycling?,Processing waste into reusable material.
What is urban flooding?,Flooding caused by impermeable surfaces and heavy rainfall.
Why are cities vulnerable to flooding?,Concrete surfaces and poor drainage.
What is green infrastructure?,Natural systems like parks and green roofs.
What are benefits of green infrastructure?,Reduces flooding improves air quality and biodiversity.
What is urban governance?,Management of cities by authorities and stakeholders.
What is participatory planning?,Involving local communities in decision-making.
What is economic inequality in cities?,Unequal distribution of wealth and services.
What is mixed-use development?,Combining residential commercial and leisure spaces.
What is a smart city?,A city using technology to improve efficiency and sustainability.
How can technology improve urban living?,Through data management transport and energy efficiency.
What is social sustainability?,Creating inclusive and equitable urban communities.
What is environmental sustainability in cities?,Reducing pollution conserving resources and protecting ecosystems.
How does globalisation influence cities?,Increases migration investment and economic competition.
What exam skill is essential in urban essays?,Using case studies with evaluation and balanced judgement.
