Front,Back
to achieve,atteindre | atteindre un objectif
achievement,la réussite | une grande réussite
to improve,améliorer | améliorer la situation
improvement,l'amélioration | une amélioration notable
to increase,augmenter | augmenter les prix
to decrease,diminuer | diminuer les coûts
to reduce,réduire | réduire les dépenses
to develop,développer | développer des compétences
development,le développement | le développement durable
to support,soutenir | soutenir une cause
support,le soutien | apporter du soutien
to provide,fournir | fournir des services
to allow,permettre | permettre à quelqu’un de
to encourage,encourager | encourager les jeunes
to prevent,empêcher | empêcher un problème
to avoid,éviter | éviter les erreurs
to create,créer | créer des emplois
to produce,produire | produire de l'énergie
to lead to,mener à | mener au succès
to result in,entraîner | entraîner des conséquences
to affect,affecter | affecter la société
impact,l'impact | avoir un impact
to influence,influencer | influencer les décisions
influence,l'influence | exercer une influence
to require,exiger | exiger des efforts
requirement,l'exigence | répondre aux exigences
to improve quality of life,améliorer la qualité de vie
quality,la qualité | de haute qualité
to protect,protéger | protéger l’environnement
protection,la protection | la protection de la nature
to damage,endommager | endommager la planète
damage,les dégâts | causer des dégâts
to solve,résoudre | résoudre un problème
solution,la solution | trouver une solution
to face,faire face à | faire face aux défis
challenge,le défi | relever un défi
to deal with,traiter | traiter un problème
to manage,gérer | gérer une situation
management,la gestion | la gestion du temps
to improve skills,améliorer ses compétences
skill,la compétence | compétences professionnelles
experience,l'expérience | acquérir de l’expérience
to gain experience,acquérir de l’expérience
to succeed,réussir | réussir dans la vie
success,le succès | avoir du succès
to fail,échouer | échouer à un examen
failure,l'échec | un échec total
opportunity,l'opportunité | saisir une opportunité
to take advantage of,profiter de | profiter d’une chance
to benefit from,bénéficier de | bénéficier d’un système
benefit,l'avantage | offrir des avantages
advantage,l'avantage | un avantage majeur
disadvantage,l'inconvénient | un inconvénient important
to improve education,améliorer l’éducation
education,l'éducation | système éducatif
school,le lycée | lycée public
university,l'université | aller à l’université
degree,le diplôme | obtenir un diplôme
to study,étudier | étudier à l’université
subject,la matière | matière principale
to revise,réviser | réviser pour les examens
exam,l'examen | passer un examen
to pass,réussir | réussir un examen
to fail (exam),échouer | échouer à un examen
teacher,l'enseignant | enseignant qualifié
student,l'étudiant | étudiant motivé
to learn,apprendre | apprendre une langue
knowledge,la connaissance | acquérir des connaissances
to teach,enseigner | enseigner aux élèves
lesson,le cours | assister à un cours
homework,les devoirs | faire ses devoirs
to complete,compléter | compléter une tâche
task,la tâche | accomplir une tâche
to improve results,améliorer les résultats
result,le résultat | obtenir de bons résultats
mark,la note | avoir de bonnes notes
grade,la note | note finale
pressure,la pression | subir de la pression
stress,le stress | gérer le stress
to motivate,motiver | motiver les élèves
motivation,la motivation | manque de motivation
to concentrate,se concentrer | se concentrer en classe
focus,la concentration | améliorer la concentration
to distract,distracter | être distrait
distraction,la distraction | éviter les distractions
technology,la technologie | technologie moderne
to use technology,utiliser la technologie
internet,l'internet | accès à internet
social media,les réseaux sociaux
to communicate,communiquer | communiquer avec les autres
communication,la communication | améliorer la communication
to connect,se connecter | se connecter en ligne
connection,la connexion | connexion internet
to share,partager | partager des idées
information,l'information | accéder à l’information
data,les données | analyser les données
to download,télécharger | télécharger des fichiers
to upload,téléverser | téléverser des documents
to access,accéder | accéder aux ressources
resource,la ressource | ressources en ligne
environment,l'environnement | protéger l’environnement
pollution,la pollution | réduire la pollution
climate change,le changement climatique
to recycle,recycler | recycler les déchets
recycling,le recyclage | encourager le recyclage
waste,les déchets | réduire les déchets
energy,l'énergie | économiser de l’énergie
renewable energy,l'énergie renouvelable
