Front,Back
What is a religious experience?,"A personal experience in which an individual believes they have encountered God or the divine."
Are religious experiences a priori or a posteriori?,"They are a posteriori because they are based on personal experience rather than reason alone."
What is an individual religious experience?,"An experience that is experienced by one person alone, rather than a group."
What is a corporate religious experience?,"An experience shared by a group of people, often within a religious setting or event."
What is a numinous experience?,"An overwhelming sense of awe, fear and fascination felt in the presence of the divine."
Who described the numinous experience?,"Rudolf Otto."
What does mysterium tremendum et fascinans mean?,"It describes the fear and attraction felt when encountering the divine."
What is a mystical experience?,"An experience involving a sense of union with God or ultimate reality."
Who identified the features of mystical experiences?,"William James."
What are the four characteristics of mystical experiences?,"Ineffability, noetic quality, transience and passivity."
What does ineffability mean?,"The experience cannot be fully expressed in words."
What does noetic quality mean?,"The experience gives insight or knowledge beyond normal understanding."
What is a conversion experience?,"A religious experience that leads to a significant change in belief or way of life."
What is a revelation?,"An experience in which God reveals truth or knowledge to a person."
What is one strength of religious experiences?,"They provide direct and personal evidence for belief in God."
What is one weakness of religious experiences?,"They are subjective and cannot be independently verified."
How does psychology challenge religious experiences?,"Psychologists argue that religious experiences may be explained by brain activity or mental states."
How does sociology challenge religious experiences?,"Sociologists argue that experiences are shaped by culture, upbringing and social context."
What is the principle of credulity?,"The idea that we should trust our experiences unless there is a strong reason not to."
Who proposed the principle of credulity?,"Richard Swinburne."
