Front,Back
What is a prime number?,"A number with exactly two factors."
What is a surd?,"An irrational square root."
How do you simplify surds?,"Factorise the number inside the root."
What is rationalising the denominator?,"Removing surd from denominator."
What is the quadratic formula?,"x equals negative b plus minus square root b squared minus four a c over two a."
What is the discriminant?,"b squared minus four a c."
What does discriminant greater than zero mean?,"Two real roots."
What does discriminant equal zero mean?,"One repeated root."
What does discriminant less than zero mean?,"No real roots."
How do you complete the square?,"Half the coefficient of x squared then square it."
What is a function?,"A mapping between inputs and outputs."
What is inverse function?,"Function that reverses original."
What is composite function?,"Function inside another."
What is iteration?,"Repeated substitution."
What is nth term of arithmetic sequence?,"a plus n minus one times d."
What is geometric sequence?,"Sequence with constant ratio."
What is expanding double brackets?,"Multiply each term."
What is factorising quadratic?,"Write as two brackets."
What is proof?,"Showing statement always true."
What is direct proportion?,"y equals k x."
What is inverse proportion?,"y equals k over x."
What is circle equation?,"x squared plus y squared equals r squared."
What is gradient formula?,"Change in y divided by change in x."
What is midpoint formula?,"Add coordinates divide by two."
What is distance formula?,"Square root of difference squared plus difference squared."
What is perpendicular gradient rule?,"Multiply to negative one."
What is Pythagoras theorem?,"a squared plus b squared equals c squared."
What is sine rule?,"a over sine A equals b over sine B."
What is cosine rule?,"a squared equals b squared plus c squared minus two b c cos A."
What is area of triangle using trig?,"Half a b sine C."
What is exact value of sin 30?,"One half."
What is exact value of cos 60?,"One half."
What is exact value of tan 45?,"One."
What is area of circle?,"Pi r squared."
What is circumference?,"Two pi r."
What is area of sector?,"Theta over 360 times pi r squared."
What is arc length?,"Theta over 360 times two pi r."
What is circle theorem angle at centre?,"Twice angle at circumference."
What is alternate segment theorem?,"Angle equals opposite angle."
What is cyclic quadrilateral rule?,"Opposite angles sum to 180."
What is vector?,"Magnitude and direction."
How do you add vectors?,"Add components."
What is scalar multiplication?,"Multiply each component."
What is solving simultaneous equations?,"Find values satisfying both."
What is solving by elimination?,"Add or subtract equations."
What is solving by substitution?,"Replace one variable."
What is expanding triple bracket?,"Multiply step by step."
What is solving quadratic inequality?,"Find roots then test regions."
What is asymptote?,"Line graph approaches but does not touch."
What is exponential growth?,"Increase by constant percentage."
What is compound interest formula?,"Amount equals principal times one plus rate power n."
What is density formula?,"Mass divided by volume."
What is pressure formula?,"Force divided by area."
What is speed formula?,"Distance divided by time."
What is standard form?,"Number between one and ten times power of ten."
What is multiplying in standard form?,"Multiply numbers add powers."
What is dividing in standard form?,"Divide numbers subtract powers."
What is solving quadratic by factorising?,"Set brackets equal zero."
What is turning point?,"Maximum or minimum."
What is derivative of x squared?,"Two x."
What is derivative of x cubed?,"Three x squared."
What is stationary point?,"Gradient equals zero."
What is solving trig equation?,"Find angles giving value."
What is degrees to radians?,"Multiply by pi over 180."
What is radians to degrees?,"Multiply by 180 over pi."
What is cumulative frequency?,"Running total."
What is box plot?,"Graph showing quartiles."
What is interquartile range?,"Upper quartile minus lower quartile."
What is probability tree?,"Diagram showing outcomes."
What is conditional probability?,"Probability given event occurred."
What is histogram?,"Bar chart for grouped data."
What is frequency density?,"Frequency divided by class width."
What is solving cubic equation?,"Factorise to linear and quadratic."
What is transformation f of x plus a?,"Shift left."
What is transformation f of x minus a?,"Shift right."
What is negative f of x?,"Reflect in x axis."
What is f of negative x?,"Reflect in y axis."
What is identity?,"Equation true for all values."
What is solving inequality?,"Find values making true."
What happens when multiply inequality by negative?,"Flip sign."
What is solving quadratic by completing square?,"Rewrite into squared form."
What is rearranging formula?,"Make subject."
What is expanding binomial squared?,"Square first twice product square last."
What is exact form?,"Leave as root or fraction."
What is rational number?,"Can be written as fraction."
What is irrational number?,"Cannot be written as fraction."
What is area of trapezium?,"Half sum parallel sides times height."
What is volume of sphere?,"Four thirds pi r cubed."
What is surface area of sphere?,"Four pi r squared."
What is volume of cone?,"One third pi r squared h."
What is equation of line?,"y equals m x plus c."
What is solving simultaneous quadratic and linear?,"Substitute into quadratic."
What is algebraic proof example?,"Even number equals two n."
What is completing square form?,"x plus a squared plus b."
What is product of roots?,"c over a."
What is sum of roots?,"Negative b over a."
What is solving by iteration?,"Use formula repeatedly."
What is gradient of curve?,"Derivative."
What is translation vector?,"Movement instruction."
What is bearing?,"Angle from north clockwise."
What is similarity?,"Same shape different size."
What is congruence?,"Same size and shape."
What is enlargement?,"Scale change from centre."
What is matrix multiplication rule?,"Rows times columns."
What is determinant?,"a d minus b c."
What is inverse matrix?,"One over determinant times swapped."
