"Front","Back"
"10 marker: Explain two functions of education (Functionalism)","1. Social solidarity (Durkheim) – education teaches shared values and norms.\n2. Role allocation (Parsons) – education sorts individuals into appropriate jobs based on ability."
"10 marker: Explain two ways education reproduces class inequality (Marxism)","1. Hidden curriculum – teaches obedience and acceptance of hierarchy.\n2. Correspondence principle – school mirrors workplace, preparing working-class pupils for exploitation."
"10 marker: Explain two external factors affecting achievement","1. Material deprivation – lack of resources impacts learning.\n2. Cultural deprivation – lack of language and skills needed for school success."
"10 marker: Explain two internal factors affecting achievement","1. Labelling – teachers’ perceptions influence outcomes.\n2. Streaming – ability grouping can reinforce inequality."
"10 marker: Explain two effects of marketisation","1. Competition between schools improves standards.\n2. Cream skimming advantages middle-class students."
"10 marker: Explain two gender differences in achievement","1. Girls outperform boys due to organisation and coursework skills.\n2. Boys may underachieve due to laddish subcultures."
"10 marker: Explain two ethnicity differences in achievement","1. Teacher labelling can negatively affect some groups.\n2. Institutional racism may disadvantage minority students."

"20 marker: Evaluate the view that education is meritocratic","AO1: Functionalists (Parsons) argue education is meritocratic.\nAO3: Marxists argue meritocracy is a myth.\nAO3: Evidence of class inequality persists.\nConclusion: Limited meritocracy due to structural inequality."
"20 marker: Evaluate the Marxist view of education","AO1: Education reproduces inequality (Bowles & Gintis).\nAO3: Supported by correspondence principle.\nAO3: Functionalists argue education benefits society.\nConclusion: Marxism highlights inequality but is one-sided."
"20 marker: Evaluate the impact of labelling on achievement","AO1: Labelling leads to self-fulfilling prophecy.\nAO3: Supported by Rosenthal & Jacobson.\nAO3: Deterministic and ignores pupil agency.\nConclusion: Important but not sole factor."
"20 marker: Evaluate the role of external factors in achievement","AO1: Material and cultural deprivation.\nAO3: Supported by studies like Douglas.\nAO3: Interactionists argue in-school factors also matter.\nConclusion: External factors significant but not exclusive."
"20 marker: Evaluate the role of internal factors in achievement","AO1: Labelling, streaming and subcultures.\nAO3: Supported by Becker and Lacey.\nAO3: External factors also influence outcomes.\nConclusion: Internal factors important but interact with external ones."
"20 marker: Evaluate the impact of marketisation policies","AO1: League tables and competition.\nAO3: Raises standards.\nAO3: Increases inequality (cream skimming).\nConclusion: Benefits some but disadvantages others."
"20 marker: Evaluate gender differences in education","AO1: Girls outperform boys.\nAO3: Linked to feminism and changing roles.\nAO3: Boys affected by masculinity norms.\nConclusion: Gender gap exists but is complex."
"20 marker: Evaluate ethnicity and achievement","AO1: Differences between ethnic groups.\nAO3: Labelling and institutional racism.\nAO3: Cultural and material factors also matter.\nConclusion: Multiple factors explain differences."
"20 marker: Evaluate the view education serves capitalism","AO1: Marxist theory.\nAO3: Evidence of inequality reproduction.\nAO3: Functionalist critique.\nConclusion: Education supports capitalism but also serves other functions."
