"What is a synoptic link?","A connection made between different areas of the specification to support evaluation."
"How can Natural Law link to Mind, Body and Soul?","Natural Law depends on a fixed human nature and purpose."
"How does Kant link to Free Will and Determinism?","Kant argues morality requires freedom and rational autonomy."
"How does Utilitarianism link to the Problem of Evil?","Both evaluate suffering in terms of overall outcomes."
"How does Situation Ethics link to Religious Language?","It prioritises practical love over abstract theological language."
"How does Aristotle link Virtue Ethics and the Soul?","Virtue ethics depends on the rational function of the soul."
"How does Aquinas link Natural Law and God?","Natural Law reflects God’s eternal law."
"How does Plato link to Life After Death?","His dualism supports belief in the immortality of the soul."
"How does Descartes link to Resurrection?","Dualism allows the soul to survive bodily death."
"How does Materialism challenge Christian resurrection?","It denies a non-physical soul."
"How does Hick link soul-making and life after death?","Eschatology completes moral development."
"How does Hick link to the Problem of Evil?","Evil develops moral character."
"How does Freud link to Religious Experience?","Religion may be psychological projection."
"How does Dawkins link to Religious Language?","Religious claims are seen as scientifically false."
"How does Flew link to Religious Experience?","Claims are unfalsifiable."
"How does Wittgenstein link to Religious Language and Ethics?","Meaning depends on language games."
"How does Tillich link Religious Language and God?","God is 'ultimate concern' rather than a being."
"How does Feminist Theology link to Ethics?","It critiques male-dominated moral systems."
"How does Liberation Theology link to Situation Ethics?","Both prioritise justice and love in context."
"How does Natural Law link to abortion debates?","It emphasises preservation of life."
"How does Utilitarianism link to euthanasia debates?","It focuses on reducing suffering."
"How does Kant link to euthanasia?","Suicide treats humanity as a means."
"How does Virtue Ethics link to euthanasia?","Focuses on compassion and character."
"How does Religious Experience link to arguments for God?","It offers experiential evidence."
"How does the Ontological Argument link to Religious Language?","It depends on analytic definitions."
"How does Aquinas link Cosmological Argument and Natural Law?","Both rely on purpose and causation."
"How does Hume link to Miracles and Causation?","He critiques violations of natural laws."
"How does Swinburne link to Religious Experience?","Uses the principle of credulity."
"How does Freud link to the soul?","He reduces mind to psychological processes."
"How does Marx link to Liberation Theology?","Shared concern for oppression."
"How does Secularisation link to New Atheism?","Declining religious authority encourages critique."
"How does Resurrection link to Personal Identity?","Raises questions about sameness after death."
"How does Locke link to Resurrection?","Identity based on memory continuity."
"How does Plato link to moral knowledge?","Knowledge of the Forms grounds morality."
"How does Kant link to God?","God is a postulate of practical reason."
"How does Utilitarianism challenge Natural Law?","It rejects fixed moral rules."
"How does Situation Ethics challenge Kant?","It rejects absolutist duty."
"How does Virtue Ethics link to Eudaimonia and Heaven?","Both involve flourishing."
"How does Hick link pluralism and eschatology?","Truth verified in afterlife."
"How does Feminism link to Religious Language?","Challenges male imagery of God."
"How does Process Theology link to the Problem of Evil?","God is not omnipotent in the classical sense."
"How does Dualism support belief in Heaven?","The soul survives bodily death."
"How does Materialism challenge Heaven?","No survival without body."
"How does Free Will Defence link to Kant?","Moral responsibility requires freedom."
"How does Determinism challenge ethics?","If no freedom, moral responsibility weakens."
"How does Agape link to Jesus’ teachings?","Love of neighbour summarises the law."
"How does Secular Humanism challenge Natural Law?","Morality does not require God."
"How does Postmodernism affect truth claims?","Rejects absolute religious meta-narratives."
"How does Hick link Religious Experience and Pluralism?","Experiences shaped by culture."
"How can you use synoptic links in a 25 marker?","To strengthen evaluation and demonstrate breadth of understanding."

