Front,Back
Who is Othello?,A respected Moorish general in the Venetian army and the tragic hero of the play
Who is Iago?,Othello's ensign who secretly plots to destroy him
Who is Desdemona?,Othello's loyal and loving wife
Who is Cassio?,Othello's trusted lieutenant who becomes a victim of Iago's schemes
Who is Emilia?,Iago's wife and Desdemona's attendant who eventually reveals the truth
Who is Roderigo?,A wealthy suitor manipulated by Iago
Who is Brabantio?,Desdemona's father who disapproves of her marriage to Othello
What happens in the opening scene?,Iago and Roderigo wake Brabantio to tell him about Desdemona's marriage
Why is Brabantio angry?,He believes Othello used witchcraft to marry Desdemona
Why does Othello travel to Cyprus?,To defend it from a Turkish attack
Why does Iago hate Othello?,He is angry Cassio was promoted instead of him
How does Iago manipulate Cassio?,He encourages him to drink and start a fight
Why is Cassio demoted?,He loses control during a drunken fight
How does Iago manipulate Othello?,He plants seeds of doubt about Desdemona's loyalty
What is the significance of the handkerchief?,It becomes false evidence of Desdemona's infidelity
Why does Othello become jealous?,Iago convinces him Desdemona is unfaithful
What does Othello demand from Iago?,Proof of Desdemona's betrayal
What happens to Desdemona?,Othello kills her believing she has betrayed him
Who reveals Iago's plan?,Emilia exposes the truth
How does Othello die?,He kills himself after realising the truth
What is the theme of jealousy?,Jealousy drives Othello to destroy what he loves
What is the theme of deception?,Iago deceives nearly every character
What is the theme of love?,Othello and Desdemona's love is destroyed by mistrust
What is the theme of betrayal?,Iago betrays Othello's trust
What is the theme of reputation?,Characters fear damage to their honour and reputation
What is the theme of race?,Othello faces prejudice as an outsider
What is the theme of gender?,Women are often controlled or silenced by men
What is the theme of manipulation?,Iago manipulates others to achieve his revenge
What is appearance vs reality?,Iago appears loyal while secretly plotting
What is the theme of trust?,Othello places too much trust in Iago
What does the quote I am not what I am mean?,Iago admits he is deceptive
What does O beware my lord of jealousy mean?,Iago warns Othello while secretly encouraging jealousy
What does She loved me for the dangers I had passed mean?,Othello explains why Desdemona fell in love with him
What does My life upon her faith mean?,Othello shows complete trust in Desdemona
What does Trifles light as air mean?,Small pieces of evidence convince the jealous
What does Put out the light and then put out the light mean?,Othello symbolically prepares to kill Desdemona
What does I kissed thee ere I killed thee mean?,Othello expresses tragic regret
What does Speak of me as I am mean?,Othello asks to be remembered truthfully
What does Reputation reputation reputation mean?,Cassio fears losing his honour
What does the green eyed monster represent?,Jealousy
What does the handkerchief symbolise?,Love loyalty and betrayal
What does animal imagery represent?,Characters are described using degrading comparisons
What is dramatic irony in Othello?,The audience knows Iago is lying
What is a soliloquy?,A speech revealing a character's inner thoughts
What is symbolism?,Objects representing deeper meanings
What is the structure of tragedy?,A noble hero falls due to a fatal flaw
What is Othello's tragic flaw?,His insecurity and jealousy
What is the role of Emilia?,She reveals the truth about Iago
Why is Desdemona innocent?,She remains loyal to Othello throughout
What is the moral lesson of Othello?,Jealousy and manipulation can destroy lives
