"Front","Back"
"What is a family?","A group of individuals related by blood, marriage or adoption."
"What is a household?","A person or group living in the same residence."
"What is the nuclear family?","Two parents and their dependent children."
"What is an extended family?","Family including relatives beyond the nuclear unit."
"What is a reconstituted family?","A stepfamily formed after divorce or separation."
"What is a lone-parent family?","A family with one parent and children."
"What is cohabitation?","Living together without marriage."
"What is serial monogamy?","Having a sequence of partners over a lifetime."
"What is family diversity?","Variety of different family types."
"What did the New Right argue about families?","The nuclear family is the ideal type."
"What is the New Right view on lone parents?","They create social problems and dependency."
"What is functionalism’s view of the family?","It performs essential functions for society."
"What are Parsons’ two functions?","Primary socialisation and stabilisation of adult personalities."
"What is primary socialisation?","Teaching children norms and values."
"What is stabilisation of adult personalities?","Providing emotional support for adults."
"What is the warm bath theory?","Family provides comfort from work stress."
"What is a criticism of functionalism?","Ignores family conflict and inequality."
"What is Marxism’s view of the family?","The family serves capitalism."
"What are the three Marxist functions of the family?","Inheritance, consumption and ideological control."
"What is inheritance?","Passing wealth down generations."
"What is unit of consumption?","Families buy goods, benefiting capitalism."
"What is ideological control?","Family socialises acceptance of inequality."
"What is a criticism of Marxism?","Ignores positive aspects of family life."
"What is feminism’s view of the family?","The family reinforces patriarchy."
"What is patriarchy?","Male dominance in society."
"What is domestic labour?","Unpaid housework in the home."
"What is the dual burden?","Women do paid work and housework."
"What is the triple shift?","Paid work, housework and emotional labour."
"Who developed the triple shift?","Duncombe and Marsden."
"What is emotional labour?","Managing emotions within relationships."
"What is a criticism of feminism?","Overgeneralises all families as oppressive."
"What is the symmetrical family?","Equal roles between partners."
"Who proposed the symmetrical family?","Willmott and Young."
"What changes led to symmetrical families?","Women working, technology, welfare state."
"What is a criticism of symmetrical family?","Inequality still exists."
"What is the march of progress view?","Families are becoming more equal."
"What is the dark side of the family?","Abuse and violence within families."
"Who discussed the dark side?","Zaretsky."
"What is domestic violence?","Violence within intimate relationships."
"What is a criticism of official statistics on domestic violence?","They underestimate true levels."
"What is childhood socially constructed?","Childhood varies across time and culture."
"What is toxic childhood?","Modern childhood is stressful and harmful."
"What is age patriarchy?","Adults dominating children."
"What is the march of progress view of childhood?","Children’s lives have improved."
"What did Aries argue about childhood?","Childhood is a modern invention."
"What is the industrialisation impact on families?","Shift from extended to nuclear families."
"What is urbanisation?","Movement to cities changing family structure."
"What is the functional fit theory?","Family structure adapts to society."
"What did Parsons argue about industrial society?","Nuclear families are more suited."
"What is geographic mobility?","Moving for work."
"What is social mobility?","Changing social class."
"What is a criticism of functional fit theory?","Evidence shows extended families still exist."
"What is the life course approach?","Focus on stages of life and transitions."
"What is a cohort?","People born in the same time period."
"What is divorce rate?","Number of divorces per population."
"What are reasons for rising divorce?","Changing laws, secularisation, women’s independence."
"What is secularisation?","Decline in religious influence."
"What is the impact of divorce on children?","Can cause emotional and financial issues."
"What is a criticism of divorce statistics?","May not reflect relationship breakdown fully."
"What is marriage rate?","Number of marriages per population."
"What is cohabitation trend?","Increasing in modern society."
"What is birth rate?","Number of births per population."
"What is declining birth rate?","Fewer children being born."
"What are reasons for declining birth rate?","Cost of living, women’s careers, contraception."
"What is the ageing population?","Increasing number of elderly people."
"What is the dependency ratio?","Ratio of dependents to working population."
"What is the impact of ageing population?","Pressure on healthcare and pensions."
"What is social policy?","Government actions affecting families."
"What is the welfare state?","State provides support for citizens."
"What is child benefit?","Payments to support families with children."
"What is maternity leave?","Time off work after childbirth."
"What is paternity leave?","Time off for fathers after birth."
"What is a criticism of social policy?","Policies may favour certain family types."
"What is the New Right view of policy?","Encourage traditional nuclear families."
"What is feminism’s view of policy?","Policies reinforce patriarchy."
"What is postmodernism view of family?","Family is diverse and changing."
"What is choice in family life?","Individuals choose family types."
"What is negotiated family?","Roles are discussed and agreed."
"What is individualisation?","Focus on individual choice."
"What is a criticism of postmodernism?","Ignores structural constraints."
"What is the personal life perspective?","Focus on meanings of relationships."
"What is connectedness?","Relationships beyond household."
"What is same-sex family?","Family with same-sex parents."
"What is beanpole family?","Long thin family with few children."
"What is globalisation and families?","Migration influencing family structure."
"What is transnational family?","Family spread across countries."
"What is remittances?","Money sent home by migrants."
"What is child-centredness?","Children are the focus of family life."
"What is a criticism of child-centredness?","May create pressure on parents."
"What is intensive parenting?","High levels of involvement in children’s lives."
"What is helicopter parenting?","Overprotective parenting."
"What is economic factor in family change?","Employment patterns influence families."
"What is female employment impact?","More independence and changing roles."
"What is gender role socialisation?","Teaching gender roles in family."
"What is patriarchy in family?","Men hold more power."
"What is power and control?","Decision-making authority in relationships."
"What is decision-making equality?","Both partners share decisions."
"What is financial control?","Who controls money."
"What is a criticism of equality claims?","Men still dominate finances."
"What is domestic division of labour?","Sharing of housework."
"What is a criticism of division of labour?","Women still do more housework."
"What is time use study?","Measures how people spend time."
"What did Gershuny find?","Men are doing more housework."
"What is a criticism of Gershuny?","Women still do the majority."
"What is conjugal roles?","Roles within marriage."
"What is segregated roles?","Separate roles for men and women."
"What is joint roles?","Shared roles between partners."
"What is a criticism of joint roles?","Often still unequal."
"What is social class and family?","Class influences family structure."
"What is working-class family?","More extended or traditional."
"What is middle-class family?","More nuclear and diverse."
"What is ethnicity and family?","Different cultures have different family patterns."
"What is cultural variation?","Differences between cultures."
"What is a criticism of generalising ethnicity?","Groups are diverse."
"What is a key exam tip for families essays?","Use theory + evidence + evaluation."
"What is AO1?","Knowledge and understanding."
"What is AO2?","Application to context."
"What is AO3?","Analysis and evaluation."
"What is a strong evaluation phrase?","However, this view can be criticised because..."
"What is a strong conclusion tip?","Weigh up arguments and give judgement."
