Front,Back
What is the purpose of an introduction in a literature essay?,To outline the argument and respond directly to the question
What should an introduction include?,The main argument context and focus of the essay
What is a thesis statement?,A clear sentence explaining the main argument of the essay
What is an analytical paragraph?,A paragraph that explains how evidence supports an argument
What structure can be used for paragraphs?,Point Evidence Analysis Link
What does PEEL stand for?,Point Evidence Explanation Link
What is textual evidence?,Quotations from the text used to support an argument
Why are quotations important?,They support interpretations with direct evidence
How should quotations be embedded?,Integrated smoothly into sentences
What is analysis in literature?,Explaining how language structure or form creates meaning
What is evaluation?,Judging the significance or effectiveness of an idea
Why is context important in essays?,It helps explain the meaning and themes of the text
What does AO1 assess?,Clear argument and use of terminology
What does AO2 assess?,Analysis of language structure and form
What does AO3 assess?,Understanding of context
What does AO5 assess?,Different interpretations and critical perspectives
How can students compare texts?,By analysing similarities and differences in themes and methods
What is a comparative essay?,An essay analysing two texts together
What should a comparative paragraph include?,Points about both texts with evidence and analysis
What is a topic sentence?,The opening sentence stating the paragraph's main idea
Why is structure important in essays?,It makes arguments clear and logical
What is writer's intention?,What the author aims to communicate
How do writers create meaning?,Through language structure and literary techniques
What is close analysis?,Detailed examination of specific words and phrases
Why is language analysis important?,It shows how writers create effects and meanings
What is form in literature?,The type or structure of the text such as poem play or novel
What is structure in literature?,How the text is organised
How can students analyse structure?,By examining shifts contrasts and development
What is a theme?,A central idea explored in a text
How should themes be discussed?,Using evidence and analysis
What is interpretation?,An explanation of the meaning of a text
Why can texts have multiple interpretations?,Different readers understand texts differently
What is critical perspective?,A particular way of analysing a text
Why should essays evaluate ideas?,To show deeper understanding
What is a balanced argument?,Considering multiple viewpoints
What is a conclusion?,The final paragraph summarising the argument
What should a conclusion do?,Answer the question and reinforce the argument
What is coherence in writing?,Clear logical flow between ideas
What is cohesion?,Linking ideas smoothly across paragraphs
What are connectives?,Words that link ideas such as however therefore and similarly
What is academic style?,Formal precise writing used in essays
Why should students avoid retelling the story?,Essays should analyse rather than summarise
What is a strong essay argument?,One that is supported by evidence and analysis
How can students improve analysis?,By explaining how language creates meaning
Why should essays link back to the question?,To keep the argument focused
What is exam time management?,Planning and writing within the time limit
Why should students plan essays?,To organise ideas before writing
What is a high band answer?,An essay with clear argument detailed analysis and evaluation
How can students achieve top marks?,By analysing methods using context and evaluating interpretations
