Front,Back
What does AO1 assess in A-Level Geography?,Knowledge and understanding of geographical concepts.
What does AO2 assess?,Application of knowledge to specific contexts.
What does AO3 assess?,Analysis evaluation and interpretation of data.
How many marks are typically AO1 in a 20 mark essay?,Around 6–8 marks.
How many marks are typically AO2 in a 20 mark essay?,Around 6–8 marks.
How many marks are typically AO3 in a 20 mark essay?,Around 6–8 marks.
What does 'Assess' mean in exam questions?,Make a judgement weighing up strengths and weaknesses.
What does 'Evaluate' mean?,Judge the significance or importance of something.
What does 'To what extent' require?,A balanced argument with a clear final judgement.
What does 'Analyse' mean?,Explain why and how something happens using cause and effect.
What is the ideal structure for a 20 mark essay?,Introduction balanced paragraphs case studies and clear conclusion.
What should an introduction include?,Define key terms outline argument and direction.
How many main paragraphs in a 20 mark essay?,Usually three well-developed paragraphs.
What should each paragraph contain?,Point explanation evidence case study and evaluation.
Why are case studies important?,They provide AO2 application marks.
What makes case study evidence strong?,Specific data statistics and named locations.
How can you improve AO3 marks?,By comparing viewpoints and evaluating evidence.
What is synoptic thinking?,Linking different topics together.
Why is synoptic linking important?,It shows higher-level understanding.
How should you conclude a 20 mark essay?,Give a clear reasoned judgement answering the question.
What is a command word?,The instruction telling you what the examiner wants.
Why is time management important?,Ensures all questions are completed fully.
How long should you spend on a 20 marker?,Around 25–30 minutes.
What is a data response question?,A question requiring analysis of provided figures maps or graphs.
How do you analyse a graph?,Identify trends anomalies and link to geography knowledge.
What is an anomaly?,A result that does not fit the pattern.
How do you gain marks in 4–6 mark questions?,Make developed points with clear explanation.
What is a PEEL structure?,Point Explain Evidence Link.
How do you structure a 9 mark question?,Three developed paragraphs with some evaluation.
Why define key terms?,Clarifies understanding and gains AO1 marks.
What is over-description?,Writing facts without analysis or application.
How can you avoid waffle?,Focus directly on the question wording.
What is balance in evaluation?,Presenting both sides before judging.
What makes evaluation sophisticated?,Considering scale time and context.
Why is scale important in geography?,Impacts vary locally nationally and globally.
What is temporal scale?,Short-term versus long-term impacts.
What is spatial scale?,Local regional national or global perspective.
How can you integrate diagrams?,Use labelled diagrams to support explanation.
Why practise past papers?,Improves timing structure and confidence.
How can you revise case studies effectively?,Use key statistics and summary flashcards.
What is a developed point?,A point explained with cause effect and evidence.
How do you show critical thinking?,Question assumptions and compare alternatives.
Why is clarity important?,Examiners reward clear structured answers.
How do you improve paragraph flow?,Use linking sentences between ideas.
What is examiner expectation?,Clear structure strong case study and evaluation.
How do you handle unfamiliar questions?,Break down command words and apply core concepts.
What is a high-level conclusion?,One that answers directly and justifies judgement.
Why avoid repetition?,It wastes time and gains no extra marks.
How can you secure A*?,Consistent evaluation precise case studies and synoptic links.
What is the biggest mistake students make?,Describing instead of analysing.

