"What is object-oriented programming (OOP)?","A programming paradigm based on objects and classes"
"What is a class?","A blueprint for creating objects"
"What is an object?","An instance of a class"
"What is an attribute?","A property or variable in a class"
"What is a method?","A function associated with a class"
"What is encapsulation?","Hiding data within a class"
"What is data hiding?","Restricting access to internal data"
"What is inheritance?","A class deriving properties from another class"
"What is polymorphism?","Ability to take multiple forms"
"What is abstraction?","Hiding complex implementation details"
"What is a constructor?","A method that initialises an object"
"What is a default constructor?","Constructor with no parameters"
"What is a parameterised constructor?","Constructor with parameters"
"What is a destructor?","Method that cleans up object"
"What is an instance variable?","Variable specific to an object"
"What is a class variable?","Variable shared across all objects"
"What is self/this keyword?","Refers to current object"
"What is method overriding?","Subclass redefining parent method"
"What is method overloading?","Multiple methods with same name"
"What is access modifier?","Controls visibility of data"
"What is public access?","Accessible anywhere"
"What is private access?","Accessible only within class"
"What is protected access?","Accessible in subclasses"
"What is a getter method?","Returns value of attribute"
"What is a setter method?","Modifies value of attribute"
"What is composition?","Class contains objects of other classes"
"What is aggregation?","Weak relationship between objects"
"What is association?","General relationship between objects"
"What is UML?","Unified Modeling Language"
"What is UML class diagram?","Visual of classes and relationships"
"What is superclass?","Parent class"
"What is subclass?","Child class"
"What is multiple inheritance?","Class inherits from multiple parents"
"What is single inheritance?","One parent class"
"What is hierarchical inheritance?","Multiple subclasses from one parent"
"What is multilevel inheritance?","Chain of inheritance"
"What is interface?","Defines methods without implementation"
"What is abstract class?","Cannot be instantiated"
"What is abstract method?","Method without implementation"
"What is concrete class?","Fully implemented class"
"What is message passing?","Objects communicate via methods"
"What is dynamic binding?","Method resolved at runtime"
"What is static binding?","Method resolved at compile time"
"What is cohesion in OOP?","How related class elements are"
"What is coupling in OOP?","Dependency between classes"
"What is object state?","Current values of attributes"
"What is object behaviour?","Actions defined by methods"
"What is instantiation?","Creating an object"
"What is object lifecycle?","Creation to destruction"
"What is encapsulation benefit?","Protects data integrity"
"What is inheritance benefit?","Code reuse"
"What is polymorphism benefit?","Flexibility in code"
"What is abstraction benefit?","Simplifies complexity"
"What is class diagram relationship?","Shows connections"
"What is one-to-one relationship?","One object linked to one"
"What is one-to-many relationship?","One object linked to many"
"What is many-to-many relationship?","Multiple objects linked"
"What is class responsibility?","What class does"
