"Front","Back"
"What is work done?","Energy transferred when a force moves an object through a distance"
"What is the formula for work done","Work done equals force times distance moved in direction of force"
"What is the unit of work done","Joule J"
"What is energy?","The capacity to do work"
"What is kinetic energy?","The energy an object has due to its motion"
"What is the formula for kinetic energy","Half times mass times velocity squared"
"What is gravitational potential energy?","Energy stored due to position in a gravitational field"
"What is the formula for gravitational potential energy","Mass times gravitational field strength times height"
"What is elastic potential energy?","Energy stored when an object is stretched or compressed"
"What is the formula for elastic potential energy","Half times spring constant times extension squared"
"What is Hookes Law?","Force is proportional to extension within elastic limit"
"What is the formula for Hookes Law","Force equals spring constant times extension"
"What is the spring constant","A measure of stiffness of a spring"
"What is the unit of spring constant","Newton per metre N/m"
"What is power?","The rate of energy transfer or work done"
"What is the formula for power","Power equals energy divided by time"
"What is another formula for power","Power equals force times velocity"
"What is the unit of power","Watt W"
"What does one watt represent","One joule of energy transferred per second"
"What is efficiency?","The ratio of useful output to total input"
"What is the formula for efficiency","Useful energy output divided by total energy input times 100 percent"
"What happens to wasted energy","It is dissipated usually as heat or sound"
"What is conservation of energy?","Energy cannot be created or destroyed only transferred"
"What is a closed system","A system where no energy is lost to surroundings"
"What is a Sankey diagram","A diagram showing energy transfers and losses"
"What does width of arrows represent in Sankey diagram","Amount of energy"
"What is useful energy?","Energy transferred to desired output"
"What is wasted energy?","Energy transferred to undesired forms"
"What is mechanical energy?","Total kinetic and potential energy"
"What happens to kinetic energy when speed increases","It increases rapidly because of velocity squared"
"What happens to gravitational potential energy when height increases","It increases"
"What is work done against gravity","Equal to gain in gravitational potential energy"
"What is work done against friction","Energy lost as heat"
"What is dissipation of energy","Spreading of energy to surroundings"
"What is renewable energy source","Energy source that is naturally replenished"
"What is non renewable energy source","Energy source that will run out"
"What is energy transfer by heating","Energy transfer due to temperature difference"
"What is energy transfer by mechanical work","Energy transfer due to forces"
"What is energy transfer electrically","Energy transfer by moving charges"
"What is energy transfer by radiation","Energy transfer by waves such as light"
"What is a force displacement graph","Graph showing relationship between force and distance"
"What does area under force displacement graph represent","Work done"
"What is extension?","Increase in length from original length"
"What is limit of proportionality","Point where Hookes Law no longer applies"
"What is elastic limit","Point beyond which permanent deformation occurs"
"What happens beyond elastic limit","Object does not return to original shape"
"What is elastic deformation","Temporary change in shape"
"What is plastic deformation","Permanent change in shape"
"What is energy stored in a spring","Elastic potential energy"
"What affects elastic potential energy","Spring constant and extension"
"What is the relationship between force and extension","Directly proportional up to limit of proportionality"
"What is the gradient of force extension graph","Spring constant"
"What is specific energy","Energy per unit mass"
"What is energy density","Energy stored per unit volume or mass"
"What is work done by a constant force","Force multiplied by distance"
"What is work done by variable force","Area under graph"
"What is useful power","Power transferred usefully"
"What is wasted power","Power lost to surroundings"
"What is a machine?","A device that transfers energy"
"What is mechanical advantage","Ratio of output force to input force"
"What is velocity ratio","Distance moved by effort divided by distance moved by load"
"What is efficiency of a machine","Useful output energy divided by input energy"
"What is input energy","Energy supplied to a system"
"What is output energy","Energy transferred by a system"
"What is a conservative force","A force where energy is conserved"
"What is an example of conservative force","Gravitational force"
"What is a non conservative force","A force where energy is dissipated"
"What is an example of non conservative force","Friction"
"What is the work energy principle","Work done equals change in energy"
"What happens when work is done on an object","Its energy increases"
"What is power output","Rate of useful energy transfer"
"What is power input","Total rate of energy supplied"
"What is the effect of time on power","Less time means greater power"
"What is instantaneous power","Power at a specific moment"
"What is average power","Total energy transferred divided by time"
"What is energy transfer efficiency less than 100 percent","Some energy is wasted"
"What is a high efficiency system","Most energy is usefully transferred"
"What is a low efficiency system","Large amount of energy wasted"
"What is energy degradation","Energy becoming less useful"
"What is the role of friction in energy transfer","It causes energy loss as heat"
"What is the role of air resistance","It dissipates energy"
"What is the relationship between power force and velocity","Power equals force times velocity"
"What is the effect of doubling velocity on kinetic energy","Kinetic energy increases by four times"
"What is the effect of doubling mass on kinetic energy","Kinetic energy doubles"
"What is the effect of doubling height on GPE","GPE doubles"
"What is gravitational potential energy dependent on","Mass gravity and height"
"What is kinetic energy dependent on","Mass and velocity squared"
"What is elastic potential energy dependent on","Spring constant and extension squared"

