Front,Back
When did James I become king of England?,1603 after the death of Elizabeth I
What union occurred in 1603?,The Union of the Crowns between England and Scotland
What was James I's belief in kingship?,The Divine Right of Kings
What did the Divine Right of Kings mean?,That monarchs were chosen by God and not accountable to Parliament
What was the Hampton Court Conference?,A meeting in 1604 between James I and religious leaders
What was produced after the Hampton Court Conference?,The King James Bible in 1611
Who were the Puritans?,Protestants who wanted further reform of the Church of England
What was the Gunpowder Plot?,A Catholic conspiracy to blow up Parliament in 1605
Who led the Gunpowder Plot?,Robert Catesby
Who was Guy Fawkes?,A conspirator caught guarding gunpowder under Parliament
Why did the Gunpowder Plot fail?,Authorities discovered the conspiracy before it could be carried out
Why did tensions exist between James I and Parliament?,Disagreements over money and royal authority
What financial problem faced James I?,Royal debts and insufficient income
What were impositions?,Customs duties introduced without Parliamentary approval
Why were impositions controversial?,They bypassed Parliament's control over taxation
When did Charles I become king?,1625
Why did Charles I clash with Parliament?,He believed strongly in royal authority
What was the Petition of Right?,A Parliamentary document limiting royal power in 1628
Why did Charles I accept the Petition of Right?,He needed Parliamentary funds
What was the Personal Rule?,Charles I ruling without Parliament from 1629 to 1640
What was ship money?,A tax traditionally raised for naval defence
Why was ship money controversial?,Charles I imposed it during peacetime without Parliament
Who challenged ship money in court?,John Hampden
What religious policy caused tension under Charles I?,Promotion of Arminianism
Who was William Laud?,Archbishop of Canterbury supporting religious reforms
Why did Puritans oppose Laud?,They saw his reforms as too Catholic
What caused the Bishops' Wars?,Charles I's attempt to impose the English Prayer Book in Scotland
When did the Bishops' Wars occur?,1639 and 1640
Why did Charles I call the Short Parliament?,He needed money to fight Scotland
Why did the Short Parliament end quickly?,Parliament refused funding without addressing grievances
What was the Long Parliament?,A Parliament called in 1640 that lasted many years
What reforms did the Long Parliament introduce?,Limiting royal authority and abolishing key royal courts
What was the Triennial Act?,A law requiring Parliament to be called every three years
What happened to Thomas Wentworth?,He was executed for treason in 1641
What was the Grand Remonstrance?,A list of grievances against Charles I
Why did the Grand Remonstrance increase tensions?,It revealed deep divisions in Parliament
What happened in January 1642?,Charles I attempted to arrest five members of Parliament
Why was this event significant?,It marked the breakdown of relations with Parliament
When did the English Civil War begin?,1642
Who were the Royalists?,Supporters of King Charles I
Who were the Parliamentarians?,Supporters of Parliament
Why did many nobles support the king?,They believed in traditional monarchy
Why did many towns support Parliament?,They feared royal absolutism
What was the Battle of Edgehill?,The first major battle of the Civil War in 1642
Why was the Battle of Marston Moor significant?,It gave Parliament control of northern England
When did the Battle of Marston Moor occur?,1644
What was the New Model Army?,A professional army created by Parliament
Who helped create the New Model Army?,Oliver Cromwell and Sir Thomas Fairfax
Why was the New Model Army effective?,It was disciplined and promoted on merit
What was the Battle of Naseby?,A decisive Parliamentary victory in 1645
Why was the Battle of Naseby important?,It destroyed the main Royalist army
What happened to Charles I after the war?,He was captured by Parliamentary forces
Why did divisions emerge within Parliament?,Different views about religion and power
Who were the Levellers?,A political group demanding greater political equality
What was Pride's Purge?,The removal of MPs opposed to the trial of the king
When did Pride's Purge occur?,1648
What was the Rump Parliament?,The remaining MPs after Pride's Purge
When was Charles I executed?,30 January 1649
Why was Charles I executed?,He was found guilty of treason against the nation
Why was the execution of Charles I significant?,It ended the monarchy temporarily
What government replaced the monarchy?,The Commonwealth
Who became the dominant leader of the Commonwealth?,Oliver Cromwell
What was the Commonwealth?,A republic established after the king's execution
Why did Cromwell dismiss the Rump Parliament?,He believed it was ineffective
When did Cromwell become Lord Protector?,1653
What was the Protectorate?,Cromwell's military government
Why did Cromwell rely on the army?,To maintain stability and authority
What were the Major Generals?,Military governors ruling regions of England
Why were the Major Generals unpopular?,They imposed strict moral laws
When did Cromwell die?,1658
Who succeeded Cromwell?,His son Richard Cromwell
Why did Richard Cromwell lose power?,He lacked support from the army
When was the monarchy restored?,1660
Who became king in 1660?,Charles II
What was the Restoration?,The return of the monarchy after the Commonwealth
Why was the Restoration significant?,It ended the republican experiment in England
