Front,Back
What is the hydrological cycle?,The continuous movement of water between atmosphere land and oceans.
What is a drainage basin?,An area drained by a river and its tributaries.
What is evapotranspiration?,Combined evaporation and transpiration.
What is the carbon cycle?,The movement of carbon between atmosphere biosphere oceans and lithosphere.
What is a carbon sink?,A store absorbing more carbon than it releases.
What is a carbon source?,A store releasing more carbon than it absorbs.
What is ocean acidification?,Lowering of ocean pH due to dissolved CO2.
What is longshore drift?,Movement of sediment along the coast by angled wave approach.
What is hydraulic action?,Wave force compressing air in cracks causing erosion.
What is abrasion?,Rock fragments scraping the cliff face.
What is attrition?,Rock fragments colliding becoming smaller and rounder.
What is plucking?,Ice freezing onto rock and pulling it away.
What is abrasion in glaciation?,Rock embedded in ice grinding bedrock.
What is a corrie?,Bowl-shaped hollow formed by glacial erosion.
What is a U-shaped valley?,Wide flat-bottomed valley carved by ice.
What is a moraine?,Accumulation of glacial debris.
What is a tectonic hazard?,Hazard caused by plate movement.
What causes earthquakes?,Sudden energy release along faults.
What is a tropical storm?,Rotating low-pressure system over warm oceans.
What conditions form tropical storms?,Sea temperatures above 27°C and low wind shear.
What is an ecosystem?,Community of organisms interacting with environment.
What is biodiversity?,Variety of plant and animal life.
What is succession?,Gradual development of ecosystems over time.
What is a biome?,Large-scale ecosystem defined by climate.
What is urbanisation?,Increase in proportion of people living in cities.
What is a megacity?,City with population over 10 million.
What is gentrification?,Wealthier residents moving into poorer areas.
What is regeneration?,Investment to improve urban areas.
What is globalisation?,Increasing interconnectedness of countries.
What is a TNC?,Company operating in multiple countries.
What is foreign direct investment?,Investment in business operations abroad.
What is the development gap?,Difference in wealth between countries.
What is HDI?,Human Development Index measuring health education income.
What is migration?,Movement of people from one place to another.
What is a push factor?,Reason forcing people to leave.
What is a pull factor?,Reason attracting people.
What are remittances?,Money sent home by migrants.
What is demographic transition model?,Model showing population change with development.
What is natural increase?,Birth rate minus death rate.
What is carrying capacity?,Maximum population environment can sustain.
What is food security?,Reliable access to sufficient food.
What is water security?,Reliable access to safe water.
What is energy security?,Reliable access to affordable energy.
What is renewable energy?,Energy from naturally replenished sources.
What is overpopulation?,Population exceeding carrying capacity.
What is sustainable development?,Meeting needs without harming future generations.
What is climate change?,Long-term alteration of global climate.
What is mitigation?,Actions reducing hazard impact.
What is adaptation?,Adjustments to reduce vulnerability.
What is resilience?,Ability to recover from hazards.
What does AO1 assess?,Knowledge and understanding.
What does AO2 assess?,Application to context.
What does AO3 assess?,Analysis and evaluation.
What does 'Assess' require?,Balanced judgement.
What is synoptic thinking?,Linking topics across themes.
What is spatial scale?,Local to global perspective.
What is temporal scale?,Short-term versus long-term.
What is dependency ratio?,Ratio of dependents to working population.
What is an ageing population?,High proportion over 65.
What is a youthful population?,High proportion under 15.
What is desertification?,Land degradation in dry areas.
What is aquifer depletion?,Overuse of groundwater.
What is desalination?,Removing salt from seawater.
What is sustainable yield?,Maximum resource use without depletion.
What is a superpower?,Country with global political and economic influence.
What is economic interdependence?,Countries relying on each other economically.
What is political interdependence?,Countries cooperating through agreements.
What is a trade bloc?,Group of countries reducing trade barriers.
What is protectionism?,Policies protecting domestic industries.
What is fair trade?,System ensuring fair prices for producers.
What is a smart city?,City using technology for efficiency.
What is green infrastructure?,Natural systems reducing urban impacts.
What is the urban heat island effect?,Cities being warmer than rural areas.
What is isostatic rebound?,Land rising after ice melt.
What is eustatic sea level change?,Global change in sea levels.
What is ocean circulation?,Movement of water driven by temperature and salinity.
What is thermohaline circulation?,Global ocean conveyor belt.
What is permafrost?,Permanently frozen ground.
What is a feedback loop?,Process amplifying or reducing change.
What is positive feedback?,Amplifies initial change.
What is negative feedback?,Reduces initial change.
What is food sovereignty?,Right to control food systems.
What is land grabbing?,Large-scale land purchase by foreign investors.
What is biofuel?,Fuel made from crops.
What is peak oil?,Maximum rate of oil production.
What is circular economy?,Reducing waste through reuse and recycling.
What is hazard management cycle?,Framework for hazard response.
What is the Park Model?,Model showing recovery after disaster.
What is urban sprawl?,Uncontrolled city expansion.
What is suburbanisation?,Movement to suburbs.
What is counter-urbanisation?,Movement to rural areas.
What is place perception?,How people view a place.
What is sense of place?,Emotional attachment to location.
What is qualitative data?,Descriptive data.
What is quantitative data?,Numerical data.
What is a case study?,Detailed real-world example.
What is evaluation?,Weighing up arguments to form judgement.
What is longshore drift?,Movement of sediment along the coast by waves approaching at an angle.
What is a sediment cell?,A stretch of coastline where sediment is largely self-contained.
What is a concordant coastline?,Rock layers run parallel to the coastline.
What is a discordant coastline?,Rock layers run perpendicular to the coastline.
How is a spit formed?,Longshore drift deposits sediment beyond a bend in the coastline.
What is a tombolo?,A ridge of sand connecting an island to the mainland.
What is a wave-cut platform?,Flat rocky area formed by cliff retreat.
What is coastal retreat?,Landward movement of the coastline due to erosion.
