Front,Back
What is human resource management HRM?,The process of managing employees within a business.
Why are employees important to a business?,They help businesses achieve objectives and provide services.
What is recruitment?,The process of finding and hiring employees.
What is selection?,Choosing the most suitable candidate for a job.
What is a job description?,A document outlining duties and responsibilities of a job.
What is a person specification?,A description of the skills qualities and qualifications needed for a job.
What is internal recruitment?,Hiring employees from within the business.
What is external recruitment?,Hiring employees from outside the business.
What are the advantages of internal recruitment?,Cheaper faster and motivates existing staff.
What are the disadvantages of internal recruitment?,Limits new ideas and reduces applicant choice.
What are the advantages of external recruitment?,Brings new skills and fresh ideas.
What are the disadvantages of external recruitment?,More expensive and time-consuming.
What is induction training?,Training given to new employees when they join a business.
Why is induction important?,It helps employees settle into the business quickly.
What is on-the-job training?,Training carried out while employees work.
What is off-the-job training?,Training away from the workplace.
What are the advantages of training?,Improves skills productivity and motivation.
What are the disadvantages of training?,It can be expensive and time-consuming.
What is workforce planning?,Ensuring the business has the right number of employees.
What is labour turnover?,The rate at which employees leave a business.
Why is high labour turnover a problem?,It increases recruitment and training costs.
What is absenteeism?,Employees regularly missing work.
Why is absenteeism harmful?,It reduces productivity and efficiency.
What is motivation?,The willingness of employees to work hard.
Why is motivation important?,Motivated employees are more productive.
Who was Abraham Maslow?,A psychologist who developed the hierarchy of needs theory.
What is Maslow’s hierarchy of needs?,A theory explaining employee motivation through different levels of needs.
What are Maslow’s five levels of needs?,Physiological safety social esteem and self-actualisation.
What are physiological needs?,Basic survival needs such as food and shelter.
What are safety needs?,The need for security and protection.
What are social needs?,The need for friendship and belonging.
What are esteem needs?,The need for respect and recognition.
What is self-actualisation?,Achieving personal potential and growth.
Who was Frederick Herzberg?,A psychologist who developed the two-factor theory.
What are Herzberg’s hygiene factors?,Factors preventing dissatisfaction such as pay and conditions.
What are Herzberg’s motivators?,Factors increasing satisfaction such as achievement and recognition.
Who was Frederick Taylor?,A theorist who believed money motivates workers.
What is scientific management?,Taylor’s theory focusing on efficiency and financial rewards.
What is piece-rate pay?,Pay based on the amount produced.
What are the advantages of piece-rate pay?,Encourages productivity and output.
What are the disadvantages of piece-rate pay?,May reduce quality and teamwork.
Who was Elton Mayo?,A theorist who believed social factors motivate workers.
What did Mayo believe motivated employees?,Teamwork communication and attention from managers.
What are financial methods of motivation?,Rewards involving money.
Give one example of financial motivation.,Bonuses or commission.
What are non-financial methods of motivation?,Rewards not involving money.
Give one example of non-financial motivation.,Praise or promotion opportunities.
What is job enrichment?,Making jobs more interesting and challenging.
What is job enlargement?,Giving employees more tasks of a similar level.
What is empowerment?,Giving employees more responsibility and authority.
Why can empowerment improve motivation?,Employees feel trusted and valued.
What is delegation?,Passing authority down to lower-level employees.
What is span of control?,The number of employees supervised by a manager.
What is a narrow span of control?,Managers supervise few employees.
What is a wide span of control?,Managers supervise many employees.
What is organisational structure?,The way employees and responsibilities are organised.
What is a hierarchical structure?,A structure with many layers of management.
What is a flat structure?,A structure with fewer management levels.
What are the advantages of a flat structure?,Better communication and faster decisions.
What are the disadvantages of a flat structure?,Managers may become overloaded.
What is chain of command?,The line through which authority passes.
What is communication?,The sharing of information within a business.
Why is communication important?,It improves coordination and efficiency.
What is upward communication?,Information flowing from employees to managers.
What is downward communication?,Information flowing from managers to employees.
What is horizontal communication?,Communication between employees at the same level.
What is formal communication?,Official communication through business channels.
What is informal communication?,Unofficial communication between employees.
What is leadership?,The ability to influence and guide employees.
What is management?,The process of organising and controlling resources.
What is an autocratic leadership style?,A leader makes decisions alone.
What are the advantages of autocratic leadership?,Fast decision-making and clear direction.
What are the disadvantages of autocratic leadership?,Low employee involvement and motivation.
What is a democratic leadership style?,Employees are involved in decision-making.
What are the advantages of democratic leadership?,Improves motivation and teamwork.
What are the disadvantages of democratic leadership?,Decision-making can be slower.
What is a laissez-faire leadership style?,Employees are given freedom to make decisions.
What are the advantages of laissez-faire leadership?,Encourages creativity and independence.
What are the disadvantages of laissez-faire leadership?,Can lead to lack of direction.
What is teamwork?,Employees working together towards goals.
Why is teamwork important?,It improves cooperation and productivity.
What is conflict in the workplace?,Disagreements between employees or groups.
How can businesses reduce conflict?,Good communication and fair treatment.
What is trade union?,An organisation representing workers’ interests.
Why do employees join trade unions?,To improve pay and working conditions.
What is collective bargaining?,Negotiation between unions and employers.
What is industrial action?,Action taken by employees such as strikes.
What is a strike?,Employees refusing to work to support demands.
What is dismissal?,Ending an employee’s contract.
What is redundancy?,Job loss because a role is no longer needed.
What is grievance procedure?,A process for resolving employee complaints.
What is disciplinary procedure?,A process for dealing with employee misconduct.
What is equal opportunities policy?,A policy ensuring fair treatment in employment.
Why are equal opportunities important?,They reduce discrimination and improve fairness.
What is discrimination?,Unfair treatment based on characteristics such as age or gender.
What is diversity in the workplace?,Having employees from different backgrounds.
Why is diversity beneficial?,It brings different ideas and perspectives.
What is flexible working?,Working arrangements with adaptable hours or locations.
What are the advantages of flexible working?,Improves work-life balance and motivation.
What is remote working?,Employees working away from the office.
What is employee wellbeing?,The physical and mental health of employees.
Why is wellbeing important?,Healthy employees are more productive.
What is performance appraisal?,A review of employee performance.
Why are appraisals useful?,They identify strengths weaknesses and training needs.
What is promotion?,Moving an employee to a higher position.
Why can promotion motivate employees?,It rewards achievement and responsibility.
What is organisational culture?,The values beliefs and behaviours within a business.
Why is organisational culture important?,It affects motivation and business performance.
What is employee engagement?,The level of employee commitment to a business.
How can businesses improve engagement?,Communication recognition and development opportunities.
