"Front","Back"
"What is the Bible?","The sacred text of Christianity, consisting of the Old and New Testaments."
"What is the Old Testament?","The Hebrew scriptures including Law, Prophets and Writings."
"What is the New Testament?","Christian scriptures including Gospels, letters and Revelation."
"What is biblical literalism?","Belief that the Bible is factually and historically accurate in all details."
"What is liberal biblical interpretation?","Reading the Bible in historical and cultural context."
"What is inspiration (verbal)?","Belief that every word of the Bible is directly inspired by God."
"What is inspiration (dynamic)?","Belief that God inspired human authors but allowed their style and context."
"What is revelation?","God making Himself known to humanity."
"What is natural revelation?","Knowledge of God through nature and reason."
"What is special revelation?","Knowledge of God through scripture and Jesus."
"What is Karl Barth’s view of revelation?","God is known only through Christ, not human reason."
"What is Natural Theology?","Knowledge of God through reason and observation."
"What is the Trinity?","One God in three persons: Father, Son and Holy Spirit."
"What does omnipotent mean?","All-powerful."
"What does omniscient mean?","All-knowing."
"What does omnibenevolent mean?","All-loving."
"What is divine timelessness?","God exists outside time."
"What is everlastingness?","God exists through all time."
"What is Boethius’ view of eternity?","God sees all time simultaneously."
"What is Process Theology?","God is not omnipotent in the classical sense and changes with the world."
"What is the Incarnation?","God becoming human in Jesus."
"What is the hypostatic union?","Jesus fully God and fully human."
"What is atonement?","Reconciliation between God and humanity."
"What is substitutionary atonement?","Jesus takes punishment on behalf of humanity."
"What is moral influence theory?","Jesus’ death inspires moral change."
"What is Christus Victor?","Jesus defeats sin and evil through resurrection."
"What is the Resurrection?","Jesus rising from the dead."
"What is ascension?","Jesus ascending to heaven."
"What is salvation?","Being saved from sin and its consequences."
"What is grace?","Unmerited favour from God."
"What is justification?","Being declared righteous before God."
"What is sanctification?","The process of becoming holy."
"What is original sin?","The fallen state inherited from Adam."
"What is Augustine’s view of sin?","Humanity inherits guilt from Adam."
"What is Irenaeus’ view of human nature?","Humans are imperfect but capable of growth."
"What is predestination?","God has predetermined who will be saved."
"What is Calvin’s view of predestination?","Double predestination: some saved, some damned."
"What is free will in Christianity?","Humans can choose to accept or reject God."
"What are sacraments?","Outward signs of inward grace."
"What is baptism?","Initiation into the Christian faith."
"What is Eucharist?","Commemoration of the Last Supper."
"What is transubstantiation?","Catholic belief that bread and wine become body and blood."
"What is consubstantiation?","Lutheran belief Christ is present alongside bread and wine."
"What is a symbolist view of Eucharist?","Bread and wine represent Christ symbolically."
"What is the Church?","The community of believers."
"What is the Body of Christ metaphor?","Believers united as one spiritual body."
"What is apostolic succession?","Authority passed from apostles to bishops."
"What is the role of the Pope?","Leader of the Roman Catholic Church."
"What is the Great Schism?","Split between Eastern Orthodox and Roman Catholic churches (1054)."
"What was the Reformation?","16th century movement challenging Catholic authority."
"What was Luther’s key teaching?","Justification by faith alone."
"What was the authority issue in the Reformation?","Scripture over Church tradition."
"What is sola scriptura?","Scripture alone as authority."
"What is sola fide?","Faith alone brings salvation."
"What is liberation theology?","Christian theology focused on social justice for the poor."
"Who was Gustavo Gutiérrez?","Founder of liberation theology."
"What is feminist theology?","Re-examining Christianity from women’s perspectives."
"Who was Mary Daly?","Radical feminist theologian critical of patriarchy."
"Who was Rosemary Radford Ruether?","Christian feminist theologian advocating reform."
"What is the debate about women’s ordination?","Whether women can serve as priests or bishops."
"What is inclusive language debate?","Use of gender-neutral language about God."
"What is secularisation?","Decline of religious belief and influence."
"Who was Max Weber?","Sociologist linking Protestantism and capitalism."
"What was Marx’s view of religion?","Religion as 'opium of the people.'"
"What is pluralism?","Many religions may offer valid paths to truth."
"Who was John Hick?","Advocated religious pluralism."
"What is exclusivism?","Only one religion is true."
"What is inclusivism?","One religion true but others contain partial truth."
"What is mission?","Spreading the Christian message."
"What is evangelism?","Proclaiming the gospel."
"What is ecumenism?","Promoting unity among Christian denominations."
"What is eschatology?","Study of last things."
"What is heaven?","Eternal communion with God."
"What is hell?","Separation from God."
"What is purgatory?","Intermediate state of purification (Catholic belief)."
"What is judgement?","God evaluating human lives."
"What is realised eschatology?","Kingdom of God present now."
"What is future eschatology?","Kingdom fully realised in the future."
"What is the Parousia?","Second coming of Christ."
"What is stewardship?","Duty to care for creation."
"What is Christian environmental ethics?","Creation care as moral responsibility."
"What is imago Dei?","Humans made in God’s image."
"What is agape?","Selfless love."
"What is kenosis?","Christ’s self-emptying."
"What is covenant?","Sacred agreement between God and people."
"What is the Kingdom of God?","God’s rule over creation."
"What is discipleship?","Following Jesus’ teachings."
"What is the Beatitudes teaching?","Blessings in the Sermon on the Mount."
"What is Natural Law in Christianity?","Moral law rooted in human nature and reason."
"What is Divine Command Theory?","Morality based on God’s commands."
"What is conscience (Aquinas)?","Application of reason to moral decisions."
"What is conscience (Newman)?","Inner voice of God."
"What is Bonhoeffer known for?","Christian resistance to Nazi regime."
"What is Barth’s view of scripture?","Bible witnesses to Christ."
"What is Tillich’s view of God?","God as ‘ground of being.’"
"What is the role of the Holy Spirit?","Guides and empowers believers."
"What is charismatic Christianity?","Emphasis on spiritual gifts."
"What is Christian social teaching?","Guidance on justice, dignity and common good."
"What is the common good?","Social conditions allowing people to flourish."
"What is preferential option for the poor?","Priority to needs of the vulnerable."
"What is the relationship between faith and works?","Debate over belief vs actions in salvation."
"What is AO1 in Christianity essays?","Knowledge of doctrine, scholars and scripture."
"What is AO2 in Christianity essays?","Critical evaluation and reasoned judgement."

