"Front","Back"
"What is density?","Mass per unit volume"
"What is the formula for density","Density equals mass divided by volume"
"What is the unit of density","Kilograms per metre cubed kg per metre cubed"
"What is stress?","Force per unit cross sectional area"
"What is the formula for stress","Stress equals force divided by area"
"What is the unit of stress","Pascal Pa"
"What is strain?","Extension divided by original length"
"What is the formula for strain","Strain equals extension divided by original length"
"What is the unit of strain","No unit it is a ratio"
"What is Hookes Law?","Force is proportional to extension within the limit of proportionality"
"What is the limit of proportionality","The point where force is no longer proportional to extension"
"What is the elastic limit","The point beyond which deformation is permanent"
"What is elastic deformation","Temporary deformation where object returns to original shape"
"What is plastic deformation","Permanent deformation where object does not return to original shape"
"What is Young modulus?","A measure of stiffness of a material"
"What is the formula for Young modulus","Young modulus equals stress divided by strain"
"What is the unit of Young modulus","Pascal Pa"
"What does a high Young modulus mean","Material is stiff"
"What does a low Young modulus mean","Material is flexible"
"What is a stress strain graph","A graph showing relationship between stress and strain"
"What does the gradient of the linear region represent","Young modulus"
"What is the yield point","The point where plastic deformation begins"
"What is breaking point","The point where the material snaps"
"What is tensile stress","Stress caused by pulling forces"
"What is compressive stress","Stress caused by pushing forces"
"What is tensile strain","Strain due to stretching"
"What is compressive strain","Strain due to compression"
"What is brittle material","Material that breaks without much deformation"
"What is ductile material","Material that can stretch significantly before breaking"
"Give an example of a brittle material","Glass"
"Give an example of a ductile material","Copper"
"What is ultimate tensile stress","Maximum stress a material can withstand"
"What is cross sectional area","Area of the material being stretched"
"What is extension?","Increase in length"
"What is original length","Length before force applied"
"What is the formula for extension","Final length minus original length"
"What happens in the linear region of stress strain graph","Hookes Law applies"
"What happens beyond the yield point","Plastic deformation occurs"
"What is necking","Reduction in cross sectional area before breaking"
"What is fracture","Breaking of material"
"What is safety factor","Ratio of breaking stress to working stress"
"Why are safety factors used","To ensure structures do not fail under load"
"What is energy stored in stretched material","Elastic potential energy"
"What is the formula for elastic energy","Half times force times extension"
"What does area under force extension graph represent","Elastic potential energy"
"What affects stiffness","Material and cross sectional area"
"What affects extension","Force original length and cross sectional area"
"What is the equation linking extension","Extension equals force times length divided by area times Young modulus"
"What is tensile strength","Maximum tension a material can handle"
"What is compressive strength","Maximum compression a material can handle"
"What is shear stress","Stress acting parallel to surface"
"What is shear strain","Distortion caused by shear stress"
"What is a wire extension experiment","Experiment measuring extension under load"
"What must be measured in Young modulus experiment","Force extension original length cross sectional area"
"What instrument measures force","Newton meter"
"What instrument measures length","Ruler or micrometer"
"What is a micrometer used for","Measuring very small thickness"
"What is a vernier caliper used for","Measuring internal and external diameters"
"What is percentage uncertainty in Young modulus","Sum of percentage uncertainties in measurements"
"What causes experimental error in materials","Measurement error temperature changes human error"
"What is creep","Slow deformation under constant stress"
"What is fatigue","Weakening of material due to repeated stress"
"What is fracture toughness","Resistance to crack propagation"
"What is composite material","Material made from two or more substances"
"What is an example of composite","Fibreglass"
"What is polymer","Material made of long molecular chains"
"What is metal","Material with free electrons allowing conductivity"
"What is ceramic","Hard brittle material resistant to heat"
"What is strain energy","Energy stored due to deformation"
"What is stiffness equation","Force divided by extension"
"What does a steeper force extension graph mean","Greater stiffness"
"What happens if cross sectional area increases","Extension decreases"
"What happens if length increases","Extension increases"
"What is proportional limit region","Linear part of graph"
"What is plastic region","Curved part where permanent deformation occurs"
"What is elastic region","Region where material returns to original shape"
"What is breaking stress","Stress at fracture"
"What is breaking strain","Strain at fracture"
"What is true stress","Force divided by actual area"
"What is engineering stress","Force divided by original area"
"What is true strain","Change in length divided by current length"
"What is engineering strain","Change in length divided by original length"
"What is loading","Applying force to material"
"What is unloading","Removing force from material"
"What happens during unloading in elastic region","Material returns to original shape"
"What happens during unloading in plastic region","Permanent deformation remains"
"What is hysteresis","Energy loss in loading unloading cycle"
"What causes hysteresis","Internal friction"
"What is resilience","Ability to absorb energy and return it"
"What is toughness","Ability to absorb energy before breaking"
"What is brittle fracture","Sudden breaking without warning"
"What is ductile fracture","Breaking after significant deformation"
"What is stress concentration","High stress in small area"
"What causes stress concentration","Cracks holes sharp corners"
"What is strain rate","Speed of deformation"
"What is temperature effect on materials","Higher temperature increases ductility"

