Front,Back
"What is nationalism?","A political ideology based on loyalty to the nation."
"What is a nation?","A group united by shared identity, culture or history."
"What is national identity?","A sense of belonging to a nation."
"What is self-determination?","The right of nations to govern themselves."
"What is patriotism?","Pride and loyalty toward one's country."
"What is chauvinism?","Extreme and aggressive patriotism."
"What is sovereignty?","Supreme authority within a state."
"What is civic nationalism?","National identity based on shared political values."
"What is ethnic nationalism?","National identity based on shared ethnicity or culture."
"What is cultural nationalism?","National identity based on shared traditions and culture."
"What is liberal nationalism?","Nationalism supporting freedom and self-government."
"What is conservative nationalism?","Nationalism supporting unity, order and tradition."
"What is expansionist nationalism?","Aggressive nationalism seeking dominance or territory."
"What is anti-colonial nationalism?","Nationalism opposing foreign rule."
"What is irredentism?","Seeking to reclaim territory linked to a nation."
"What is national self-government?","A nation ruling itself independently."
"What is the nation-state?","A state representing one nation."
"What is multinationalism?","Several nations existing within one state."
"What is separatism?","Seeking independence from a larger state."
"What is unification nationalism?","Joining separate regions into one nation."
"What is internationalism?","Cooperation between nations."
"What is supranationalism?","Authority existing above nation-states."
"What is globalisation?","Growing international interconnectedness."
"What is xenophobia?","Fear or dislike of foreigners."
"What is assimilation?","Minorities adopting the dominant culture."
"What is multiculturalism?","Coexistence of multiple cultures in society."
"What is national sovereignty?","A nation's independent authority."
"What is collective identity?","Shared identity among a group."
"What is the organic nation?","The idea nations develop naturally over time."
"What is romantic nationalism?","Nationalism emphasising emotion and culture."
"Who was Giuseppe Mazzini?","A nationalist thinker supporting national unity and self-determination."
"What did Mazzini believe about nations?","Nations are natural and should govern themselves."
"Who was Johann Herder?","A thinker linking nations to shared culture and language."
"What is Volksgeist?","The unique spirit of a people or nation."
"What is anti-imperialism?","Opposition to empire and foreign domination."
"What is colonialism?","Control of territories by foreign powers."
"What is decolonisation?","The process of colonies gaining independence."
"What is national unity?","A sense of togetherness within a nation."
"What is national pride?","Positive feelings about one's nation."
"What is the nationalist view of the state?","The state should reflect the nation."
"What is self-rule?","Control over one's own affairs."
"What is independence?","Freedom from external control."
"What is secession?","Breaking away from a state."
"What is national liberation?","Freedom from foreign rule or domination."
"What is expansionism?","Extending national power or territory."
"What is ultra-nationalism?","Extreme nationalism often linked to authoritarianism."
"What is fascism's relationship with nationalism?","Fascism uses extreme and authoritarian nationalism."
"What is identity politics in nationalism?","Politics focused on national identity."
"What is the nationalist critique of globalisation?","Globalisation weakens national identity and sovereignty."
"What is civic identity?","Identity based on shared citizenship and values."
