"Front","Back"
"What is DNA?","Deoxyribonucleic acid that stores genetic information."
"What does DNA stand for?","Deoxyribonucleic acid."
"What is the structure of DNA?","A double helix."
"What are nucleotides?","The building blocks of DNA."
"What are the three parts of a nucleotide?","Sugar, phosphate group and nitrogenous base."
"What sugar is in DNA?","Deoxyribose."
"What bases are found in DNA?","Adenine, thymine, cytosine and guanine."
"What base pairs with adenine?","Thymine."
"What base pairs with cytosine?","Guanine."
"What type of bond holds base pairs together?","Hydrogen bonds."
"What bonds join nucleotides in DNA?","Phosphodiester bonds."
"What is complementary base pairing?","Specific pairing of bases in DNA."
"What is the DNA backbone made of?","Alternating sugar and phosphate."
"What is a gene?","A section of DNA that codes for a protein."
"What is a chromosome?","A DNA molecule carrying genes."
"What is chromatin?","DNA and proteins found in the nucleus."
"What is the genome?","The complete set of genetic material in an organism."
"What is DNA replication?","The process of copying DNA."
"What model explains DNA replication?","Semi-conservative replication."
"What does semi-conservative replication mean?","Each new DNA molecule contains one original strand."
"What enzyme unwinds DNA?","DNA helicase."
"What enzyme joins DNA fragments?","DNA ligase."
"What enzyme synthesises new DNA strands?","DNA polymerase."
"What are Okazaki fragments?","Short DNA fragments formed during replication."
"What is the leading strand?","DNA strand synthesised continuously."
"What is the lagging strand?","DNA strand synthesised in fragments."
"What is transcription?","Process of copying DNA into RNA."
"Where does transcription occur?","Nucleus."
"What enzyme is involved in transcription?","RNA polymerase."
"What is mRNA?","Messenger RNA carrying genetic code."
"What is translation?","Process of converting mRNA into protein."
"Where does translation occur?","Ribosomes."
"What is a codon?","Three base sequence on mRNA."
"What does a codon code for?","An amino acid."
"What is the genetic code?","Rules relating DNA sequences to amino acids."
"What is a start codon?","Codon signalling beginning of translation."
"What is a stop codon?","Codon signalling end of translation."
"What is tRNA?","Transfer RNA carrying amino acids."
"What is an anticodon?","Base sequence on tRNA matching mRNA codon."
"What is a polypeptide?","Chain of amino acids forming a protein."
"What determines protein structure?","Sequence of amino acids."
"What is mutation?","Change in DNA sequence."
"What are gene mutations?","Changes affecting a single gene."
"What is a substitution mutation?","Replacement of one base."
"What is a deletion mutation?","Loss of a base."
"What is an insertion mutation?","Addition of a base."
"What is a frameshift mutation?","Shift in reading frame due to insertion or deletion."
"What effect can mutations have?","Change protein structure or function."
"What is a silent mutation?","Mutation with no change in amino acid."
"What is a missense mutation?","Mutation changing one amino acid."
"What is a nonsense mutation?","Mutation creating a stop codon."
"What causes mutations?","Radiation, chemicals or replication errors."
"What are mutagens?","Agents causing mutations."
"What is genetic variation?","Differences in DNA between individuals."
"What processes increase genetic variation?","Mutation and sexual reproduction."
"What is meiosis?","Cell division producing haploid gametes."
"What is crossing over?","Exchange of genetic material between chromosomes."
"What is independent assortment?","Random separation of chromosomes."
"What is fertilisation?","Fusion of two gametes."
"What is genotype?","Genetic makeup of an organism."
"What is phenotype?","Observable characteristics of an organism."
"What is an allele?","Different version of a gene."
"What is homozygous?","Having two identical alleles."
"What is heterozygous?","Having two different alleles."
"What is dominant allele?","Allele expressed when present."
"What is recessive allele?","Allele expressed only if two copies present."
"What is a Punnett square?","Diagram predicting inheritance patterns."
"What is monohybrid inheritance?","Inheritance involving one gene."
"What is dihybrid inheritance?","Inheritance involving two genes."
"What is codominance?","Both alleles expressed equally."
"What is incomplete dominance?","Intermediate phenotype produced."
"What is sex linkage?","Gene located on sex chromosome."
"What chromosome determines male sex?","Y chromosome."
"What chromosome determines female sex?","X chromosome."
"What is the role of DNA in cells?","Stores instructions for proteins."
"What is protein synthesis?","Process of making proteins."
"What is gene expression?","Using gene information to make proteins."
"What controls gene expression?","Regulatory genes and transcription factors."
"What is epigenetics?","Changes in gene expression without altering DNA."
"What is DNA sequencing?","Determining order of bases in DNA."
"What is PCR?","Polymerase chain reaction amplifying DNA."
"What is gel electrophoresis?","Technique separating DNA fragments."
"What is genetic engineering?","Artificial manipulation of DNA."
"What is recombinant DNA?","DNA formed from different sources."
"What is a plasmid?","Circular DNA used in genetic engineering."
"What are restriction enzymes?","Enzymes cutting DNA at specific sequences."
"What is DNA ligase used for?","Joining DNA fragments."
"What is cloning?","Producing genetically identical copies."
"What is gene therapy?","Treatment replacing faulty genes."
"What is CRISPR?","Gene editing technology."
"What is biotechnology?","Use of living systems in technology."
"What is a genetic disorder?","Disease caused by gene mutation."
"What is Down syndrome caused by?","Extra chromosome 21."
"What is cystic fibrosis caused by?","Mutation in CFTR gene."
"What is sickle cell disease?","Genetic disorder affecting haemoglobin."
"What is the importance of DNA?","Carries hereditary information."
"What role do genes play in inheritance?","Determine traits passed to offspring."
