Front,Back
What is market research?,The process of collecting and analysing information about customers markets and competitors.
Why do businesses conduct market research?,To reduce risk and make better business decisions.
What is primary market research?,Research collected directly by the business for a specific purpose.
What is secondary market research?,Research using information already collected by others.
Give one example of primary research.,Customer surveys.
Give one example of secondary research.,Government statistics.
What is quantitative data?,Numerical data that can be measured and analysed statistically.
What is qualitative data?,Descriptive data based on opinions feelings or attitudes.
What is field research?,Another term for primary research.
What is desk research?,Another term for secondary research.
What is a questionnaire?,A list of questions used to gather information from respondents.
What is a survey?,A method of collecting information from people.
What is an interview?,A conversation used to collect detailed responses from customers.
What is a focus group?,A small discussion group used to gather opinions and reactions.
Why are focus groups useful?,They provide detailed customer opinions and feedback.
What is observation research?,Watching customer behaviour to collect information.
What is online research?,Research carried out using the internet.
What are customer panels?,Groups of customers regularly asked for feedback.
What is a sample?,A smaller group selected from a larger population.
Why do businesses use samples?,It is cheaper and faster than asking everyone.
What is random sampling?,Selecting people by chance from a population.
What is quota sampling?,Selecting people to match specific characteristics.
What is stratified sampling?,Sampling from different groups in proportion to their size.
What is convenience sampling?,Choosing people who are easiest to reach.
What is bias in research?,When results are unfairly influenced or unrepresentative.
Why is bias a problem?,It reduces the accuracy of research findings.
What is reliability in market research?,The consistency and dependability of results.
What is validity in market research?,Whether research measures what it is intended to measure.
What is open-ended questioning?,Questions allowing respondents to answer freely.
What is closed questioning?,Questions with limited answer options.
What is a ranking question?,A question asking respondents to order preferences.
What is market analysis?,Examining information about a market to identify trends and opportunities.
What is customer behaviour?,The way customers make purchasing decisions.
Why is customer behaviour important?,It helps businesses understand buying patterns.
What is consumer confidence?,How optimistic consumers feel about spending money.
How can low consumer confidence affect businesses?,Customers may spend less money.
What is market size?,The total sales or number of customers in a market.
What is market growth?,An increase in sales or demand within a market.
What is market share?,The percentage of total market sales a business controls.
Why is market share important?,It indicates a business’s competitiveness.
What is competitor analysis?,Research into rival businesses and their products.
Why do businesses analyse competitors?,To identify strengths weaknesses and opportunities.
What is product testing?,Trying products before launch to gather feedback.
Why is product testing useful?,It identifies problems before products are released.
What is test marketing?,Selling a product in a small area before a full launch.
Why do businesses use test marketing?,To assess customer reactions and demand.
What is a pilot launch?,A small-scale introduction of a product or service.
What is market segmentation?,Dividing a market into groups with similar characteristics.
Why is segmentation useful?,It helps businesses target customers effectively.
What are demographic factors?,Characteristics such as age gender and income.
What are geographic factors?,Factors related to location or region.
What are psychographic factors?,Factors based on lifestyle interests and values.
What are behavioural factors?,Factors based on buying habits and loyalty.
What is a target market?,The specific group of customers a business aims to reach.
Why is identifying a target market important?,It improves marketing effectiveness.
What is customer profiling?,Creating a detailed description of ideal customers.
What is demand?,The quantity of a product customers are willing to buy.
What is market demand?,The total demand for products within a market.
How can businesses forecast demand?,Using sales data trends and research.
What is sales forecasting?,Predicting future sales levels.
Why is sales forecasting important?,It helps with planning and budgeting.
What is trend analysis?,Studying patterns over time to predict future changes.
What is big data?,Large amounts of digital customer information.
