"Front","Back"
"What is data analysis?","Examining data to draw conclusions"
"What is interpretation?","Explaining meaning of data"
"What is a trend?","General direction of data"
"What is a pattern?","Repeated data behaviour"
"What is correlation?","Relationship between variables"
"What is positive correlation?","Both variables increase together"
"What is negative correlation?","One increases while other decreases"
"What is no correlation?","No relationship between variables"
"What is a graph?","Visual representation of data"
"What is a line graph?","Shows trends over time"
"What is a bar chart?","Compares categories"
"What is a pie chart?","Shows proportions"
"What is a table?","Organised data display"
"What is an axis?","Graph reference line"
"What is x-axis?","Horizontal axis"
"What is y-axis?","Vertical axis"
"What is scale?","Measurement units"
"What is data point?","Single value"
"What is mean?","Average value"
"What is median?","Middle value"
"What is mode?","Most frequent value"
"What is range?","Difference between highest and lowest"
"What is reliability?","Consistency of data"
"What is validity?","Accuracy of data"
"What is anomaly?","Unusual data point"
"What is outlier?","Extreme value"
"What is interpretation skill?","Explaining data meaning"
"What is analysis skill?","Breaking down data"
"What is evaluation skill?","Judging data quality"
"What is heart rate graph?","Shows heart rate changes"
"What does rising heart rate show?","Increasing intensity"
"What does falling heart rate show?","Recovery"
"What is resting heart rate?","Heart rate at rest"
"What is recovery rate?","Speed of heart rate drop"
"What does fast recovery show?","Good fitness"
"What does slow recovery show?","Lower fitness"
"What is VO2 max data?","Oxygen uptake measure"
"What does high VO2 max show?","High aerobic fitness"
"What does low VO2 max show?","Low fitness"
"What is lactate threshold graph?","Shows lactic acid build-up"
"What happens at lactate threshold?","Fatigue increases"
"What does delayed lactate threshold show?","Better endurance"
"What is performance data?","Information on performance"
"What is fitness test data?","Results from tests"
"What is sit and reach test data?","Flexibility measure"
"What is beep test data?","Endurance measure"
"What is 1RM data?","Strength measure"
"What is sprint time data?","Speed measure"
"What is agility test data?","Change direction ability"
"What is comparison?","Comparing results"
"What is improvement?","Better results over time"
"What is decline?","Worse results over time"
"What is consistency?","Similar results"
"What is variability?","Changing results"
"What is data trend analysis?","Identifying patterns"
"What is conclusion?","Final judgement"
"What is evidence?","Data supporting point"
"What is justification?","Explaining reasoning"
"What is AO2 data use?","Applying data to scenario"
"What is AO3 data use?","Evaluating data"
"What is graph reading skill?","Understanding graphs"
"What is data interpretation skill?","Explaining meaning"
"What is data evaluation skill?","Judging reliability"
"What is performance comparison?","Comparing athletes"
"What is baseline data?","Starting point"
"What is progress tracking?","Monitoring improvement"
"What is percentage change?","Change in percentage"
"What is increase percentage?","Growth calculation"
"What is decrease percentage?","Reduction calculation"
"What is data accuracy?","Correct measurement"
"What is measurement error?","Inaccuracy"
"What is bias?","Unfair influence"
"What is sample size?","Number of participants"
"What is small sample?","Less reliable data"
"What is large sample?","More reliable data"
"What is data reliability importance?","Trustworthy results"
"What is data validity importance?","Accurate results"
"What is graph trend description?","Describing changes"
"What is peak value?","Highest point"
"What is lowest value?","Minimum point"
"What is plateau?","No change period"
"What is fluctuation?","Up and down changes"
"What is steady increase?","Gradual rise"
"What is sharp increase?","Rapid rise"
"What is steady decrease?","Gradual fall"
"What is sharp decrease?","Rapid fall"
"What is comparative analysis?","Comparing data sets"
"What is normative data?","Average population data"
"What is elite data?","Top athlete data"
"What is beginner data?","Low-level data"
"What is performance gap?","Difference between levels"
"What is training effect?","Impact of training"
"What is adaptation evidence?","Improvement shown"
"What is fatigue evidence?","Decline in performance"
"What is recovery evidence?","Return to normal"
"What is data interpretation error?","Misreading data"
"What is overgeneralisation?","Too broad conclusion"
"What is under analysis?","Lack of detail"
"What is strong analysis?","Detailed explanation"
"What is weak analysis?","Basic description"
"What is evaluation of data?","Judging usefulness"
"What is reliability issue?","Inconsistent data"
"What is validity issue?","Inaccurate measure"
"What is test conditions?","Environment of test"
"What is controlled variables?","Things kept constant"
"What is independent variable?","Variable changed"
"What is dependent variable?","Variable measured"
"What is experiment?","Testing hypothesis"
"What is hypothesis?","Prediction"
"What is data recording?","Collecting results"
"What is data presentation?","Displaying data"
"What is interpretation example?","Explaining graph"
"What is application example?","Linking to sport"
"What is evaluation example?","Judging data"
"What is conclusion writing?","Final statement"
"What is evidence linking?","Using data to support"
"What is comparison linking?","Comparing results"
"What is explanation linking?","Explaining cause"
"What is performance improvement evidence?","Better results"
"What is training impact evidence?","Data shows gains"
"What is fitness improvement evidence?","Higher scores"
"What is technique improvement evidence?","Better performance"
"What is error in data?","Mistake in measurement"
"What is data consistency?","Similar results"
"What is data variability impact?","Affects reliability"
"What is graphical interpretation?","Reading graphs"
"What is table interpretation?","Reading tables"
"What is trend identification?","Spotting patterns"
"What is cause and effect?","Reason for change"
"What is linking theory to data?","Applying knowledge"
"What is exam data question?","Using data in answer"
"What is AO2 data question?","Apply data to scenario"
"What is AO3 data question?","Evaluate data"
"What is multi-data comparison?","Comparing multiple sets"
"What is performance ranking?","Ordering results"
"What is data summary?","Overview of results"
"What is data explanation?","Why results occurred"
"What is data justification?","Support conclusions"
"What is data evaluation strength?","Quality of judgement"
"What is data weakness?","Limitations"
"What is data strength?","Advantages"
"What is conclusion strength?","Clear judgement"
"What is conclusion weakness?","Vague judgement"
"What is exam technique data?","Using data effectively"
"What is linking data to question?","Answering question"
"What is avoiding description?","Not just listing"
"What is analysing data properly?","Explaining trends"
"What is evaluating data properly?","Judging quality"
"What is athlete comparison data?","Comparing performers"
"What is sport performance data?","Game statistics"
"What is match analysis?","Game data"
"What is training data?","Workout results"
"What is improvement tracking importance?","Shows progress"
"What is performance monitoring?","Tracking ability"
"What is feedback from data?","Using results"
"What is coaching use of data?","Improving performance"
"What is athlete use of data?","Tracking progress"
"What is data-driven decisions?","Using data to decide"
"What is evidence-based training?","Using data for planning"
"What is data literacy?","Understanding data"
"What is exam success with data?","High AO2/AO3 marks"
