"Question","Answer"
"What is the purpose of the Language Investigation?","To research and analyse a language topic using real data."
"What is primary data?","Data collected by the student themselves."
"What is secondary data?","Data collected from existing sources."
"What is a research question?","A focused question guiding the investigation."
"What is a hypothesis?","A prediction about what the research will find."
"What is a methodology?","The method used to collect and analyse language data."
"What is a corpus?","A collection of written or spoken language data used for analysis."
"What is quantitative data?","Data that can be measured or counted."
"What is qualitative data?","Data that focuses on meaning patterns and interpretation."
"What is linguistic variable?","A feature of language that can change depending on context."
"What is transcription?","Writing down spoken language in written form."
"What is discourse analysis?","Studying language beyond individual sentences."
"What is multimodal analysis?","Studying communication using multiple modes such as text images and sound."
"What is a language feature?","A specific element of language such as vocabulary grammar or discourse."
"What is lexical analysis?","The study of vocabulary choices in a text."
"What is semantic analysis?","Studying meaning in language."
"What is grammatical analysis?","Examining sentence structure and grammar patterns."
"What is phonological analysis?","Studying sound patterns in spoken language."
"What is discourse marker?","A word or phrase that organises speech such as well or so."
"What is hedging?","Using language to appear less certain."
"What is modality?","Language expressing possibility certainty or obligation."
"What is deixis?","Words that depend on context such as here now or this."
"What is pragmatics?","The study of how context affects meaning."
"What is register?","The level of formality used in language."
"What is audience?","The intended readers or listeners."
"What is purpose?","The reason the text was created."
"What is genre?","A category of text with shared features."
"What is context?","The situation in which language is used."
"What is reliability in research?","Whether results are consistent and dependable."
"What is validity in research?","Whether the research measures what it intends to measure."
"What is ethical research?","Ensuring participants are treated fairly and data is used responsibly."
"What is informed consent?","Participants agreeing to take part in research with full understanding."
"What is anonymisation?","Removing identifying information from data."
"What is data sampling?","Selecting a smaller group from a larger dataset."
"What is triangulation?","Using multiple sources or methods to strengthen findings."
"What is a conclusion in an investigation?","A summary explaining what the research found."
"What is evaluation in research?","Reflecting on the strengths and limitations of the study."
"What is creative language production?","Producing original writing using language techniques."
"What is stylistic imitation?","Writing that copies the style of a particular genre or writer."
"What is narrative voice?","The perspective from which a story is told."
"What is tone?","The writer's attitude or emotional quality in writing."
"What is cohesion?","How ideas in a text are connected."
"What is coherence?","How logical and understandable a text is overall."
"What is foregrounding?","Making certain language features stand out."
"What is parallelism?","Repeating grammatical structures for effect."
"What is rhetorical language?","Language used to persuade or influence."
"What is figurative language?","Language that uses metaphor simile or imagery."
"What is metaphor?","Describing something by saying it is something else."
"What is simile?","Comparing two things using like or as."
"What is imagery?","Language that creates sensory descriptions."
"What is editing and redrafting?","Improving writing through revision and refinement."
