Front,Back
What is global marketing?,Promoting and selling products in international markets.
Why is global marketing important?,Businesses can reach larger customer bases worldwide.
What is international marketing?,Marketing products and services across different countries.
What is global branding?,Using a consistent brand identity worldwide.
Why is global branding important?,It improves recognition and trust.
What is brand consistency?,Maintaining the same brand image across markets.
Why is brand consistency important?,Customers recognise and trust familiar brands.
What is market adaptation?,Changing products or marketing for local markets.
Why is market adaptation important?,Customer preferences differ between countries.
What is standardisation?,Selling similar products worldwide with little change.
What are the advantages of standardisation?,Lower costs and consistent branding.
What are the disadvantages of standardisation?,Products may not suit local cultures.
What is glocalisation?,Combining global branding with local adaptation.
Why is glocalisation important?,Different countries have different customer preferences.
What is cultural difference?,Variations in values customs languages and behaviours between countries.
Why are cultural differences important in marketing?,Advertisements and products may need adapting.
What is language barrier?,Communication difficulties caused by different languages.
How can language barriers affect marketing?,Messages may be misunderstood or ineffective.
What is international market research?,Collecting information about foreign customers and markets.
Why is international market research important?,It reduces risk when entering new markets.
What is target market?,The group of customers a business aims to sell to.
Why is targeting important internationally?,Different countries have different customer groups.
What is market segmentation?,Dividing markets into groups with similar characteristics.
What is demographic segmentation?,Segmenting customers by age income gender or occupation.
What is geographic segmentation?,Segmenting customers by location or region.
What is psychographic segmentation?,Segmenting customers by lifestyle and values.
What is behavioural segmentation?,Segmenting customers by buying habits or loyalty.
What is international advertising?,Promoting products across different countries.
Why is international advertising challenging?,Cultures and laws differ between countries.
What is digital marketing?,Using digital channels to promote products.
Why is digital marketing important globally?,Businesses can reach international customers quickly.
What is social media marketing?,Using social media platforms to promote products.
Why is social media important globally?,It connects businesses with worldwide audiences.
What is influencer marketing?,Using influencers to promote products to followers.
Why is influencer marketing effective?,Customers trust influencer recommendations.
What is e-commerce?,Buying and selling online.
How has e-commerce supported global marketing?,Businesses can sell internationally more easily.
What is search engine optimisation SEO?,Improving website visibility in search engines.
Why is SEO important internationally?,Customers use online searches to find products.
What is localisation?,Adapting products and marketing to local cultures.
Why is localisation important?,Customers prefer familiar language and customs.
What is pricing strategy?,The method used to set prices.
Why are pricing strategies important globally?,Income levels and competition differ internationally.
What is penetration pricing?,Setting low prices to gain market share quickly.
What is price skimming?,Charging high prices initially before lowering them.
What is competitive pricing?,Setting prices based on competitors’ prices.
What is dynamic pricing?,Changing prices depending on demand and conditions.
What is exchange rate?,The value of one currency compared to another.
How do exchange rates affect pricing?,Imports and exports become more or less expensive.
What is international distribution?,Getting products to customers across countries.
Why is distribution important globally?,Products must reach customers efficiently.
What is logistics?,Managing the transport and storage of goods.
Why is logistics important internationally?,Global supply chains are complex and costly.
What is supply chain?,The network involved in producing and distributing products.
Why is supply chain management important?,Efficient supply chains reduce costs and delays.
What is global supply chain?,A supply chain operating across several countries.
What are the risks of global supply chains?,Delays disruptions and political risks.
What is lead time?,The time between ordering and receiving stock.
Why is lead time important internationally?,Long lead times may delay production and sales.
What is warehousing?,Storing goods before sale or distribution.
Why are warehouses important globally?,Businesses need stock available in different markets.
What is just in time JIT?,Receiving stock only when needed.
What are the advantages of JIT globally?,Lower storage costs and less waste.
What are the disadvantages of JIT globally?,Disruptions may stop production quickly.
What is outsourcing?,Using external businesses for certain activities.
Why do businesses outsource internationally?,To reduce costs or access expertise.
What is offshoring?,Moving operations to another country.
Why do businesses offshore?,To reduce labour and production costs.
What is economies of scale?,Cost advantages from increased production.
How do global operations create economies of scale?,Businesses produce for larger international markets.
What is quality assurance?,Preventing defects during production.
Why is quality assurance important globally?,Customers expect consistent quality worldwide.
What is total quality management TQM?,A business-wide focus on continuous quality improvement.
Why is TQM important globally?,Strong quality improves international reputation.
What is lean production?,Producing goods with minimal waste.
Why is lean production important?,It improves efficiency and competitiveness.
What is automation?,Using machines and technology to perform tasks.
What are the advantages of automation globally?,Higher productivity and lower labour costs.
What are the disadvantages of automation globally?,High setup costs and job losses.
What is artificial intelligence AI?,Technology simulating human intelligence.
How can AI improve global operations?,Better forecasting efficiency and customer service.
What is data analytics?,Analysing data to identify useful insights.
Why is data analytics important globally?,Businesses understand international customer behaviour.
What is inventory management?,Controlling stock levels efficiently.
Why is inventory management important?,Poor stock control increases costs and shortages.
What is capacity utilisation?,The percentage of production capacity being used.
Why is capacity utilisation important globally?,Efficient operations reduce average costs.
What is productivity?,The amount of output produced per unit of input.
Why is productivity important globally?,Higher productivity improves competitiveness.
What is flexibility in operations?,The ability to adapt production quickly.
Why is flexibility important?,Customer demand changes rapidly worldwide.
What is agility in operations?,Responding quickly to opportunities and problems.
Why is agility important globally?,Markets and supply chains change rapidly.
What is sustainability?,Meeting current needs without harming future generations.
Why is sustainability important in global operations?,Businesses face pressure to reduce environmental impact.
What is carbon footprint?,The amount of greenhouse gases produced by activities.
Why are businesses reducing carbon footprints?,Governments and consumers expect environmental responsibility.
What is ethical sourcing?,Buying materials from responsible suppliers.
Why is ethical sourcing important?,Customers value ethical business behaviour.
What is fair trade?,Trading practices supporting producers fairly.
Why is fair trade important?,It improves working conditions and wages.
What is corporate social responsibility CSR?,Businesses acting responsibly towards society and the environment.
Why is CSR important globally?,Global reputations affect customer trust and sales.
What is international customer service?,Supporting customers across different countries.
Why is customer service important globally?,Good service improves loyalty and reputation.
What is time zone difference?,Variation in local time between countries.
How do time zones affect operations?,Communication and coordination may become difficult.
What is communication technology?,Digital systems supporting communication and collaboration.
Why is communication technology important globally?,Businesses operate across countries and time zones.
What is remote working?,Employees working away from the office.
How has remote working affected global operations?,Teams collaborate internationally more easily.
What is workforce diversity?,Employees from varied cultures and backgrounds.
Why is workforce diversity important globally?,Different perspectives improve creativity and understanding.
What is expatriate?,An employee working in another country.
Why do businesses use expatriates?,To transfer skills and manage international operations.
What is training in global business?,Developing employee skills for international work.
Why is training important globally?,Employees need cultural and operational understanding.
What is cultural awareness?,Understanding and respecting different cultures.
Why is cultural awareness important?,Poor understanding can damage business relationships.
What is international competition?,Competition between businesses from different countries.
Why has international competition increased?,Globalisation and technology connect markets worldwide.
What is competitive advantage?,A factor making a business better than rivals.
How can global businesses gain competitive advantage?,Innovation branding lower costs or quality.
What is business resilience?,The ability to recover from difficulties.
Why is resilience important globally?,International markets face uncertainty and disruption.
What is contingency planning?,Preparing for unexpected disruptions.
Why is contingency planning important globally?,Supply chains and operations face many risks.
What is geopolitical risk?,Risk caused by political tensions or conflict.
Why is geopolitical risk important?,International operations may be disrupted.
What is trade barrier?,A restriction on international trade.
Give one example of trade barrier.,Tariffs or quotas.
How do trade barriers affect operations?,Costs and complexity may increase.
What is free trade?,International trade without restrictions.
Why is free trade important globally?,Businesses can access wider markets more easily.
What is localisation strategy?,Adapting products and marketing to local needs.
Why is localisation strategy important?,Customer preferences differ between markets.
What is standardised marketing strategy?,Using similar marketing worldwide.
Why do businesses use standardised strategies?,To reduce costs and maintain brand consistency.
What is business adaptation?,Changing operations to respond to market conditions.
Why must businesses adapt globally?,Customer trends and technology constantly change.
What is innovation in operations?,Developing new methods products or systems.
Why is innovation important globally?,Businesses need efficiency and competitiveness.
What is strategic alliance?,Businesses cooperating while remaining independent.
Why do global businesses form alliances?,To share resources costs and expertise.
What is licensing?,Allowing another business to use products or brands for payment.
What are the advantages of licensing internationally?,Expansion with lower costs and risk.
What are the disadvantages of licensing internationally?,Less control over quality and brand image.
What is franchising?,Allowing others to operate using a business model and brand.
What are the advantages of international franchising?,Rapid expansion into global markets.
What are the disadvantages of international franchising?,Maintaining consistent standards can be difficult.
What is international merger?,Businesses from different countries joining together.
Why do international mergers occur?,To increase competitiveness and market access.
What is synergy?,Benefits gained when businesses combine.
Why is synergy important globally?,Combined businesses may become more efficient.
What is digital transformation?,Using digital technology to improve operations.
Why is digital transformation important globally?,It improves efficiency and communication worldwide.
What is operational efficiency?,Producing goods and services with minimal waste and cost.
Why is operational efficiency important globally?,Competitive markets require low costs and high quality.
