"Front","Back"
"What is forensic psychology?","The study of criminal behaviour."

"What is offender profiling?","Creating a profile of an offender based on crime details."

"What are the two types of offender profiling?","Top-down and bottom-up approaches."

"What is top-down profiling?","Matching offenders to pre-existing categories."

"What are the two types in top-down approach?","Organised and disorganised offenders."

"What is an organised offender?","Plans crimes and leaves little evidence."

"What is a disorganised offender?","Acts impulsively and leaves evidence."

"What is bottom-up profiling?","Building profile based on evidence from crime scene."

"What is investigative psychology?","Uses statistical analysis of crime patterns."

"What is geographical profiling?","Analysing location of crimes to predict offender base."

"What is circle theory?","Offenders operate within a specific area."

"What is marauder?","Offender operates near home."
"What is commuter?","Travels to commit crimes."

"What is biological explanation of offending?","Crime caused by biological factors."

"What is genetic explanation of crime?","Criminal behaviour may be inherited."

"What is neural explanation of crime?","Brain differences linked to offending."

"What is amygdala role?","Controls emotions like aggression."

"What is serotonin role in crime?","Low levels linked to aggression."

"What is psychological explanation of crime?","Crime caused by thinking patterns."

"What is Eysenck’s personality theory?","Criminals have high psychoticism, extraversion and neuroticism."

"What is psychoticism?","Aggressive and antisocial traits."
"What is extraversion?","Seeking excitement."
"What is neuroticism?","Emotional instability."

"What is cognitive explanation of crime?","Faulty thinking leads to crime."

"What is moral reasoning?","Understanding right and wrong."

"What is Kohlberg’s stages?","Levels of moral development."

"What is pre-conventional morality?","Based on punishment and reward."
"What is conventional morality?","Based on social rules."
"What is post-conventional morality?","Based on ethical principles."

"What is differential association theory?","Crime learned from others."

"What is pro-criminal attitude?","Beliefs supporting crime."

"What is reinforcement in crime?","Rewards increase criminal behaviour."

"What is psychodynamic explanation of crime?","Crime caused by unconscious conflict."

"What is inadequate superego?","Weak moral control."

"What is deviant superego?","Internalised immoral values."

"What is criminal behaviour?","Actions that break the law."

"What is aggression?","Behaviour intended to harm."

"What is impulsivity?","Acting without thinking."

"What is recidivism?","Reoffending after punishment."

"What is punishment?","Penalty for crime."

"What is deterrence?","Preventing crime through punishment."

"What is rehabilitation?","Reforming offenders."

"What is custodial sentence?","Prison sentence."

"What is non-custodial sentence?","Community-based punishment."

"What is prison?","Institution for offenders."

"What is overcrowding in prisons?","Too many prisoners."

"What is prisonisation?","Adopting prison culture."

"What is institutionalisation?","Becoming dependent on prison life."

"What is deprivation model?","Behaviour caused by prison conditions."

"What is importation model?","Behaviour brought into prison."

"What is anger management?","Treatment to reduce aggression."

"What are stages of anger management?","Cognitive preparation, skill acquisition, application."

"What is token economy?","Reward system in prison."

"What is restorative justice?","Offenders repair harm done."

"What is victim-offender mediation?","Meeting between victim and offender."

"What is a crime?","An act punishable by law."

"What is violent crime?","Crime involving physical harm."

"What is property crime?","Crime involving theft or damage."

"What is white-collar crime?","Non-violent crime for financial gain."

"What is cybercrime?","Crime using technology."

"What is criminal profiling?","Identifying offender characteristics."

"What is suspect?","Person under investigation."

"What is evidence?","Information used to prove crime."

"What is eyewitness testimony?","Witness account of crime."

"What is reliability in EWT?","Consistency of testimony."

"What is validity in EWT?","Accuracy of testimony."

"What is cognitive bias in crime?","Errors in thinking."

"What is attribution error?","Misjudging causes of behaviour."

"What is stereotyping in crime?","Assumptions about offenders."

"What is labelling theory?","Being labelled affects behaviour."

"What is deviance?","Behaviour that breaks norms."

"What is social control?","Regulating behaviour."

"What is crime prevention?","Reducing crime rates."

"What is situational crime prevention?","Reducing opportunities for crime."

"What is surveillance?","Monitoring behaviour."

"What is deterrence theory?","Punishment prevents crime."

"What is rehabilitation approach?","Changing offender behaviour."

"What is justice system?","System dealing with crime."

"What is law enforcement?","Police enforcing laws."

"What is court system?","Legal decision-making process."

"What is sentencing?","Deciding punishment."

"What is parole?","Conditional release."

"What is probation?","Supervised release."

"What is offender treatment?","Programmes to reduce crime."

"What is risk assessment?","Evaluating likelihood of reoffending."

"What is criminal justice system?","Institutions handling crime."

"What is offender behaviour?","Actions of criminals."

"What is crime rate?","Number of crimes in area."

"What is social factors in crime?","Environmental influences."

"What is biological factors in crime?","Genetic or brain influences."

"What is psychological factors in crime?","Cognitive and emotional influences."
