"front","back"
"What is data representation?","How data is stored in binary form"
"What is binary?","Base 2 number system using 0 and 1"
"What is denary?","Base 10 number system"
"What is hexadecimal?","Base 16 number system"
"What are binary digits called?","Bits"
"What is a nibble?","4 bits"
"What is a byte?","8 bits"
"What is a kilobyte?","1024 bytes"
"What is a megabyte?","1024 kilobytes"
"What is a gigabyte?","1024 megabytes"
"What is binary place value?","Value of each bit position"
"What is binary addition?","Adding binary numbers"
"What is overflow?","Result too large to store"
"What is signed binary?","Binary with positive and negative values"
"What is unsigned binary?","Binary with only positive values"
"What is two’s complement?","Method for representing negatives"
"What is MSB?","Most significant bit"
"What is LSB?","Least significant bit"
"What is character encoding?","Representing text in binary"
"What is ASCII?","7-bit character encoding"
"What is extended ASCII?","8-bit version"
"What is Unicode?","Universal character encoding"
"What is UTF-8?","Variable-length encoding"
"What is bitmap image?","Image made of pixels"
"What is pixel?","Smallest image unit"
"What is resolution?","Number of pixels"
"What is colour depth?","Number of bits per pixel"
"What is image size formula?","Resolution × colour depth"
"What is vector image?","Image using shapes and formulas"
"What is vector advantage?","Scalable without quality loss"
"What is sound sampling?","Measuring sound at intervals"
"What is sample rate?","Samples per second"
"What is bit depth (sound)?","Bits per sample"
"What is audio file size formula?","Sample rate × bit depth × time"
"What is compression?","Reducing file size"
"What is lossy compression?","Data lost permanently"
"What is lossless compression?","No data lost"
"What is run-length encoding?","Compressing repeated data"
"What is Huffman coding?","Variable-length compression"
"What is parity bit?","Error detection bit"
"What is even parity?","Even number of 1s"
"What is odd parity?","Odd number of 1s"
"What is checksum?","Error detection method"
"What is data integrity?","Accuracy of data"
"What is analogue data?","Continuous data"
"What is digital data?","Discrete data"
"What is sampling theorem?","Minimum sample rate rule"
"What is Nyquist rate?","Twice highest frequency"
"What is binary to denary conversion?","Sum of powers of 2"
"What is denary to binary conversion?","Repeated division by 2"
"What is binary to hexadecimal?","Group into 4 bits"
"What is hexadecimal to binary?","Convert each digit to 4 bits"
"What is hexadecimal advantage?","Shorter representation"
"What is colour model RGB?","Red, Green, Blue"
"What is colour depth impact?","More bits = more colours"
"What is resolution impact?","More pixels = clearer image"
"What is file size factor?","Resolution and colour depth"
"What is sampling error?","Loss of detail"
"What is quantisation?","Rounding sample values"
"What is quantisation error?","Difference from original"
"What is sound compression example?","MP3"
"What is image compression example?","JPEG"
"What is lossless example?","PNG"
"What is metadata?","Data about data"
"What is file format?","Structure of file"
"What is bitmap disadvantage?","Large file size"
"What is vector disadvantage?","Not good for photos"
"What is data transmission?","Sending data"
"What is bit rate?","Bits per second"
"What is baud rate?","Signal changes per second"
"What is latency?","Delay in transmission"
"What is bandwidth?","Maximum data transfer rate"
"What is noise?","Interference in signal"
"What is signal attenuation?","Signal weakening"
"What is error detection?","Finding errors"
"What is error correction?","Fixing errors"
"What is parity limitation?","Only detects single errors"
"What is compression trade-off?","Quality vs size"
"What is data redundancy?","Duplicate data"
"What is storage efficiency?","Using less space"
"What is transmission efficiency?","Faster transfer"
"What is digital advantage?","Reliable and precise"
"What is analogue disadvantage?","Noise affects quality"
"What is encoding importance?","Standard communication"
"What is binary image representation?","Pixels in binary"
"What is sound waveform?","Graph of sound"
"What is amplitude?","Volume"
"What is frequency?","Pitch"
"What is sampling accuracy?","Closer to original"
"What is compression ratio?","Original vs compressed size"
"What is bit rate importance?","Determines quality and size"
"What is file size calculation importance?","Exam calculation skill"
"What is overflow example?","Too many bits"
"What is sign bit?","Indicates positive/negative"
"What is floating point?","Stores decimals"
"What is mantissa?","Precision part"
"What is exponent?","Scale part"
"What is normalisation (binary)?","Standardising representation"
"What is precision?","Accuracy of data"
"What is rounding error?","Loss of precision"
"What is truncation?","Cutting off digits"
"What is compression benefit?","Saves storage"
"What is compression drawback?","Quality loss"
"What is streaming?","Continuous data delivery"
"What is buffering?","Temporary storage"
"What is codec?","Encodes/decodes data"
"What is file transfer?","Moving files"
"What is binary advantage?","Simple for computers"
"What is representation limitation?","Finite storage"
"What is digital storage example?","Hard drive"
"What is cloud storage?","Online storage"
"What is encoding standard importance?","Compatibility"
"What is image representation exam focus?","File size calc"
"What is sound representation exam focus?","Sample rate calc"
"What is binary conversion exam focus?","Frequent questions"
"What is a computer system?","Combination of hardware and software"
"What is hardware?","Physical components"
"What is software?","Programs and applications"
"What is CPU?","Central Processing Unit"
"What is ALU?","Performs calculations"
"What is control unit?","Manages operations"
"What are registers?","Small fast storage"
"What is cache?","Fast temporary memory"
"What is RAM?","Volatile memory"
"What is ROM?","Non-volatile memory"
"What is secondary storage?","Permanent storage"
"What is HDD?","Magnetic storage"
"What is SSD?","Flash storage"
"What is optical storage?","CD/DVD"
"What is input device?","Sends data to system"
"What is output device?","Displays results"
"What is embedded system?","Special-purpose computer"
"What is Von Neumann architecture?","Stored program concept"
"What is fetch-decode-execute cycle?","CPU process"
"What is instruction register?","Holds instruction"
"What is program counter?","Tracks next instruction"
"What is MAR?","Memory address register"
"What is MDR?","Memory data register"
"What is clock speed?","Cycles per second"
"What is core?","Processing unit"
"What is multi-core?","Multiple processors"
"What is parallel processing?","Tasks simultaneously"
"What is operating system?","Manages hardware and software"
"What is kernel?","Core of OS"
"What is multitasking?","Running multiple programs"
"What is scheduling?","Managing tasks"
"What is interrupt?","Signal to CPU"
"What is polling?","Checking devices"
"What is virtual memory?","Extends RAM"
"What is paging?","Dividing memory"
"What is file system?","Organising files"
"What is FAT?","File allocation table"
"What is NTFS?","Advanced file system"
"What is device driver?","Controls hardware"
"What is GUI?","Graphical interface"
"What is CLI?","Command line interface"
"What is utility software?","Maintenance tools"
"What is system software?","OS and utilities"
"What is application software?","User programs"
"What is CPU performance factor?","Clock speed, cores, cache"
"What is cache benefit?","Faster access"
"What is RAM limitation?","Volatile"
"What is ROM use?","Firmware"
"What is SSD advantage?","Fast access"
"What is HDD advantage?","Large storage"
"What is OS role?","Manage resources"
"What is interrupt handling?","Respond to signals"
"What is system security?","Protecting system"
"What is virtualisation?","Running multiple OS"
"What is cloud computing?","Remote resources"
"What is distributed system?","Multiple computers"
"What is system optimisation?","Improving performance"
"What is bottleneck?","Slowest component"
"What is system reliability?","Consistent operation"
"What is system scalability?","Handling growth"
