"Front","Back"
"to achieve","erreichen | ein Ziel erreichen"
"achievement","der Erfolg | großen Erfolg haben"
"to improve","verbessern | die Situation verbessern"
"improvement","die Verbesserung | eine deutliche Verbesserung"
"to increase","erhöhen | die Preise erhöhen"
"to decrease","verringern | die Kosten verringern"
"to reduce","reduzieren | den Verbrauch reduzieren"
"to develop","entwickeln | Fähigkeiten entwickeln"
"development","die Entwicklung | nachhaltige Entwicklung"
"to support","unterstützen | eine Initiative unterstützen"
"support","die Unterstützung | Unterstützung leisten"
"to provide","bereitstellen | Dienstleistungen bereitstellen"
"to allow","ermöglichen | es ermöglicht"
"to encourage","fördern | Jugendliche fördern"
"to prevent","verhindern | Probleme verhindern"
"to avoid","vermeiden | Fehler vermeiden"
"to create","schaffen | Arbeitsplätze schaffen"
"to produce","produzieren | Energie produzieren"
"to lead to","führen zu | zum Erfolg führen"
"to result in","führen zu | zu Problemen führen"
"to affect","beeinflussen | die Gesellschaft beeinflussen"
"impact","die Auswirkung | eine große Auswirkung"
"to influence","beeinflussen | Entscheidungen beeinflussen"
"influence","der Einfluss | Einfluss ausüben"
"to require","erfordern | große Anstrengungen erfordern"
"requirement","die Anforderung | Anforderungen erfüllen"
"quality","die Qualität | hohe Qualität"
"to protect","schützen | die Umwelt schützen"
"protection","der Schutz | Umweltschutz"
"to damage","beschädigen | die Umwelt beschädigen"
"damage","der Schaden | großen Schaden verursachen"
"to solve","lösen | ein Problem lösen"
"solution","die Lösung | eine Lösung finden"
"to face","sich stellen | sich Herausforderungen stellen"
"challenge","die Herausforderung | eine große Herausforderung"
"to manage","verwalten | eine Situation verwalten"
"management","das Management | gutes Management"
"skill","die Fähigkeit | berufliche Fähigkeiten"
"experience","die Erfahrung | Erfahrung sammeln"
"to gain experience","Erfahrung sammeln"
"to succeed","erfolgreich sein | im Leben erfolgreich sein"
"success","der Erfolg | Erfolg haben"
"to fail","scheitern | an einer Prüfung scheitern"
"failure","das Scheitern | ein großes Scheitern"
"opportunity","die Gelegenheit | eine Gelegenheit nutzen"
"to take advantage of","nutzen | eine Chance nutzen"
"to benefit from","profitieren von | von etwas profitieren"
"advantage","der Vorteil | ein großer Vorteil"
"disadvantage","der Nachteil | ein großer Nachteil"
"education","die Bildung | das Bildungssystem"
"school","die Schule | staatliche Schule"
"university","die Universität | an die Universität gehen"
"degree","der Abschluss | einen Abschluss machen"
"to study","studieren | an der Universität studieren"
"subject","das Fach | ein Fach studieren"
"to revise","lernen | für Prüfungen lernen"
"exam","die Prüfung | eine Prüfung ablegen"
"to pass","bestehen | eine Prüfung bestehen"
"to fail (exam)","durchfallen | durch die Prüfung durchfallen"
"teacher","der Lehrer | ein qualifizierter Lehrer"
"student","der Schüler | ein motivierter Schüler"
"to learn","lernen | eine Sprache lernen"
"knowledge","das Wissen | Wissen erwerben"
"to teach","unterrichten | Schüler unterrichten"
"lesson","der Unterricht | am Unterricht teilnehmen"
"homework","die Hausaufgaben | Hausaufgaben machen"
"result","das Ergebnis | gute Ergebnisse erzielen"
"mark","die Note | gute Noten bekommen"
"pressure","der Druck | unter Druck stehen"
"stress","der Stress | Stress bewältigen"
"to motivate","motivieren | Schüler motivieren"
"motivation","die Motivation | Motivation steigern"
"to concentrate","sich konzentrieren | sich im Unterricht konzentrieren"
