Front,Back
When was the German Empire created?,1871 after German victory in the Franco Prussian War
Who became the first German Emperor?,Kaiser Wilhelm I
Who was Otto von Bismarck?,The Chancellor who unified Germany
What political system existed in the German Empire?,An authoritarian monarchy with limited parliamentary power
What was the Reichstag?,Germany's elected parliament
Why did the Reichstag have limited power?,The Kaiser and Chancellor controlled government policy
What was Bismarck's Kulturkampf?,A campaign against the influence of the Catholic Church
Why did Bismarck introduce the Kulturkampf?,He feared Catholic loyalty to the Pope over the German state
Why did the Kulturkampf fail?,Catholic resistance strengthened political opposition
What were the Anti Socialist Laws?,Laws banning socialist organisations
Why did Bismarck oppose socialism?,He believed it threatened the stability of the empire
What social reforms did Bismarck introduce?,Health insurance accident insurance and pensions
Why did Bismarck introduce social reforms?,To reduce support for socialism
Who dismissed Bismarck in 1890?,Kaiser Wilhelm II
Why did Wilhelm II dismiss Bismarck?,He wanted to rule personally and change policy
What was Weltpolitik?,Wilhelm II's policy of expanding German global influence
Why did Germany build a large navy?,To challenge British naval dominance
What alliance system existed before World War I?,Two opposing alliances in Europe
Which alliances existed?,The Triple Alliance and the Triple Entente
What event triggered World War I?,The assassination of Archduke Franz Ferdinand
When did World War I begin?,1914
Why did Germany support Austria Hungary?,They were allies in the Triple Alliance
What was the Schlieffen Plan?,Germany's strategy to defeat France quickly
Why did the Schlieffen Plan fail?,Strong resistance and logistical problems
What type of warfare developed on the Western Front?,Trench warfare
Why did the war become a stalemate?,Both sides had strong defensive positions
What happened to Germany's economy during the war?,It suffered shortages and hardship
What was the impact of the British naval blockade?,Food and resources became scarce
What happened during the German Revolution of 1918?,The Kaiser abdicated and Germany became a republic
Who became the first president of the Weimar Republic?,Friedrich Ebert
What was the Weimar Republic?,Germany's democratic government after World War I
What treaty ended World War I?,The Treaty of Versailles
Why was the Treaty of Versailles unpopular in Germany?,It imposed harsh penalties and territorial losses
What was Article 231?,The War Guilt Clause blaming Germany for the war
What economic penalties did Germany face?,Heavy reparations payments
What political problem did the Weimar Republic face?,Opposition from both left and right wing extremists
What was the Spartacist Uprising?,A communist revolt in 1919
Who led the Spartacist Uprising?,Rosa Luxemburg and Karl Liebknecht
How did the government suppress the uprising?,Using the Freikorps paramilitary groups
What was the Kapp Putsch?,A right wing attempt to overthrow the government
When did the Kapp Putsch occur?,1920
Why did the Kapp Putsch fail?,Workers organised a general strike
What caused hyperinflation in 1923?,Germany printed money to pay reparations and striking workers
What was the impact of hyperinflation?,The German currency became nearly worthless
Why did France occupy the Ruhr?,Germany failed to pay reparations
What was passive resistance?,Workers refusing to cooperate with French occupation
Who helped stabilise the economy in 1923?,Gustav Stresemann
What economic reform did Stresemann introduce?,The Rentenmark currency
What was the Dawes Plan?,An agreement reducing reparations payments
When was the Dawes Plan introduced?,1924
What was the impact of the Dawes Plan?,It stabilised Germany's economy
What were the Golden Years?,A period of economic recovery from 1924 to 1929
What cultural developments occurred in the Golden Years?,Growth in art film and literature
Why did the Weimar Republic remain politically unstable?,Coalition governments were weak
What was the Wall Street Crash?,A financial collapse in the United States in 1929
Why did the Wall Street Crash affect Germany?,Germany relied heavily on American loans
What was the impact of the Great Depression?,Mass unemployment and economic crisis
Why did extremist parties gain support?,Economic hardship increased dissatisfaction
What political party gained support in this period?,The Nazi Party
Who led the Nazi Party?,Adolf Hitler
Why did the Nazis gain popularity?,They promised economic recovery and strong leadership
