"Front","Back"
"What is GCSE Media Studies (Eduqas)?","A course that studies how media products are made, used and interpreted."
"What is media language?","The codes and conventions used to create meaning in media products."
"What is media representation?","How people, places and ideas are shown in the media."
"What is media industries?","How media is produced, distributed and regulated."
"What is media audiences?","How audiences are targeted, reached and respond to media."
"What is a media product?","A text such as a film, advert, magazine, website or game."
"What is a media text?","Any media product that can be analysed for meaning."
"What is an encode?","How producers put meaning into a media product."
"What is decode?","How audiences interpret meaning from a media product."
"What is Stuart Hall's reception theory?","Producers encode meanings; audiences decode them in different ways."
"What is a preferred reading?","The meaning the producer wants the audience to accept."
"What is a negotiated reading?","Partly agrees with the preferred meaning but questions some parts."
"What is an oppositional reading?","Rejects the preferred meaning and interprets it differently."
"What is target audience?","The intended group a media product is made for."
"What is audience segmentation?","Dividing audiences by factors like age, gender, lifestyle and income."
"What does demographics mean?","Audience data such as age, gender, class, location."
"What does psychographics mean?","Audience lifestyle, values, attitudes and interests."
"What is the NRS social grade system?","A UK audience class system from A to E."
"What is genre?","A category of media product with typical features."
"What are genre conventions?","Typical features audiences expect in a genre."
"What is a hybrid genre?","A media product that combines genres."
"What is narrative?","The way a story is structured and told."
"What is a linear narrative?","Events are shown in chronological order."
"What is a non-linear narrative?","Story is not told in time order."
"What is a narrative enigma?","A mystery that makes the audience want to keep watching."
"What is a cliffhanger?","An ending that creates suspense and encourages audiences to continue."
"What is a protagonist?","The main character the story follows."
"What is an antagonist?","A character or force opposing the protagonist."
"What is a binary opposition?","A contrast between two opposites, like good and evil."
"What is Todorov's narrative theory?","Equilibrium, disruption, recognition, attempt to repair, new equilibrium."
"What is Levi-Strauss theory in media?","Meaning is created through binary oppositions."
"What is Barthes' theory of codes?","Enigma and action codes help create meaning and narrative."
"What is mise en scene?","Everything in the shot: setting, costume, lighting, props, actors."
"What is cinematography?","Camera work like shot types, angles and movement."
"What is editing?","How shots are arranged to create meaning and pace."
"What is sound in media language?","Music, dialogue and sound effects used to create meaning."
"What is a code?","A sign system used to communicate meaning."
"What is a technical code?","Camera, editing and sound choices."
"What is a symbolic code?","Objects or colours that suggest meanings."
"What is a written code?","Written language such as headlines, captions and slogans."
"What is a convention?","A typical feature of a media form or genre."
"What is intertextuality?","References to other media texts."
"What is a sign?","Something that communicates meaning."
"What is a signifier?","The form of the sign, like an image or word."
"What is a signified?","The concept or meaning behind the sign."
"What is denotation?","The literal meaning of what is shown."
"What is connotation?","The suggested or implied meaning."
"What is anchorage?","Text that guides the meaning of an image."
"What is a stereotype?","An over-simplified idea of a group."
"What is representation?","The way media shows people, groups or ideas."
"What is under-representation?","When a group appears rarely or not at all."
"What is misrepresentation?","When a group is shown inaccurately or unfairly."
"What is selection in representation?","Choosing which aspects to show or hide."
"What is mediation?","Media shaping reality through editing and selection."
"What is ideology?","Beliefs and values shown in media."
"What is hegemonic ideology?","Dominant beliefs presented as normal."
"What is counter-hegemonic ideology?","Beliefs that challenge dominant ideas."
"What is feminism in media?","Ideas about gender equality and representation of women."
"What is patriarchy?","A system where men hold power and women are limited."
"What is postmodernism?","Media that mixes styles, references and questions reality."
"What is a media institution?","An organisation that produces and distributes media."
"What is public service broadcasting?","Media funded to provide information, education and entertainment."
"What is the BBC?","The UK's main public service broadcaster."
"What is commercial media?","Media funded mainly through advertising and profit."
"What is a conglomerate?","A large company that owns many smaller companies."
"What is vertical integration?","One company controls production, distribution and exhibition."
"What is horizontal integration?","One company buys other companies at the same level."
"What is synergy?","Different media products promoting each other."
"What is cross-media convergence?","Media platforms merging, like TV and online streaming."
"What is regulation?","Rules controlling what media can do."
"Who regulates UK TV and radio?","Ofcom."
"What is copyright?","Legal protection for creative work."
"What is a franchise?","A product expanded into sequels, spin-offs and merchandise."
"What is distribution?","How media products reach audiences."
"What is exhibition?","Where and how media products are shown to audiences."
"What is social media?","Online platforms for sharing content and interacting."
"What is user-generated content?","Content made by ordinary users, not institutions."
"What is an influencer?","A social media user who affects audience choices."
"What is an algorithm?","A system that recommends content based on data."
"What is audience fandom?","Active audience communities supporting media products."
"What is participatory culture?","Audiences creating and sharing content."
"What is a prosumer?","Someone who is both producer and consumer."
"What is a moral panic?","Media-driven fear about behaviour threatening society."
"What is hypodermic needle theory?","Media messages injected into passive audiences."
"What is uses and gratifications theory?","Audiences use media for needs like entertainment and information."
"What are the four uses and gratifications?","Diversion, personal relationships, personal identity, surveillance."
"What is cultivation theory?","Long-term media exposure shapes views of reality."
"What is the digital age?","A period where media is largely online and interactive."
"What is convergence?","Different media technologies coming together."
"What is a media platform?","A way to access media, like TV, radio or online."
"What is a teaser trailer?","Short trailer designed to create hype."
"What is a trailer?","A promotional video showing highlights of a film or show."
"What is an advert?","A media product designed to sell or persuade."
"What is a USP?","Unique selling point that makes a product stand out."
"What is brand identity?","The image and values a brand communicates."
"What is a tagline?","A short memorable phrase used in marketing."
"What is a slogan?","A short phrase promoting a brand or campaign."
"What is an endorsement?","A celebrity or influencer supporting a product."
"What is product placement?","A brand shown within a media text."
"What is a call to action?","Text telling the audience what to do next."
"What is a house style?","Consistent design features used across a media brand."
"What is layout?","How elements are arranged on a page or screen."
"What is a masthead?","The title design at the top of a magazine."
"What is a headline?","Main text designed to grab attention."
"What is a subheading?","Smaller heading giving more detail."
"What is a caption?","Text explaining an image."
"What is a cover line?","Text on a magazine cover promoting content."
"What is a pull quote?","A highlighted quote designed to attract attention."
"What is a colour palette?","A set of colours used to create a consistent look."
"What is typography?","The style and appearance of text."
"What is GCSE Media exam tip?","Use correct terminology and link points to the question."

