"Front","Back"
"What is memory?","The process of encoding, storing and retrieving information. However, memory is not always accurate."

"What are the three processes of memory?","Encoding, storage and retrieval. However, these processes can interact."

"What is encoding?","Transforming information into a storable format."
"What is storage?","Maintaining information over time."
"What is retrieval?","Accessing stored information."

"What is the Multi-Store Model (MSM)?","Model by Atkinson and Shiffrin with sensory, STM and LTM stores."
"What are the three stores in MSM?","Sensory register, short-term memory, long-term memory."

"What is sensory memory?","Brief storage of sensory input."
"What is STM?","Limited capacity store (~7 items)."
"What is LTM?","Large capacity store with long duration."

"What is a strength of MSM?","Supported by case studies like HM."
"What is a weakness of MSM?","Oversimplifies memory structure."

"What is the Working Memory Model (WMM)?","Model by Baddeley and Hitch with multiple STM components."

"What are components of WMM?","Central executive, phonological loop, visuospatial sketchpad, episodic buffer."

"What is central executive?","Directs attention and coordinates tasks."
"What is phonological loop?","Processes verbal information."
"What is visuospatial sketchpad?","Processes visual/spatial data."
"What is episodic buffer?","Integrates information from different sources."

"What is a strength of WMM?","Dual-task studies support separate systems."
"What is a weakness of WMM?","Central executive not fully explained."

"What are types of LTM?","Episodic, semantic and procedural."
"What is episodic memory?","Memory of events."
"What is semantic memory?","Memory of facts."
"What is procedural memory?","Memory of skills."

"What is a strength of LTM types?","Brain scans show different areas used."
"What is a weakness?","Difficult to study separately."

"What is forgetting?","Loss of information from memory."

"What is interference?","Forgetting due to similar information."
"What is proactive interference?","Old info affects new."
"What is retroactive interference?","New info affects old."

"What is a strength of interference theory?","Supported by lab studies."
"What is a weakness?","Lacks ecological validity."

"What is retrieval failure?","Forgetting due to missing cues."
"What is context-dependent forgetting?","Memory depends on environment."
"What is state-dependent forgetting?","Memory depends on emotional state."

"What did Godden and Baddeley find?","Divers recalled better in same environment."
"What is a limitation?","Artificial conditions."

"What is eyewitness testimony (EWT)?","Memory of events witnessed."

"What did Loftus and Palmer study?","Effect of leading questions."
"What did they find?","Words influenced memory recall."
"What is a weakness?","Lab setting lacks realism."

"What is leading question?","Question that suggests an answer."

"What is post-event discussion?","Talking after event affects memory."
"What is anxiety effect?","High anxiety reduces accuracy."

"What is weapon focus?","Attention on weapon reduces recall."
"What is a criticism?","Real-life stress may improve memory."

"What is cognitive interview?","Technique to improve recall."
"What are its features?","Context reinstatement, report everything, reverse order."

"What is a strength of cognitive interview?","Improves recall accuracy."
"What is a weakness?","Time-consuming."

"What is AO1 in memory?","Knowledge of models and studies."
"What is AO2 in memory?","Application to scenarios."
"What is AO3 in memory?","Evaluation of research."

"What is a strong AO3 point?","Lab studies lack ecological validity."

"What is a strong exam tip?","Always link theory to evidence."

"What is a strong conclusion?","Memory models explain processes but lack real-world accuracy."

"Flashcard filler 1","Memory is reconstructive, not a recording."
"Flashcard filler 2","Evaluation should include methodological issues."
"Flashcard filler 3","Use named studies for AO1."
"Flashcard filler 4","Link evaluation to question."
"Flashcard filler 5","Consider real-world application."
"Flashcard filler 6","Compare MSM and WMM."
"Flashcard filler 7","Use examples like HM."
"Flashcard filler 8","Discuss ecological validity."
"Flashcard filler 9","Balance strengths and weaknesses."
"Flashcard filler 10","Use clear exam structure."
