"Front","Back"
"What is AO1?","Knowledge and understanding"
"What is AO2?","Application to context"
"What is AO3?","Analysis and evaluation"
"What is command word define?","Give precise meaning"
"What is command word describe?","Give characteristics"
"What is command word explain?","Give reasons why"
"What is command word analyse?","Break down and examine"
"What is command word evaluate?","Make judgement with evidence"
"What is a 1 mark question?","Simple fact recall"
"What is a 2 mark question?","Two points or one explained"
"What is a 4 mark question?","Developed explanation"
"What is a 6 mark question?","Analyse with chains of reasoning"
"What is an 8 mark question?","Detailed analysis"
"What is a 12 mark question?","Balanced analysis"
"What is a 16 mark question?","Evaluation with judgement"
"What is structure for 6 marker?","Point, explain, link"
"What is structure for 8 marker?","Chain analysis with examples"
"What is structure for 16 marker?","For, against, judgement"
"What is AO1 example?","Definition of term"
"What is AO2 example?","Applying to athlete"
"What is AO3 example?","Weighing strengths and weaknesses"
"What is exam technique?","How to answer effectively"
"What is timing strategy?","Managing time in exam"
"What is planning answers?","Structuring before writing"
"What is linking to question?","Answering exact question"
"What is context?","Scenario in question"
"What is case study?","Example scenario"
"What is analysis?","Explaining cause and effect"
"What is evaluation?","Judging importance"
"What is judgement?","Final conclusion"
"What is balanced argument?","Both sides considered"
"What is developed point?","Expanded explanation"
"What is chain of reasoning?","Linked explanation steps"
"What is application skill?","Using knowledge in context"
"What is common mistake?","Not linking to question"
"What is exam pitfall?","Listing without explaining"
"What is overgeneralisation?","Too vague answer"
"What is specificity?","Precise detail"
"What is example use?","Supports point"
"What is evidence?","Supports argument"
"What is justification?","Explaining reasoning"
"What is conclusion?","Final decision"
"What is AJIM?","Answer, justify, it depends, most important"
"What is PEEL?","Point, explain, evidence, link"
"What is PEAL?","Point, explain, analyse, link"
"What is paragraph structure?","Organised writing"
"What is clarity?","Clear explanation"
"What is accuracy?","Correct information"
"What is depth?","Detailed explanation"
"What is breadth?","Range of points"
"What is mark scheme?","Guide for marking"
"What is examiner looking for?","Application and analysis"
"What is high level answer?","Detailed and applied"
"What is low level answer?","Basic and vague"
"What is command words importance?","Directs answer"
"What is key term use?","Improves marks"
"What is subject terminology?","Technical vocabulary"
"What is exam practice?","Practising questions"
"What is revision technique?","Method of studying"
"What is flashcards?","Quick recall tool"
"What is past papers?","Previous exams"
"What is model answer?","Example of high answer"
"What is self-assessment?","Marking own work"
"What is peer assessment?","Marking others"
"What is feedback use?","Improving answers"
"What is improvement?","Better performance"
"What is progression?","Developing skills"
"What is exam confidence?","Belief in ability"
"What is exam anxiety?","Nervousness"
"What is exam preparation?","Getting ready"
"What is planning time?","Time to plan answer"
"What is writing time?","Time to write"
"What is checking time?","Reviewing answers"
"What is time allocation?","Time per question"
"What is reading question?","Understanding question"
"What is highlighting keywords?","Finding key terms"
"What is interpreting question?","Understanding demand"
"What is command word identification?","Recognising task"
"What is context identification?","Understanding scenario"
"What is structuring answer?","Organising response"
"What is paragraphing?","Breaking into sections"
"What is linking sentences?","Connecting ideas"
"What is logical flow?","Clear progression"
"What is argument building?","Developing case"
"What is counter argument?","Opposing view"
"What is weighing up?","Comparing sides"
"What is final judgement?","Deciding outcome"
"What is AO3 skill?","Evaluation"
"What is AO2 skill?","Application"
"What is AO1 skill?","Knowledge"
"What is exam success?","High marks"
"What is grade A answer?","Detailed and applied"
"What is grade C answer?","Basic understanding"
"What is revision plan?","Organised study"
"What is spaced practice?","Studying over time"
"What is retrieval practice?","Testing recall"
"What is interleaving?","Mixing topics"
"What is exam readiness?","Prepared for exam"
"What is exam stamina?","Maintaining focus"
"What is handwriting clarity?","Readable writing"
"What is key phrase use?","Important wording"
"What is direct answer?","Answering question"
"What is irrelevant info?","Not needed"
"What is concise writing?","Clear and brief"
"What is expanded writing?","Detailed explanation"
"What is linking back?","Refer to question"
"What is case study use?","Applying knowledge"
"What is real example?","Sporting example"
"What is athlete example?","Specific performer"
"What is sport example?","Specific sport"
"What is scenario link?","Connect to context"
"What is explanation depth?","Detailed reasoning"
"What is evaluation depth?","Strong judgement"
"What is argument strength?","Quality of reasoning"
"What is justification strength?","Quality of reasoning"
"What is exam technique improvement?","Practice and feedback"
"What is answering fully?","Cover all parts"
"What is missing marks?","Incomplete answer"
"What is over-answering?","Too much detail"
"What is under-answering?","Too little detail"
"What is command word mismatch?","Wrong type of answer"
"What is timing issue?","Running out of time"
"What is rushed answer?","Poor quality"
"What is planned answer?","Structured response"
"What is exam discipline?","Staying focused"
"What is focus?","Attention to task"
"What is distraction?","Loss of focus"
"What is exam mindset?","Mental approach"
"What is positive mindset?","Confidence"
"What is negative mindset?","Doubt"
"What is preparation strategy?","Plan before exam"
"What is last-minute revision?","Final review"
"What is key topic revision?","Important areas"
"What is weak area focus?","Improve weaknesses"
"What is strength area?","Confident topics"
"What is exam checklist?","Things to remember"
"What is reading time use?","Understanding questions"
"What is planning advantage?","Better answers"
"What is structured writing?","Organised response"
"What is exam marking logic?","How marks given"
"What is level descriptors?","Mark bands"
"What is top band answer?","Detailed evaluation"
"What is mid band answer?","Some analysis"
"What is low band answer?","Basic knowledge"
"What is examiner expectation?","Application and depth"
"What is answering technique?","How to respond"
"What is revision consistency?","Regular study"
"What is exam improvement strategy?","Practice and refine"
"What is success strategy?","Apply and evaluate"
