"Front","Back"
"What is organic chemistry?","Study of carbon-containing compounds."
"What is a hydrocarbon?","Compound containing only carbon and hydrogen."

"What is an alkane?","Saturated hydrocarbon with single bonds."
"General formula of alkanes","CnH₂n+2"

"What is combustion of alkanes?","Reaction with oxygen producing CO₂ and H₂O."
"What is incomplete combustion?","Produces CO and carbon."

"What is cracking?","Breaking large hydrocarbons into smaller ones."
"What are conditions for cracking?","High temperature and catalyst."

"What is an alkene?","Unsaturated hydrocarbon with C=C bond."
"General formula of alkenes","CnH₂n"

"What is addition reaction?","Atoms add across double bond."

"What is hydrogenation?","Adding H₂ using Ni catalyst."
"What is halogenation?","Adding halogens like Br₂."
"What is hydration?","Adding water to form alcohol."

"What is polymerisation?","Joining monomers into polymers."

"What is an alcohol?","Compound with –OH group."

"What is oxidation of alcohols?","Gain of oxygen or loss of hydrogen."

"What does primary alcohol oxidise to?","Aldehyde then carboxylic acid."
"What does secondary alcohol oxidise to?","Ketone."
"What does tertiary alcohol do?","No oxidation."

"What is a haloalkane?","Alkane with halogen."

"What is nucleophilic substitution?","Replacement by nucleophile."

"What is hydrolysis?","Reaction with water."

"What is elimination?","Loss of small molecule forming alkene."

"What is a nucleophile?","Electron pair donor."
"What is an electrophile?","Electron pair acceptor."

"What is SN1 mechanism?","Two-step substitution."
"What is SN2 mechanism?","One-step substitution."

"What is addition polymer?","Polymer from alkenes."

"What is condensation polymer?","Polymer formed with small molecule loss."

"What is an aldehyde?","Carbonyl group at end of chain."
"What is a ketone?","Carbonyl group in middle."

"What is a carboxylic acid?","Contains –COOH group."

"What is esterification?","Alcohol + acid → ester + water."

"What is an ester?","Compound with fruity smell."

"What is reflux?","Heating with condenser."

"What is distillation?","Separating liquids by boiling point."

"What is chromatography?","Separates mixtures."

"What is Rf value?","Distance travelled by substance ÷ solvent."

"What is infrared spectroscopy?","Identifies bonds."

"What is NMR?","Shows carbon/hydrogen environments."

"What is a chemical shift?","Position of peak in NMR."

"What is splitting pattern?","Indicates neighbouring hydrogens."

"What is a mechanism?","Step-by-step reaction pathway."

"What is a curly arrow?","Shows electron movement."

"What is homolytic fission?","Equal bond breaking → radicals."
"What is heterolytic fission?","Unequal breaking → ions."

"What is a free radical?","Species with unpaired electron."

"What is substitution reaction?","One atom replaces another."

"What is addition reaction?","Atoms added to molecule."

"What is elimination reaction?","Small molecule removed."

"What is isomerism?","Same formula, different structure."

"What is structural isomer?","Different arrangement of atoms."
"What is stereoisomer?","Same structure, different spatial arrangement."

"What is E/Z isomerism?","Different groups around double bond."

"What is a catalyst in organic chemistry?","Speeds reaction without being used."

"What is a key exam tip?","Learn conditions + reagents."

"What is a common mistake?","Forgetting conditions."

"What is AO1 in organic?","Definitions."
"What is AO2 in organic?","Apply reactions."
"What is AO3 in organic?","Explain mechanisms."

"What is a strong explanation phrase?","Electrons move from nucleophile to electrophile."

"What is biggest exam gain?","Correct mechanisms with arrows."

"What is a strong conclusion tip?","Link structure to reactivity."
