Front,Back
When did Hitler become Chancellor of Germany?,30 January 1933
Who appointed Hitler as Chancellor?,President Paul von Hindenburg
Why did conservative elites support Hitler?,They believed they could control him and use his popularity
What was the Reichstag Fire?,A fire that destroyed the German parliament building in February 1933
Why was the Reichstag Fire significant?,It allowed Hitler to suppress political opposition
What was the Reichstag Fire Decree?,A law suspending civil liberties and allowing arrest of political opponents
Which group was blamed for the Reichstag Fire?,Communists
What was the Enabling Act?,A law allowing Hitler to pass laws without the Reichstag
When was the Enabling Act passed?,March 1933
Why was the Enabling Act important?,It effectively gave Hitler dictatorial powers
What was Gleichschaltung?,The process of coordinating all institutions under Nazi control
What happened to trade unions in 1933?,They were banned and replaced by the German Labour Front
What happened to other political parties?,They were banned making Germany a one party state
What was the Night of the Long Knives?,A purge of Nazi rivals in June 1934
Why did Hitler target the SA?,He feared its growing power and wanted army support
Who led the SA?,Ernst Röhm
What was the result of the Night of the Long Knives?,Hitler strengthened control and gained army loyalty
What happened when Hindenburg died in 1934?,Hitler became Führer
What did the title Führer mean?,Leader combining roles of president and chancellor
What was the SS?,An elite organisation loyal to Hitler
Who led the SS?,Heinrich Himmler
What was the Gestapo?,The secret police enforcing Nazi rule
What were concentration camps?,Detention centres for political opponents and minorities
What was propaganda?,Information used to influence public opinion
Who controlled Nazi propaganda?,Joseph Goebbels
What role did propaganda play?,It promoted Nazi ideology and Hitler's image
What was the Hitler Youth?,An organisation indoctrinating young Germans
What was the League of German Girls?,The female branch of Nazi youth organisations
What was the Nazi ideal for women?,Kinder Küche Kirche meaning children kitchen and church
What was the purpose of the Nuremberg Laws?,To exclude Jews from German citizenship
When were the Nuremberg Laws introduced?,1935
What did the Nuremberg Laws define?,Who was considered Jewish under Nazi racial policy
What was Kristallnacht?,A violent attack on Jewish property and synagogues
When did Kristallnacht occur?,November 1938
Why was Kristallnacht significant?,It marked escalation of persecution of Jews
What was Nazi economic policy?,Reducing unemployment and preparing for war
What public works project created jobs?,The Autobahn highway construction
What was rearmament?,Expanding military forces
Why was rearmament important?,It prepared Germany for war
What was the Four Year Plan?,A programme to prepare Germany for war within four years
Who led the Four Year Plan?,Hermann Göring
What was autarky?,Economic self sufficiency
What was Lebensraum?,The idea that Germany needed more living space
What territory did Hitler annex in 1938?,Austria in the Anschluss
What was the Anschluss?,The union of Germany and Austria
What agreement allowed Germany to annex Sudetenland?,The Munich Agreement
When was the Munich Agreement?,1938
Which countries signed the Munich Agreement?,Britain France Germany and Italy
Why did Britain and France follow appeasement?,They wanted to avoid another war
What event began World War II?,Germany invaded Poland
When did Germany invade Poland?,1 September 1939
Why did Britain and France declare war?,They had guaranteed Poland's independence
What was Blitzkrieg?,A fast military strategy using tanks and aircraft
What countries fell quickly to Germany in 1940?,France Belgium and the Netherlands
What was the Battle of Britain?,An air campaign between Germany and Britain
Why was the Battle of Britain important?,It prevented German invasion of Britain
What was Operation Barbarossa?,Germany's invasion of the Soviet Union
When did Operation Barbarossa begin?,1941
Why was the invasion of the USSR significant?,It opened the Eastern Front
What was the Holocaust?,The systematic genocide of six million Jews
What was the Final Solution?,The Nazi plan to exterminate European Jews
What were extermination camps?,Facilities designed for mass murder
What happened to Germany in 1945?,Germany was defeated by Allied forces
What happened to Hitler in April 1945?,He committed suicide in Berlin
Why did the Nazi regime collapse?,Military defeat economic collapse and Allied invasion
