"Front","Back"
"What is linguistic variation?","Differences in language use depending on region, social group, context or purpose."
"What is accent?","The way words are pronounced depending on geographical or social background."
"What is dialect?","A variety of language including pronunciation, vocabulary and grammar linked to a region."
"What is sociolect?","A variety of language associated with a particular social class or group."
"What is idiolect?","An individual's unique way of using language."
"What is ethnolect?","A variety of language associated with a particular ethnic group."
"What is standard English?","The socially prestigious variety of English used in formal contexts."
"What is non-standard English?","Language forms that differ from standard grammar or pronunciation."
"What is Received Pronunciation (RP)?","An accent historically associated with educated speakers in England."
"What is prestige in language?","The social value attached to particular language varieties."
"What is overt prestige?","Status gained from using socially valued language forms."
"What is covert prestige?","Status gained within a group by using non-standard language."
"What is register?","The level of formality used in language depending on context."
"What is field in language analysis?","The subject matter being discussed."
"What is tenor in language analysis?","The relationship between participants in communication."
"What is mode in language analysis?","The channel of communication such as spoken, written or digital."
"What is pragmatics?","The study of how context influences meaning."
"What is discourse?","Language used in communication beyond individual sentences."
"What is a discourse marker?","A word or phrase that organises speech such as well or so."
"What is deixis?","Words whose meaning depends on context such as here, now, this or that."
"What is hedging?","Language used to reduce certainty or soften statements."
"What is modality?","Language expressing possibility, obligation or certainty."
"What is code-switching?","Switching between language varieties depending on context."
"What is accommodation theory?","The idea that speakers adjust their language in interaction."
"Who developed accommodation theory?","Howard Giles."
"What is convergence?","Adjusting language to become more similar to another speaker."
"What is divergence?","Adjusting language to emphasise differences between speakers."
"What is Labov known for?","Research into language variation and social class."
"What was Labov’s New York department store study?","A study showing pronunciation varies according to social class."
"What is Trudgill known for?","Research into accent and dialect variation in Norwich."
"What did Trudgill find about gender and language?","Women tended to use more standard forms than men."
"What is Bernstein known for?","The theory of restricted and elaborated codes."
"What is restricted code?","A style of speech with shorter, simpler structures linked to shared knowledge."
"What is elaborated code?","A style of speech with more complex grammar and explicit detail."
"What is dialect levelling?","The reduction of regional language differences over time."
"What is accent discrimination?","Judging someone negatively based on their accent."
"What is linguistic discrimination?","Discrimination based on language variety."
"What is language attitude?","Beliefs people hold about particular language varieties."
"What is global English?","The worldwide spread and use of English."
"What are World Englishes?","Different global varieties of English."
"Who developed the Three Circles model?","Braj Kachru."
"What is the inner circle of English?","Countries where English is the first language."
"What is the outer circle of English?","Countries where English has an institutional role."
"What is the expanding circle of English?","Countries where English is used as a foreign language."
"What is lexical variation?","Differences in vocabulary between groups or regions."
"What is phonological variation?","Differences in pronunciation between speakers."
"What is grammatical variation?","Differences in grammar structures across varieties."
"What is semantic variation?","Differences in word meanings across contexts."
"What is context in language analysis?","The situation in which language is used."
"What is audience?","The intended receiver of communication."
"What is purpose?","The reason a text or utterance is produced."
