"Front","Back"
"What is a cell?","The basic structural and functional unit of life."
"What is cell theory?","The theory that all living organisms are made of cells and cells are the basic unit of life."
"What are prokaryotic cells?","Cells that lack a nucleus and membrane-bound organelles."
"What are eukaryotic cells?","Cells that contain a nucleus and membrane-bound organelles."
"What organisms have prokaryotic cells?","Bacteria and archaea."
"What organisms have eukaryotic cells?","Animals, plants, fungi and protists."
"What is the cell membrane?","A selectively permeable barrier surrounding the cell."
"What is the cytoplasm?","The jelly-like substance where metabolic reactions occur."
"What is the nucleus?","The organelle containing genetic material."
"What is chromatin?","DNA combined with proteins in the nucleus."
"What is the nucleolus?","The region of the nucleus where ribosomes are produced."
"What is the function of the nucleus?","To control cell activities and store genetic information."
"What are ribosomes?","Small organelles responsible for protein synthesis."
"What are the two types of ribosomes?","Free ribosomes and bound ribosomes."
"What is rough endoplasmic reticulum (RER)?","A network of membranes with ribosomes attached."
"What is the function of rough ER?","Protein synthesis and transport."
"What is smooth endoplasmic reticulum (SER)?","A network of membranes without ribosomes."
"What is the function of smooth ER?","Lipid synthesis and detoxification."
"What is the Golgi apparatus?","An organelle that modifies and packages proteins."
"What are Golgi vesicles?","Small sacs that transport proteins from the Golgi."
"What are lysosomes?","Organelles containing digestive enzymes."
"What is the function of lysosomes?","Break down waste materials and old organelles."
"What are mitochondria?","Organelles where aerobic respiration occurs."
"What is the function of mitochondria?","ATP production."
"What is the structure of mitochondria?","Double membrane with folded inner membrane called cristae."
"What is the mitochondrial matrix?","The internal fluid containing enzymes."
"What are chloroplasts?","Organelles where photosynthesis occurs."
"What cells contain chloroplasts?","Plant and algal cells."
"What is the structure of chloroplasts?","Double membrane containing thylakoids."
"What are thylakoids?","Membrane structures where light reactions occur."
"What are grana?","Stacks of thylakoids in chloroplasts."
"What is the stroma?","The fluid surrounding thylakoids in chloroplasts."
"What is the cell wall?","A rigid structure surrounding plant cells."
"What is the main component of plant cell walls?","Cellulose."
"What is the vacuole?","A large fluid-filled sac in plant cells."
"What is the function of the vacuole?","Maintains turgor pressure."
"What is the cytoskeleton?","A network of protein filaments supporting cell structure."
"What are microtubules?","Protein filaments involved in transport and structure."
"What are centrioles?","Structures involved in cell division in animal cells."
"What is a plasmid?","A small circular DNA molecule in bacteria."
"What is the bacterial cell wall made of?","Peptidoglycan."
"What is the capsule in bacteria?","A protective outer layer."
"What are flagella?","Structures used for cell movement."
"What is magnification?","How much larger an image appears compared to the real object."
"What is resolution?","The ability to distinguish two close points as separate."
"What is a light microscope?","A microscope using visible light to magnify specimens."
"What is an electron microscope?","A microscope using electron beams for high resolution."
"What are the two types of electron microscopes?","Transmission and scanning electron microscopes."
"What is a transmission electron microscope (TEM)?","A microscope producing detailed internal images."
"What is a scanning electron microscope (SEM)?","A microscope producing 3D surface images."
"What is staining in microscopy?","Adding dyes to increase contrast."
"What is cell fractionation?","The process of separating organelles."
"What are the stages of cell fractionation?","Homogenisation, filtration and centrifugation."
"What is homogenisation?","Breaking cells open to release organelles."
"What is centrifugation?","Spinning samples to separate components."
"What is a pellet in centrifugation?","The solid material collected at the bottom."
"What is the supernatant?","The liquid above the pellet."
"What is differential centrifugation?","Separating organelles based on size."
"What is the function of ribosomes?","Protein synthesis."
"What is the difference between 70S and 80S ribosomes?","70S in prokaryotes, 80S in eukaryotes."
"What is the plasma membrane composed of?","Phospholipid bilayer with proteins."
"What is the fluid mosaic model?","A model describing membrane structure."
"What is the function of membrane proteins?","Transport, receptors and enzymes."
"What is a glycoprotein?","A protein with a carbohydrate attached."
"What is a glycolipid?","A lipid with a carbohydrate attached."
"What is the function of glycoproteins?","Cell recognition and signalling."
"What is cell signalling?","Communication between cells using chemical signals."
"What is compartmentalisation?","Separation of processes within organelles."
"What is the advantage of compartmentalisation?","Increases efficiency of metabolic reactions."
"What is the function of the cytoplasm?","Site of metabolic reactions."
"What is diffusion in cells?","Movement of particles from high to low concentration."
"What is facilitated diffusion?","Movement through membrane proteins."
"What is active transport?","Movement against a concentration gradient using ATP."
"What is osmosis?","Movement of water across a partially permeable membrane."
"What is the surface area to volume ratio?","A measure affecting diffusion efficiency."
"What happens to SA:V ratio as cells grow?","It decreases."
"What is the significance of SA:V ratio?","Limits maximum cell size."
"What is a prokaryotic ribosome size?","70S."
"What is a eukaryotic ribosome size?","80S."
"What is binary fission?","Cell division in prokaryotes."
"What organelle synthesises lipids?","Smooth ER."
"What organelle modifies proteins?","Golgi apparatus."
"What organelle generates ATP?","Mitochondria."
"What organelle performs photosynthesis?","Chloroplast."
"What organelle stores water in plants?","Vacuole."
"What supports plant cells?","Cell wall."
"What organelles are membrane bound?","Nucleus, mitochondria, chloroplasts, ER and Golgi."
"What cells lack membrane-bound organelles?","Prokaryotic cells."
"What is endosymbiosis theory?","Theory explaining origin of mitochondria and chloroplasts."
"What evidence supports endosymbiosis?","Own DNA and double membranes."
"What type of DNA do mitochondria contain?","Circular DNA."
"What type of DNA do chloroplasts contain?","Circular DNA."
"What are plasmodesmata?","Channels connecting plant cells."
"What is the importance of cell membranes?","Control movement of substances."
"What is the function of the cytoskeleton?","Maintains cell shape and movement."
"What is a vesicle?","A small membrane-bound sac for transport."
"What is exocytosis?","Transport of substances out of the cell."
"What is endocytosis?","Transport of substances into the cell."
"What is phagocytosis?","Engulfing large particles into the cell."
"What is pinocytosis?","Engulfing liquids into the cell."
