"Front","Back"
"What is a scalar quantity?","A physical quantity with magnitude only and no direction"
"What is a vector quantity?","A physical quantity with both magnitude and direction"
"Give an example of a scalar quantity","Mass temperature time energy"
"Give an example of a vector quantity","Velocity force displacement acceleration"
"What is an SI base unit?","A fundamental unit from which other units are derived"
"Name the SI base units","Metre kilogram second ampere kelvin mole candela"
"What is a derived unit?","A unit formed from combinations of base units"
"Give an example of a derived unit","Velocity m/s force newton energy joule"
"What is the unit of force","Newton N"
"What is the unit of energy","Joule J"
"What is the unit of power","Watt W"
"What is the unit of charge","Coulomb C"
"What is the unit of potential difference","Volt V"
"What is meant by significant figures","The number of meaningful digits in a value"
"How many significant figures in 0.00450","Three"
"What is an order of magnitude","A factor of 10 difference between values"
"What is a random error","An unpredictable variation in measurements"
"What is a systematic error","A consistent bias in measurements"
"What is precision","How close repeated measurements are to each other"
"What is accuracy","How close a measurement is to the true value"
"What is uncertainty","An estimate of the range within which the true value lies"
"What is absolute uncertainty","The margin of error in a measurement"
"What is percentage uncertainty","The uncertainty expressed as a percentage of the value"
"How do you calculate percentage uncertainty","Uncertainty divided by value times 100"
"What is the uncertainty in a digital reading","Plus or minus the smallest scale division"
"What is the uncertainty in an analogue reading","Plus or minus half the smallest scale division"
"What is resolution","The smallest change a measuring instrument can detect"
"What is repeatability","The ability to obtain consistent results under the same conditions"
"What is reproducibility","The ability to obtain consistent results under different conditions"
"What is an anomaly","A result that does not fit the pattern of other results"
"What should you do with anomalies","Repeat the measurement and justify excluding if necessary"
"What is the mean value","The average of a set of measurements"
"How do you calculate a mean","Sum of values divided by number of values"
"What is a zero error","A systematic error where the instrument does not read zero correctly"
"What is calibration","Adjusting an instrument to ensure accurate measurements"
"What is parallax error","Error caused by viewing a scale at an angle"
"How do you reduce parallax error","Read the scale at eye level"
"What is percentage difference","Difference between two values divided by average times 100"
"What is fractional uncertainty","Absolute uncertainty divided by measured value"
"How do uncertainties combine in addition","Add absolute uncertainties"
"How do uncertainties combine in multiplication","Add percentage uncertainties"
"What is a data point","A single recorded measurement"
"What is a best fit line","A line that best represents the trend in data"
"What is a gradient","The slope of a graph"
"What does gradient represent in physics","A physical relationship between variables"
"What is an intercept","Where a graph crosses an axis"
"What is a linear relationship","A straight-line relationship between variables"
"What is a non-linear relationship","A curved relationship between variables"
"What is a control variable","A variable kept constant during an experiment"
"What is an independent variable","The variable you change"
"What is a dependent variable","The variable you measure"
"What is reliability","The consistency of results over time"
"What is validity","Whether the experiment measures what it is supposed to measure"
"What is a systematic uncertainty example","A ruler with worn edges giving consistent error"
"What is a random uncertainty example","Fluctuations in timing using a stopwatch"
"What is a percentage uncertainty example","Plus or minus 2 percent of the measured value"
"What is meant by data spread","The range of values in measurements"
"What is a large uncertainty","A wide range of possible values"
"What is a small uncertainty","A narrow range of possible values"
"What is resolution limit","The smallest measurable change possible"
"What is instrument error","Error due to limitations of measuring equipment"
"What is human error","Error caused by the person taking measurements"
"What is environmental error","Error caused by external conditions"
"What is a repeat measurement","Measuring the same quantity multiple times"
"What is a valid conclusion","A conclusion supported by data"
"What is experimental error","Difference between measured and true value"
"What is uncertainty notation","Writing values as value plus or minus uncertainty"
"What is percentage error","Difference from true value divided by true value times 100"
"What is a reliable dataset","Data with consistent repeated measurements"
"What is a precise dataset","Data with very small spread"
"What is an accurate dataset","Data close to the true value"
"What is rounding in physics","Adjusting values to appropriate significant figures"
"What is truncation","Cutting off digits without rounding"
"What is data processing","Analysing and calculating results from measurements"
"What is systematic bias","A consistent deviation in one direction"
"What is the purpose of repeats","To improve reliability and calculate mean"
"What is a range","Maximum value minus minimum value"
"What is error bars","Graphical representation of uncertainty"
"What do error bars show","The uncertainty in measurements"
"What is a logarithmic scale","A scale based on powers of 10"
"What is scientific notation","Writing numbers as a value between 1 and 10 times 10 to a power"
"What is 3000 in standard form","3 times 10 to the power of 3"
"What is 0.002 in standard form","2 times 10 to the power of minus 3"

