Front,Back
What is comparative analysis?,Examining similarities and differences between texts
Why do literature exams require comparison?,To test deeper understanding of themes and methods
What should students compare in texts?,Themes characters context and literary techniques
What is a comparative essay?,An essay analysing two or more texts together
Why is comparison important?,It shows understanding of connections between texts
What is a similarity in comparison?,A shared theme idea or technique between texts
What is a difference in comparison?,A contrasting idea or approach between texts
What is a comparative point?,An idea linking two texts together
How can themes be compared?,By analysing how different writers present similar ideas
How can characters be compared?,By examining similarities and contrasts in personality and role
How can context be compared?,By analysing historical and social influences
What is comparative language?,Words used to link ideas such as similarly however and whereas
What does similarly suggest?,A similarity between texts
What does however suggest?,A contrast between ideas
What does whereas suggest?,A difference between texts
What does in contrast suggest?,A clear difference between ideas
What is thematic comparison?,Linking texts through shared themes
What is character comparison?,Comparing the roles or development of characters
What is contextual comparison?,Comparing historical or cultural influences
What is structural comparison?,Comparing how texts are organised
What is language comparison?,Comparing how writers use literary techniques
What is the purpose of linking paragraphs?,To connect ideas between texts
What is a comparative paragraph?,A paragraph discussing both texts together
What should a comparative paragraph include?,Evidence and analysis from both texts
Why is balance important in comparison?,Both texts should be analysed equally
What is writer's intention?,The purpose behind a writer's choices
How can writer's intention be compared?,By examining how authors explore similar ideas differently
What is a shared theme?,An idea explored in multiple texts
What is a contrasting theme?,An idea presented differently in texts
Why do writers present themes differently?,Because of context or purpose
What is the benefit of comparing literature?,It deepens interpretation and understanding
What is an effective comparative sentence?,One that clearly links both texts
What is synthesis in comparison?,Combining ideas from multiple texts
Why should students quote from both texts?,To support comparison with evidence
What is analytical comparison?,Explaining how and why texts are similar or different
Why should students avoid separate paragraphs for each text?,Comparison should be integrated
What is an integrated comparison?,Discussing both texts together
What is a linking phrase?,A phrase connecting ideas between texts
What are examples of linking phrases?,Similarly in contrast however likewise
What is contextual comparison?,Comparing how historical background shapes texts
What is thematic contrast?,When writers explore opposite ideas
Why is evaluation important in comparison?,It shows deeper interpretation
What is a strong comparative argument?,A clear idea supported by evidence from both texts
Why should essays return to the question?,To maintain focus on the argument
What is comparative structure?,Organising essays around shared themes
What is comparative analysis in conclusions?,Summarising key similarities and differences
What is the aim of comparative essays?,To show understanding of literature across texts
What makes a strong comparison?,Clear links detailed evidence and analysis
