"Front","Back"
"What is research methods?","The techniques used to investigate behaviour scientifically."

"What is a hypothesis?","A testable prediction about variables."

"What is an independent variable (IV)?","The variable that is changed by the researcher."

"What is a dependent variable (DV)?","The variable that is measured."

"What is an operationalised variable?","A variable defined in a way that can be measured."

"What is a control variable?","A variable kept constant to ensure fairness."

"What is an extraneous variable?","A variable that may affect the DV."

"What is a confounding variable?","A variable that systematically affects the DV."

"What is a lab experiment?","An experiment conducted in a controlled environment."

"What is a field experiment?","An experiment conducted in a natural setting."

"What is a natural experiment?","An experiment where the IV occurs naturally."

"What is internal validity?","The extent to which results are due to the IV."

"What is external validity?","The extent results can be generalised."

"What is reliability?","The consistency of results."

"What is test-retest reliability?","Repeating a study to check consistency."

"What is inter-observer reliability?","Agreement between observers."

"What is validity?","The accuracy of a measure."

"What is ecological validity?","The extent findings apply to real life."

"What is population validity?","The extent findings apply to wider groups."

"What is mundane realism?","How realistic a task is."

"What is a pilot study?","A small-scale trial study."

"What is a directional hypothesis?","Predicts the direction of results."

"What is a non-directional hypothesis?","Predicts a difference but not direction."

"What is a one-tailed test?","Tests for direction."
"What is a two-tailed test?","Tests for any difference."

"What is sampling?","Selecting participants from a population."

"What is random sampling?","Everyone has equal chance of selection."
"What is opportunity sampling?","Using available participants."
"What is volunteer sampling?","Participants choose to take part."
"What is stratified sampling?","Sample reflects population proportions."

"What is observation?","Watching and recording behaviour."

"What is naturalistic observation?","Observing behaviour in natural setting."
"What is controlled observation?","Observation in structured setting."

"What is participant observation?","Researcher joins group."
"What is non-participant observation?","Researcher observes from outside."

"What is overt observation?","Participants know they are being observed."
"What is covert observation?","Participants do not know."

"What is behavioural category?","Defined behaviour to observe."

"What is time sampling?","Recording behaviour at intervals."
"What is event sampling?","Recording every occurrence."

"What is questionnaire?","Written set of questions."

"What is open question?","Allows free response."
"What is closed question?","Fixed answers provided."

"What is interview?","Verbal questioning method."

"What is structured interview?","Set questions asked."
"What is unstructured interview?","Flexible questions."
"What is semi-structured interview?","Mix of both."

"What is correlation?","A relationship between variables."

"What is positive correlation?","Variables increase together."
"What is negative correlation?","One increases, one decreases."

"What is zero correlation?","No relationship."

"What is correlation coefficient?","A number showing strength of correlation."

"What is case study?","In-depth study of one person or group."

"What is content analysis?","Analysing communication content."

"What is primary data?","Collected first-hand."
"What is secondary data?","Collected by others."

"What is quantitative data?","Numerical data."
"What is qualitative data?","Descriptive data."

"What is descriptive statistics?","Summarising data."

"What is mean?","Average value."
"What is median?","Middle value."
"What is mode?","Most frequent value."

"What is range?","Difference between highest and lowest."

"What is standard deviation?","Measure of spread around mean."

"What is a bar chart?","Graph for categorical data."
"What is a histogram?","Graph for continuous data."

"What is a scattergram?","Graph showing correlation."

"What is inferential statistics?","Drawing conclusions from data."

"What is significance level?","Probability result is due to chance."

"What is p-value?","Probability value."

"What is null hypothesis?","States no effect."

"What is experimental design?","How participants are allocated."

"What is independent groups design?","Different participants in each condition."
"What is repeated measures design?","Same participants in all conditions."
"What is matched pairs design?","Participants matched on variables."

"What is order effects?","Effects of doing tasks in order."

"What is counterbalancing?","Reducing order effects."

"What is randomisation?","Using chance to assign participants."

"What is standardisation?","Keeping procedure consistent."

"What is ethics?","Moral principles in research."

"What is informed consent?","Participants agree to take part."

"What is deception?","Misleading participants."

"What is debrief?","Explaining study after."

"What is confidentiality?","Keeping data private."

"What is protection from harm?","Preventing harm to participants."

"What is right to withdraw?","Participants can leave study."

"What is peer review?","Evaluation by other experts."

"What is replication?","Repeating a study."

"What is objectivity?","Free from bias."

"What is demand characteristics?","Participants change behaviour."

"What is investigator effects?","Researcher influences results."

"What is operationalisation example?","Aggression measured by number of hits."

"What is hypothesis testing?","Testing predictions using data."

"What is significance testing?","Checking if results are meaningful."
