Front,Back
What is characterisation?,The way an author creates and develops a character
What is a protagonist?,The main character in a story
What is an antagonist?,A character who opposes the protagonist
What is a tragic hero?,A noble character whose flaw leads to downfall
What is a character foil?,A character who contrasts another to highlight qualities
What is direct characterisation?,When the narrator directly describes a character
What is indirect characterisation?,When character traits are shown through actions or dialogue
What is motivation in literature?,The reasons behind a character's actions
What is character development?,How a character changes during a text
What is a static character?,A character who does not change
What is a dynamic character?,A character who develops during the story
What is internal conflict?,A struggle within a character's mind
What is external conflict?,A struggle between characters or outside forces
What is a character arc?,The transformation a character undergoes
What is psychological depth?,Complex emotional or mental development in characters
Why do authors develop complex characters?,To create realism and emotional engagement
What role do characters play in themes?,Characters represent and explore themes
What is moral conflict?,A struggle between right and wrong decisions
What is a sympathetic character?,A character the audience feels compassion for
What is an unsympathetic character?,A character the audience dislikes or distrusts
What is a villain?,A character who deliberately harms others
What is a hero?,A character admired for courage or morality
What is ambition in characters?,The desire for success or power
What is jealousy in characters?,Envy leading to destructive actions
What is guilt in characters?,Emotional distress caused by wrongdoing
What is fear in characters?,Anxiety about danger or consequences
What is pride in characters?,A strong sense of self importance
What is insecurity in characters?,Lack of confidence affecting behaviour
What is manipulation?,Controlling others through influence
What is deception?,Misleading others through lies or disguise
What is loyalty?,Faithfulness to people or beliefs
What is betrayal?,Breaking trust or loyalty
What is honour?,Maintaining moral integrity and reputation
What is reputation?,How a character is viewed by society
What is identity?,A character's understanding of themselves
What is isolation?,A character feeling separated from others
What is vulnerability?,A character's emotional weakness
What is resilience?,A character's ability to endure hardship
What is dominance?,Exerting power over others
What is submission?,Yielding power to another character
What is transformation?,Significant change in a character
What is moral downfall?,A character becoming corrupt
What is redemption?,A character seeking forgiveness or change
What is tragic downfall?,The collapse of a character's fortune
What is empathy in literature?,Understanding a character's emotions
Why are characters important in literature?,They drive the plot and reveal themes
How do authors reveal character traits?,Through dialogue actions and thoughts
What is narrative perspective?,The viewpoint through which characters are shown
Why is analysing characters important?,It helps explain themes and meaning in texts
What makes a memorable character?,Complex personality motivations and development
