Front,Back
What is language analysis?,"Explaining how writers use words to create meaning."
What is structure analysis?,"Explaining how texts are organised."
What is inference?,"Reading between the lines."
What is explicit information?,"Information clearly stated."
What is implicit information?,"Information suggested but not directly stated."
What is a metaphor?,"A comparison saying one thing is another."
What is a simile?,"A comparison using like or as."
What is personification?,"Giving human qualities to non human things."
What is pathetic fallacy?,"Weather reflecting mood."
What is alliteration?,"Repetition of initial consonant sounds."
What is sibilance?,"Repetition of s sounds."
What is onomatopoeia?,"Words that imitate sounds."
What is imagery?,"Descriptive language appealing to senses."
What is semantic field?,"Group of related words."
What is tone?,"Writer's attitude towards subject."
What is mood?,"Atmosphere created for reader."
What is juxtaposition?,"Placing contrasting ideas together."
What is contrast?,"Showing differences."
What is irony?,"Opposite of expectation."
What is hyperbole?,"Exaggeration for effect."
What is rhetorical question?,"Question asked for effect."
What is repetition?,"Repeating words or phrases."
What is rule of three?,"Three ideas grouped together."
What is direct address?,"Speaking directly to reader."
What is anecdote?,"Short personal story."
What is emotive language?,"Words that create emotion."
What is persuasive language?,"Language designed to influence."
What is bias?,"One sided viewpoint."
What is fact?,"Statement that can be proven."
What is opinion?,"Personal belief or judgement."
What is viewpoint?,"Writer's perspective."
What is audience?,"Who the text is aimed at."
What is purpose?,"Reason the text was written."
What is genre?,"Type of text."
What is register?,"Level of formality."
What is colloquial language?,"Informal everyday speech."
What is formal language?,"Professional structured language."
What is slang?,"Informal words used socially."
What is dialect?,"Regional variety of language."
What is structure shift?,"Change in focus within text."
What is cyclical structure?,"Text ends where it began."
What is flashback?,"Returning to earlier event."
What is cliffhanger?,"Suspenseful ending."
What is exposition?,"Introduction of setting and characters."
What is climax?,"Turning point."
What is resolution?,"Conclusion of text."
What is zooming in?,"Focusing on small detail."
What is zooming out?,"Broad overview."
What is narrative voice?,"Who tells the story."
What is first person?,"Narrator uses I."
What is third person?,"Narrator outside story."
What is unreliable narrator?,"Narrator not fully trustworthy."
What is anecdotal evidence?,"Evidence from personal story."
What is statistic?,"Numerical fact."
What is expert opinion?,"Statement from authority."
What is structural contrast?,"Change between sections."
What is foregrounding?,"Highlighting key idea."
What is motif?,"Recurring idea."
What is symbolism?,"Object representing idea."
What is connotation?,"Implied meaning."
What is denotation?,"Literal meaning."
What is sentence variety?,"Using different sentence types."
What is simple sentence?,"One clause."
What is compound sentence?,"Two main clauses joined."
What is complex sentence?,"Main clause with subordinate clause."
What is fragment?,"Incomplete sentence."
What is minor sentence?,"Very short sentence."
What is paragraph?,"Group of related sentences."
What is topic sentence?,"First sentence introducing idea."
What is cohesive device?,"Words linking ideas."
What is connectives?,"Words joining ideas."
What is persuasive technique?,"Strategy to convince reader."
What is exaggeration?,"Overstatement for effect."
What is inclusive language?,"Using we and us."
What is imperative?,"Command sentence."
What is modal verb?,"Word showing possibility."
What is emotive appeal?,"Appeal to reader feelings."
What is logical appeal?,"Appeal using reasoning."
What is ethical appeal?,"Appeal to credibility."
What is anecdotal hook?,"Opening with story."
What is rhetorical device?,"Technique for effect."
What is satire?,"Humour to criticise."
What is parody?,"Imitation for humour."
What is tone shift?,"Change in attitude."
What is language register shift?,"Change in formality."
What is juxtaposition in writing?,"Placing opposites together."
What is repetition used for?,"Emphasis."
What is anaphora?,"Repetition at beginning."
What is epistrophe?,"Repetition at end."
What is triplet?,"Three related words."
What is extended metaphor?,"Metaphor continued throughout."
What is allusion?,"Reference to something else."
What is rhetorical flourish?,"Dramatic persuasive phrase."
What is persuasive writing?,"Writing to influence."
What is descriptive writing?,"Writing to create imagery."
What is narrative writing?,"Writing telling a story."
What is transactional writing?,"Writing for purpose such as article."
What is article format?,"Headline subheading paragraphs."
What is letter format?,"Address greeting sign off."
What is speech format?,"Direct address and rhetorical devices."
What is report format?,"Formal structured layout."
What is headline?,"Title of article."
What is subheading?,"Secondary title."
What is evaluation?,"Judging effectiveness."
What is analysis?,"Breaking down techniques."
What is comparison?,"Identifying similarities and differences."
What is summary question?,"Condensing key information."
What is structure question?,"Analysing organisation."
What is language question?,"Analysing word choice."
What is evaluation question?,"Assessing viewpoint."
What is command word?,"Instruction in question."
What does analyse mean?,"Examine in detail."
What does evaluate mean?,"Judge effectiveness."
What does compare mean?,"Identify similarities and differences."
What does explain mean?,"Give reasons."
What does describe mean?,"Give detailed account."
What is cohesion?,"Linking ideas smoothly."
What is lexical choice?,"Word choice."
What is semantic field of fear?,"Words linked to fear."
What is pathetic fallacy effect?,"Creates mood."
What is sensory language?,"Appeals to senses."
What is figurative language?,"Language beyond literal meaning."
What is dynamic verb?,"Strong action verb."
What is adjective?,"Describing word."
What is adverb?,"Word describing verb."
What is noun?,"Naming word."
What is verb?,"Action word."
What is preposition?,"Shows position."
What is conjunction?,"Joins clauses."
What is punctuation for emphasis?,"Using dashes and exclamation."
What is colon used for?,"Introducing explanation."
What is semicolon used for?,"Linking related clauses."
What is dash used for?,"Interrupting thought."
What is ellipsis used for?,"Showing pause or omission."
What is question mark used for?,"Ending a question."
What is exclamation mark used for?,"Showing strong emotion."
What is apostrophe used for?,"Possession or contraction."
What is comma used for?,"Separating clauses."
What is full stop used for?,"Ending sentence."
What is paragraphing used for?,"Organising ideas."
What is contrast in structure?,"Shift in focus."
What is cyclical ending?,"Ending linking to beginning."
What is climax in narrative?,"High point of tension."
What is rising action?,"Events building tension."
What is falling action?,"Events after climax."
What is resolution in narrative?,"Problem solved."
What is setting?,"Where story takes place."
What is characterisation?,"How writer presents character."
What is dialogue?,"Conversation between characters."
What is monologue?,"One character speaking."
What is pathetic fallacy purpose?,"Enhances mood."
What is persuasive slogan?,"Memorable persuasive phrase."
What is emotive adjective?,"Adjective creating emotion."
What is rhetorical repetition?,"Repeating for impact."
What is counter argument?,"Opposing viewpoint."
What is rebuttal?,"Responding to counter argument."
What is audience positioning?,"Guiding reader response."
What is structural contrast?,"Shift between calm and chaos."
What is thematic focus?,"Central idea."
What is narrative perspective?,"Point of view."
What is writer intention?,"What writer aims to achieve."

