"Front","Back"
"What is health?","A state of complete physical, mental and social wellbeing"
"What is fitness?","Ability to meet demands of environment"
"What is lifestyle?","Way a person lives"
"What is sedentary lifestyle?","Little or no physical activity"
"What is active lifestyle?","Regular physical activity"
"What is wellbeing?","Overall quality of life"
"What is physical health?","Condition of the body"
"What is mental health?","Emotional and psychological wellbeing"
"What is social health?","Ability to interact with others"
"What is obesity?","Excess body fat"
"What is overweight?","Above healthy weight"
"What is underweight?","Below healthy weight"
"What is BMI?","Body mass index"
"What is BMI used for?","Assess weight category"
"What is energy balance?","Calories in vs calories out"
"What is calorie surplus?","More intake than use"
"What is calorie deficit?","Less intake than use"
"What is metabolism?","Chemical processes in body"
"What is BMR?","Basal metabolic rate"
"What is diet?","Food consumed"
"What is balanced diet?","Correct nutrient proportions"
"What is nutrition?","Process of obtaining nutrients"
"What are macronutrients?","Carbs, protein, fats"
"What are micronutrients?","Vitamins and minerals"
"What is hydration?","Maintaining fluid levels"
"What is dehydration?","Loss of fluids"
"What is overhydration?","Too much fluid"
"What is alcohol?","Depressant substance"
"What is smoking?","Inhaling tobacco smoke"
"What is drugs?","Substances affecting body"
"What is stress?","Response to demands"
"What is anxiety?","Feeling of worry"
"What is depression?","Low mood disorder"
"What is sleep?","Resting state"
"What is sleep importance?","Recovery and repair"
"What is fatigue?","Extreme tiredness"
"What is recovery?","Return to normal state"
"What is exercise?","Planned physical activity"
"What is physical activity?","Any body movement"
"What is fitness components?","Parts of fitness"
"What is cardiovascular fitness?","Heart and lung efficiency"
"What is muscular strength?","Maximum force"
"What is muscular endurance?","Sustained contractions"
"What is flexibility?","Range of motion"
"What is body composition?","Fat vs lean mass"
"What is health risks?","Factors harming health"
"What is CHD?","Coronary heart disease"
"What is diabetes?","Blood sugar disorder"
"What is hypertension?","High blood pressure"
"What is cancer?","Uncontrolled cell growth"
"What is osteoporosis?","Weak bones"
"What is lifestyle diseases?","Diseases from habits"
"What is risk factors?","Things increasing risk"
"What is genetic factors?","Inherited traits"
"What is environmental factors?","External influences"
"What is socio-economic factors?","Income and education"
"What is access to facilities?","Availability of sport"
"What is barriers to participation?","Obstacles to activity"
"What is cost barrier?","Expense limiting access"
"What is time barrier?","Lack of time"
"What is motivation barrier?","Lack of drive"
"What is cultural barrier?","Social norms"
"What is gender barrier?","Inequality in access"
"What is disability barrier?","Physical limitations"
"What is age barrier?","Age-related limits"
"What is family influence?","Impact of family"
"What is peer influence?","Impact of friends"
"What is media influence?","Impact of media"
"What is role models?","Influential figures"
"What is promotion of activity?","Encouraging exercise"
"What is government initiatives?","Policies promoting health"
"What is NHS campaigns?","Health promotion"
"What is 5-a-day?","Fruit and veg guideline"
"What is physical activity guidelines?","Recommended exercise levels"
"What is 150 minutes rule?","Weekly activity target"
"What is sedentary behaviour?","Inactive behaviour"
"What is active travel?","Walking or cycling"
"What is workplace activity?","Exercise at work"
"What is school activity?","PE and sport"
"What is community sport?","Local participation"
"What is elite sport?","High-level competition"
"What is participation rates?","Number involved"
"What is drop-out?","Stopping activity"
"What is adherence?","Continuing activity"
"What is motivation?","Drive to act"
"What is intrinsic motivation?","Internal drive"
"What is extrinsic motivation?","External rewards"
"What is goal setting?","Setting targets"
"What is SMART goals?","Specific measurable achievable realistic time-bound"
"What is behaviour change?","Altering habits"
"What is habit formation?","Creating routines"
"What is lifestyle change?","Improving habits"
"What is intervention?","Action to improve health"
"What is screening?","Checking health"
"What is prevention?","Stopping disease"
"What is treatment?","Managing illness"
"What is rehabilitation?","Recovery process"
"What is fitness testing?","Measuring fitness"
"What is reliability?","Consistency"
"What is validity?","Accuracy"
"What is protocol?","Testing procedure"
"What is heart rate?","Beats per minute"
"What is resting heart rate?","Heart rate at rest"
"What is recovery rate?","Speed of recovery"
"What is VO2 max?","Max oxygen uptake"
"What is lactate threshold?","Lactic acid build-up point"
"What is exercise intensity?","How hard exercise is"
"What is exercise frequency?","How often"
"What is exercise duration?","How long"
"What is exercise type?","Kind of activity"
"What is training principles?","Rules of training"
"What is overload?","Training harder"
"What is progression?","Gradual increase"
"What is specificity?","Relevant training"
"What is reversibility?","Fitness lost"
"What is moderation?","Avoid extremes"
"What is warm-up?","Prepare body"
"What is cool-down?","Gradual recovery"
"What is stretching?","Improving flexibility"
"What is injury?","Damage to body"
"What is sprain?","Ligament injury"
"What is strain?","Muscle injury"
"What is fracture?","Broken bone"
"What is dislocation?","Bone out of place"
"What is injury prevention?","Reducing risk"
"What is safety?","Avoiding harm"
"What is equipment safety?","Safe use of kit"
"What is environment safety?","Safe surroundings"
"What is rules importance?","Prevent injury"
"What is hydration importance?","Maintains performance"
"What is diet importance?","Supports health"
"What is sleep importance?","Recovery"
"What is stress management?","Reducing stress"
"What is relaxation?","Reducing tension"
"What is mindfulness?","Being present"
"What is breathing techniques?","Control breathing"
"What is mental health support?","Help for wellbeing"
"What is counselling?","Talking therapy"
"What is support networks?","Friends and family"
"What is self-esteem?","Confidence in self"
"What is confidence?","Belief in ability"
"What is resilience?","Ability to cope"
"What is coping strategies?","Managing stress"
"What is time management?","Organising time"
"What is work-life balance?","Balancing responsibilities"
"What is screen time?","Time on devices"
"What is digital wellbeing?","Healthy tech use"
"What is addiction?","Dependence on activity"
"What is healthy habits?","Positive routines"
"What is unhealthy habits?","Negative routines"
"What is lifestyle choices?","Decisions affecting health"
"What is personal responsibility?","Taking control"
"What is health promotion?","Encouraging health"
"What is public health?","Population health"
"What is life expectancy?","Average lifespan"
"What is quality of life?","Level of wellbeing"
"What is morbidity?","Illness levels"
"What is mortality?","Death rates"
"What is epidemiology?","Study of disease"
"What is prevention strategies?","Reducing risk"
"What is vaccination?","Disease prevention"
"What is hygiene?","Cleanliness"
"What is sanitation?","Clean environment"
"What is access to healthcare?","Availability of services"
"What is inequality?","Differences in access"
"What is social determinants?","Factors affecting health"
"What is education impact?","Knowledge affects health"
"What is income impact?","Wealth affects health"
"What is employment impact?","Job affects health"
"What is housing impact?","Living conditions"
"What is environment impact?","Surroundings"
"What is pollution?","Environmental damage"
"What is climate impact?","Weather effects"
"What is sustainable lifestyle?","Eco-friendly living"
"What is active lifestyle benefits?","Improved health"
"What is exercise benefits?","Physical and mental gains"
"What is fitness benefits?","Improved ability"
"What is health benefits?","Reduced disease risk"
"What is long-term health?","Future wellbeing"
"What is lifestyle improvement?","Better habits"
"What is behaviour change models?","Theories of change"
"What is transtheoretical model?","Stages of change"
"What is pre-contemplation?","Not considering change"
"What is contemplation?","Thinking about change"
"What is preparation?","Planning change"
"What is action?","Making change"
"What is maintenance?","Sustaining change"
"What is relapse?","Returning to old habits"
