"Front","Back"
"What is homeostasis?","Maintenance of a stable internal environment."
"Why is homeostasis important?","Ensures optimal conditions for enzyme activity."
"What factors are regulated by homeostasis?","Temperature, blood glucose and water balance."
"What is negative feedback?","A control mechanism that reverses a change."
"What is a hormone?","A chemical messenger transported in blood."
"What system controls hormone release?","Endocrine system."
"What is the endocrine system?","System of glands releasing hormones."
"What is a target cell?","A cell with receptors for a specific hormone."
"What determines hormone specificity?","Receptors on target cells."
"What gland controls many endocrine glands?","Pituitary gland."
"What is the pituitary gland known as?","The master gland."
"What hormone stimulates thyroid gland?","TSH (thyroid stimulating hormone)."
"What hormone controls metabolic rate?","Thyroxine."
"What gland produces thyroxine?","Thyroid gland."
"What mineral is required to produce thyroxine?","Iodine."
"What effect does thyroxine have?","Increases metabolic rate."
"What is the pancreas?","Gland regulating blood glucose."
"What hormone lowers blood glucose?","Insulin."
"What hormone raises blood glucose?","Glucagon."
"What cells produce insulin?","Beta cells."
"What cells produce glucagon?","Alpha cells."
"What happens when blood glucose rises?","Insulin is released."
"What does insulin do?","Stimulates glucose uptake by cells."
"What process converts glucose to glycogen?","Glycogenesis."
"What organ stores glycogen?","Liver."
"What happens when blood glucose falls?","Glucagon is released."
"What does glucagon do?","Converts glycogen to glucose."
"What process breaks glycogen into glucose?","Glycogenolysis."
"What is gluconeogenesis?","Formation of glucose from non-carbohydrates."
"What condition results from insulin deficiency?","Diabetes."
"What is type 1 diabetes?","Autoimmune destruction of beta cells."
"What is type 2 diabetes?","Reduced response to insulin."
"What is hyperglycaemia?","High blood glucose."
"What is hypoglycaemia?","Low blood glucose."
"What organ regulates water balance?","Kidneys."
"What hormone controls water balance?","ADH."
"What does ADH stand for?","Antidiuretic hormone."
"What gland releases ADH?","Pituitary gland."
"What organ detects water balance changes?","Hypothalamus."
"What happens when blood water potential falls?","More ADH is released."
"What effect does ADH have?","Increases water reabsorption in kidneys."
"What happens when blood water potential rises?","Less ADH released."
"What is osmoregulation?","Control of water balance."
"What part of kidney responds to ADH?","Collecting duct."
"What is thermoregulation?","Control of body temperature."
"What organ regulates body temperature?","Hypothalamus."
"What is normal human body temperature?","About 37°C."
"What happens when body temperature rises?","Vasodilation and sweating."
"What is vasodilation?","Widening of blood vessels."
"What effect does vasodilation have?","Increases heat loss."
"What happens when body temperature falls?","Vasoconstriction and shivering."
"What is vasoconstriction?","Narrowing of blood vessels."
"What effect does vasoconstriction have?","Reduces heat loss."
"What is shivering?","Rapid muscle contractions generating heat."
"What is sweating?","Evaporation of sweat cooling the body."
"What are thermoreceptors?","Temperature receptors in skin."
"What is the role of skin in thermoregulation?","Controls heat loss."
"What is the adrenal gland?","Endocrine gland producing adrenaline."
"What hormone prepares body for stress?","Adrenaline."
"What is the fight or flight response?","Body's rapid response to danger."
"What effects does adrenaline have?","Increases heart rate and blood glucose."
"What organ releases adrenaline?","Adrenal gland."
"What hormone controls reproductive cycle?","Oestrogen and progesterone."
"What gland releases reproductive hormones?","Ovaries."
"What hormone stimulates ovulation?","Luteinising hormone."
"What does LH stand for?","Luteinising hormone."
"What hormone stimulates egg development?","FSH."
"What does FSH stand for?","Follicle stimulating hormone."
"What hormone thickens uterine lining?","Progesterone."
"What hormone repairs uterine lining?","Oestrogen."
"What is the menstrual cycle?","Monthly cycle preparing uterus for pregnancy."
"What process releases an egg from ovary?","Ovulation."
"What day typically does ovulation occur?","Around day 14."
"What role does progesterone play?","Maintains uterine lining."
"What happens if fertilisation does not occur?","Hormone levels fall and menstruation occurs."
"What is hormonal contraception?","Use of hormones to prevent pregnancy."
"What does the contraceptive pill contain?","Synthetic oestrogen and progesterone."
"What is the overall aim of homeostasis?","Maintain stable internal conditions."
