Front,Back
"What is liberalism?","A political ideology focused on individual freedom and rights."
"What is individualism?","The belief that the individual is the most important unit in society."
"What is freedom?","The ability to act without unnecessary restriction."
"What is negative freedom?","Freedom from interference."
"What is positive freedom?","Freedom to achieve one's potential."
"What is rationalism?","The belief that humans can use reason to make decisions."
"What is the state according to liberals?","A necessary institution to protect rights and freedoms."
"What is limited government?","Government with restricted powers."
"What is classical liberalism?","An early form of liberalism favouring minimal state intervention."
"What is modern liberalism?","A form of liberalism supporting state help to ensure opportunity."
"What is laissez-faire capitalism?","An economic system with little government intervention."
"What is social welfare?","Government support for citizens' wellbeing."
"Who was John Locke?","A liberal thinker who argued for natural rights and limited government."
"What are natural rights?","Rights people are born with, such as life, liberty and property."
"Who was John Stuart Mill?","A liberal thinker associated with liberty and individuality."
"What is the harm principle?","People should be free unless harming others."
"Who was Mary Wollstonecraft?","A liberal thinker advocating women's equality."
"What is equality of opportunity?","Everyone having the same chances in life."
"What is toleration?","Accepting differing beliefs and lifestyles."
"What is constitutionalism?","Government limited by laws and a constitution."
"What is conservatism?","A political ideology supporting tradition, authority and gradual change."
"What is tradition?","Long-established customs and practices."
"What is pragmatism?","Dealing with issues practically rather than ideologically."
"What is paternalism?","Authority acting in the best interests of people."
"What is hierarchy?","A structured society with different levels of authority."
"What is authority?","The right to exercise power."
"What is human imperfection?","The conservative belief that humans are flawed."
"What is organic society?","The idea society develops naturally like a living organism."
"What is One Nation conservatism?","A conservative tradition supporting social cohesion and welfare."
"What is the New Right?","A conservative movement supporting free markets and strong authority."
"What is neoliberalism?","Support for free markets and limited state intervention."
"What is neoconservatism?","Support for traditional values and strong law and order."
"Who was Edmund Burke?","A conservative thinker supporting tradition and gradual change."
"What did Burke believe about society?","Society is shaped by experience and tradition."
"Who was Thomas Hobbes?","A thinker who believed strong authority prevents chaos."
"What is atomism?","The belief individuals exist independently from society."
"Who was Ayn Rand?","A thinker associated with individualism and free-market capitalism."
"Who was Margaret Thatcher?","A Conservative Prime Minister linked to the New Right."
"What is socialism?","A political ideology focused on equality and collective ownership."
"What is equality?","The idea people should have equal status or opportunities."
"What is social class?","Groups based on economic and social position."
"What is collectivism?","Prioritising the group over the individual."
"What is common ownership?","Ownership shared by society rather than individuals."
"What is cooperation?","Working together for mutual benefit."
"What is social justice?","Fair distribution of wealth and opportunities."
"What is fundamental socialism?","A form of socialism seeking major economic change."
"What is social democracy?","A moderate form of socialism supporting reform within capitalism."
"What is revisionist socialism?","Socialism adapted to modern democratic society."
"What is Marxism?","A socialist theory based on class struggle and revolution."
"What is revolution?","The overthrow of an existing political system."
"What is reform?","Gradual change within the existing system."
"Who was Karl Marx?","A socialist thinker who developed Marxism."
"What is historical materialism?","Marx's theory that history is driven by economic forces."
"What is alienation?","Workers becoming disconnected from their labour."
"What is proletariat?","The working class."
"What is bourgeoisie?","The capitalist class owning production."
"What is class consciousness?","Awareness of shared class interests."
"What is communism?","A classless society with common ownership."
"Who was Friedrich Engels?","A socialist thinker who collaborated with Karl Marx."
"Who was Anthony Crosland?","A social democrat who supported equality through reform."
"What is redistribution?","Government transfer of wealth to reduce inequality."
"What is the mixed economy?","An economy combining private and state ownership."
"What is welfare capitalism?","Capitalism combined with welfare policies."
"What is meritocracy?","Advancement based on ability and effort."
"What is capitalism?","An economic system based on private ownership and profit."
"What is economic equality?","Reducing differences in wealth and income."
"What is social equality?","Equal treatment and opportunities in society."
"What is positive discrimination?","Policies favouring disadvantaged groups."
"What is ideological overlap?","When ideologies share similar ideas."
"What is the difference between classical and modern liberalism?","Classical liberals favour minimal state intervention, while modern liberals support welfare provision."
"What is the difference between One Nation conservatism and the New Right?","One Nation supports social welfare, while the New Right prioritises free markets."
"What is the difference between fundamental socialism and social democracy?","Fundamental socialism seeks major economic change, while social democracy supports gradual reform."
"What is the social contract?","An agreement between citizens and the state."
"What is paternalistic conservatism?","Conservatives supporting welfare to maintain stability."
"What is libertarianism?","An ideology prioritising maximum individual freedom."
"What is the free market?","An economy with limited government intervention."
"What is state intervention?","Government involvement in the economy or society."
"What is the welfare state?","Government systems providing social support."
"What is human nature according to liberals?","Humans are rational and self-interested."
"What is human nature according to conservatives?","Humans are imperfect and need authority."
"What is human nature according to socialists?","Humans are cooperative and shaped by society."
