"Front","Back"
"What is ionic bonding?","Electrostatic attraction between oppositely charged ions."
"What is covalent bonding?","Sharing of electron pairs between atoms."
"What is metallic bonding?","Attraction between positive ions and delocalised electrons."

"What is electronegativity?","Ability of an atom to attract electrons in a bond."
"What is a polar bond?","Unequal sharing of electrons."
"What is a non-polar bond?","Equal sharing of electrons."

"What determines bond polarity?","Difference in electronegativity."
"What is the rule for electronegativity difference?","0–0.4 non-polar, 0.4–1.7 polar, >1.7 ionic (approx)."

"What is a dipole?","Separation of charge in a molecule."
"What is a permanent dipole?","Constant uneven charge distribution."

"What are intermolecular forces?","Forces between molecules."
"What are the three main intermolecular forces?","London forces, dipole-dipole, hydrogen bonding."

"What are London dispersion forces?","Temporary dipole attractions."
"What increases London forces?","More electrons / larger molecules."

"What are dipole-dipole forces?","Attraction between polar molecules."
"What is hydrogen bonding?","Strong dipole attraction involving H, N, O or F."

"What are properties of ionic compounds?","High melting point, conduct when molten, soluble."
"What are properties of covalent molecules?","Low melting point, do not conduct."
"What are properties of giant covalent structures?","Very high melting points, hard."

"What is a giant ionic lattice?","Regular arrangement of ions."
"What is a simple molecular structure?","Small covalent molecules."
"What is a giant covalent structure?","Network of covalent bonds."

"What is diamond structure?","Each carbon bonded to 4 others."
"What is graphite structure?","Layers of carbon with delocalised electrons."
"Why does graphite conduct electricity?","Delocalised electrons move freely."

"What is graphene?","Single layer of graphite."
"What is fullerene?","Carbon molecules shaped like spheres."

"What is VSEPR theory?","Predicts shape based on electron repulsion."
"What repels more: bonding or lone pairs?","Lone pairs repel more."

"What is bond angle?","Angle between bonds."

"What is shape of CH₄?","Tetrahedral (109.5°)"
"What is shape of NH₃?","Trigonal pyramidal (107°)"
"What is shape of H₂O?","Bent (104.5°)"
"What is shape of CO₂?","Linear (180°)"
"What is shape of BF₃?","Trigonal planar (120°)"

"What is a lone pair?","Pair of electrons not in bonding."

"What is bond length?","Distance between nuclei of bonded atoms."
"What affects bond length?","Atomic size and bond type."

"What is bond enthalpy?","Energy to break a bond."

"Calculation: Mean bond enthalpy equation","ΔH = bonds broken − bonds formed"

"Calculation: Find ΔH if bonds broken = 500, formed = 650","ΔH = 500 − 650 = -150 kJ/mol"

"What does negative ΔH mean?","Exothermic reaction."
"What does positive ΔH mean?","Endothermic reaction."

"What is lattice energy?","Energy released when ions form a lattice."
"What affects lattice energy?","Charge and size of ions."

"What is solubility?","Ability to dissolve in a solvent."
"What determines solubility?","Polarity (like dissolves like)."

"What is hydrogen bonding effect on boiling point?","Increases boiling point."
"What is trend in boiling points for alkanes?","Increase with chain length."

"What is conductivity in metals?","Movement of delocalised electrons."
"What is conductivity in ionic compounds?","Only when molten or dissolved."

"What is a coordinate bond?","Shared pair of electrons from one atom."

"What is an example of coordinate bond?","NH₄⁺"

"What is bond polarity and shape effect?","Determines overall polarity."

"What is a polar molecule example?","H₂O"
"What is a non-polar molecule example?","CO₂"

"What is intermolecular vs intramolecular forces?","Inter = between molecules, intra = within molecules."

"What is a key exam tip?","Draw shapes clearly with angles."

"What is AO1 in bonding?","Knowledge of definitions."
"What is AO2 in bonding?","Apply to structure and properties."
"What is AO3 in bonding?","Explain trends and evaluate."

"What is a common exam mistake?","Confusing intermolecular with covalent bonds."

"What is a strong evaluation point?","Structure determines properties."
