Front,Back
"What is anarchism?","A political ideology opposing the state and coercive authority."
"What is anti-statism?","Opposition to the existence of the state."
"What is freedom according to anarchists?","Freedom from coercion and authority."
"What is natural goodness?","The belief humans are naturally cooperative."
"What is collectivist anarchism?","Anarchism supporting common ownership and cooperation."
"What is individualist anarchism?","Anarchism prioritising individual liberty."
"What is anarcho-communism?","A form of anarchism supporting collective ownership without a state."
"What is anarcho-capitalism?","A form of anarchism supporting free markets without a state."
"What is mutual aid?","Voluntary cooperation between people."
"What is voluntary association?","People freely choosing groups and relationships."
"What is direct democracy?","People making decisions themselves without representatives."
"What is decentralisation?","Distributing power away from central authority."
"What is autonomy?","Self-government and independence."
"What is hierarchy?","A ranked system of authority."
"What is coercion?","Forcing people to act against their will."
"What is authority?","The right to exercise power over others."
"What is self-management?","Workers controlling their own workplaces."
"What is communal ownership?","Resources owned collectively by communities."
"What is spontaneous order?","Order emerging naturally without central authority."
"What is revolutionary change?","Rapid transformation of society."
"Who was Pierre-Joseph Proudhon?","An anarchist thinker who said 'property is theft'."
"What did Proudhon mean by 'property is theft'?","Private ownership exploits others."
"Who was Mikhail Bakunin?","A revolutionary anarchist thinker opposing the state."
"What did Bakunin believe about the state?","The state corrupts freedom and equality."
"Who was Peter Kropotkin?","An anarchist thinker supporting cooperation and mutual aid."
"What is mutualism?","Exchange based on cooperation and fairness."
"What is syndicalism?","Worker control through trade unions."
"What is anarcho-syndicalism?","Using trade unions to replace capitalism and the state."
"What is civil disobedience?","Peacefully breaking laws to protest injustice."
"What is direct action?","Taking action outside traditional politics."
"What is utopianism?","Belief in creating an ideal society."
"What is anti-clericalism?","Opposition to organised religion's political influence."
"What is anti-capitalism?","Opposition to capitalist economic systems."
"What is individual sovereignty?","The individual having ultimate control over themselves."
"What is libertarianism?","Support for maximum individual freedom."
"What is communal living?","People sharing resources and responsibilities."
"What is the anarchist view of human nature?","Humans are cooperative without authority."
"What is the anarchist critique of the state?","The state relies on coercion and oppression."
"What is social hierarchy?","Structured inequality in society."
"What is anarchist federalism?","Voluntary cooperation between self-governing communities."
"What is consensus decision-making?","Decisions reached through collective agreement."
"What is anti-militarism?","Opposition to military power and war."
"What is anti-authoritarianism?","Opposition to concentrated authority."
"What is workers' control?","Workers managing production themselves."
"What is the anarchist view of law?","Laws often protect authority and inequality."
"What is self-reliance?","Independence from authority or institutions."
"What is anarchist communism?","A stateless society with shared ownership."
"What is egoism?","Prioritising individual self-interest."
"What is free association?","Voluntary cooperation between individuals."
"What is anarchist education?","Learning based on freedom and independence."
