"Front","Back"
"What is normative ethics?","Ethical theories that give rules or principles for how we should act."
"What is meta-ethics?","The study of what moral language means and whether moral statements are true or false."
"What is applied ethics?","Using ethical theories to make judgements about real-life moral issues."
"What is deontological ethics?","Ethics based on duty or rules; actions are right/wrong regardless of consequences."
"What is teleological (consequentialist) ethics?","Ethics where right/wrong depends on outcomes or consequences."
"What is absolutism in ethics?","The view that moral rules are universal and do not change."
"What is relativism in ethics?","The view that moral rules depend on culture, situation or individual."
"What is conscience?","An inner sense of right and wrong (understood differently by different thinkers)."
"What is moral realism?","The view that moral truths exist independently of what people think."
"What is moral anti-realism?","The view that moral ‘truths’ are not objective facts but depend on humans."
"What is Aquinas’ Natural Law?","A deontological theory: moral rules are based on human nature and God’s purpose."
"What is the key aim of Natural Law?","To follow reason to achieve human flourishing and fulfil God’s design."
"What are Aquinas’ Primary Precepts?","Basic moral goods: preserve life, reproduce, educate offspring, live in society, worship God."
"What are Secondary Precepts?","Specific rules derived from primary precepts (e.g., do not murder)."
"What are real goods in Natural Law?","Actions that genuinely help humans flourish in line with reason."
"What are apparent goods in Natural Law?","Things that seem good but do not lead to true flourishing."
"What is the doctrine of double effect?","An action with a good aim may be allowed even if it has an unintended bad side effect."
"What are the conditions of double effect (summary)?","Good act, right intention, bad effect not means to good, proportionate reason."
"What is a strength of Natural Law?","Clear rules and links morality to human purpose and reason."
"What is a criticism of Natural Law?","It can be inflexible and depends on disputed views about human nature and God."
"Why is Natural Law criticised on issues of sexuality?","It often treats non-procreative sex as morally wrong, which many reject as outdated."
"What is Situation Ethics?","Fletcher’s ethical approach: the most loving action is the right action in each situation."
"What is the key principle of Situation Ethics?","Agape (self-giving love) is the only absolute."
"What are Fletcher’s four working principles?","Pragmatism, relativism, positivism, personalism."
"What is pragmatism in Situation Ethics?","A moral action should work in practice to achieve loving outcomes."
"What is relativism in Situation Ethics?","Rules are guidelines, not absolute laws."
"What is positivism in Situation Ethics?","Begin with faith that love is the best guiding principle."
"What is personalism in Situation Ethics?","People come before rules."
"What are Fletcher’s six fundamental principles (summary)?","Only love is good; love is the rule; love and justice same; love wills neighbour’s good; ends justify means; love decides case by case."
"What is a strength of Situation Ethics?","Flexible and focuses on compassion in complex real-life situations."
"What is a criticism of Situation Ethics?","Subjective—people may claim ‘love’ to justify almost anything."
"What is Kantian Ethics?","A deontological theory: morality is based on reason, duty and good will."
"What is the good will in Kant?","The only unconditionally good thing; acting from duty for the right reason."
"What is a hypothetical imperative?","A conditional rule: if you want X, do Y."
