Front,Back
What is finance management?,The process of managing a business’s money and financial decisions.
Why is managing finance important?,It helps businesses remain profitable and financially stable.
What is revenue?,Money earned from sales of goods or services.
What is cost of sales?,The direct costs of producing goods or services.
What is gross profit?,Revenue minus cost of sales.
What is net profit?,Profit remaining after all expenses are deducted.
What is operating profit?,Profit made from normal business activities.
What is income statement?,A financial document showing revenue costs and profit over a period.
What is statement of financial position?,A financial document showing assets liabilities and capital at a specific time.
What is balance sheet?,Another term for statement of financial position.
What are assets?,Items owned by a business with value.
What are current assets?,Assets expected to be converted into cash within one year.
Give one example of a current asset.,Cash or inventory.
What are non-current assets?,Long-term assets used by the business.
Give one example of a non-current asset.,Buildings or machinery.
What are liabilities?,Amounts owed by a business.
What are current liabilities?,Debts due within one year.
Give one example of a current liability.,Trade payables.
What are non-current liabilities?,Debts due after more than one year.
Give one example of a non-current liability.,Long-term bank loans.
What is capital?,Money invested into a business by owners.
What is retained profit?,Profit kept within the business for future use.
Why are retained profits important?,They provide internal finance for growth.
What is depreciation?,The reduction in value of an asset over time.
Why is depreciation included in accounts?,Assets lose value through use and age.
What is cash flow?,Money moving into and out of a business.
Why is cash flow important?,Businesses need enough cash to operate daily.
What is liquidity?,The ability to pay short-term debts.
What is solvency?,The ability to meet long-term debts.
What is profitability?,The ability of a business to generate profit.
What is efficiency?,How effectively a business uses resources.
What is ratio analysis?,Using financial ratios to assess business performance.
Why is ratio analysis useful?,It helps compare performance over time or with competitors.
What is gross profit margin?,Gross profit expressed as a percentage of revenue.
Why is gross profit margin important?,It measures production and pricing efficiency.
What is net profit margin?,Net profit expressed as a percentage of revenue.
Why is net profit margin important?,It measures overall profitability.
What is return on capital employed ROCE?,Operating profit as a percentage of capital employed.
Why is ROCE important?,It measures how effectively capital is used.
What is current ratio?,Current assets divided by current liabilities.
Why is current ratio important?,It measures short-term liquidity.
What is acid test ratio?,Liquidity ratio excluding inventory from current assets.
Why is acid test ratio useful?,It measures immediate ability to pay debts.
What is gearing?,The proportion of debt finance compared to equity.
Why is gearing important?,High debt increases financial risk.
What is high gearing?,A business relying heavily on borrowing.
What is low gearing?,A business relying more on owner investment.
What is inventory turnover?,How quickly inventory is sold and replaced.
Why is inventory turnover important?,Slow turnover may increase storage costs.
What is trade receivables collection period?,Average time customers take to pay.
Why is receivables collection important?,Late payments can harm cash flow.
What is trade payables payment period?,Average time taken to pay suppliers.
Why is payables period important?,It affects supplier relationships and cash flow.
What is working capital?,Current assets minus current liabilities.
Why is working capital important?,It supports day-to-day operations.
What is break-even analysis?,Calculating the point where total revenue equals total costs.
What is contribution?,Selling price minus variable cost per unit.
Why is contribution important?,It helps cover fixed costs and generate profit.
What are fixed costs?,Costs that do not change with output.
Give one example of fixed costs.,Rent or insurance.
What are variable costs?,Costs that change with output.
Give one example of variable costs.,Raw materials.
What is total cost?,Fixed costs plus variable costs.
What is margin of safety?,Difference between actual sales and break-even sales.
Why is margin of safety important?,A larger margin reduces business risk.
What is investment appraisal?,Methods used to assess investment decisions.
What is payback period?,Time taken to recover an investment cost.
What are the advantages of payback?,Simple and focuses on liquidity.
What are the disadvantages of payback?,Ignores profits after payback.
What is average rate of return ARR?,Average annual profit as a percentage of investment.
What are the advantages of ARR?,Measures profitability clearly.
What are the disadvantages of ARR?,Ignores timing of cash flows.
What is net present value NPV?,Future cash flows adjusted for time and interest.
Why is NPV useful?,It considers the time value of money.
What is budget?,A financial plan for future income and spending.
Why are budgets important?,They help control costs and monitor performance.
What is variance analysis?,Comparing actual results with budgeted figures.
What is favourable variance?,Actual results are better than expected.
What is adverse variance?,Actual results are worse than expected.
Why is variance analysis useful?,It helps identify problems quickly.
What is cost control?,Monitoring and reducing business expenses.
Why is cost control important?,It improves profitability.
What is overhead cost?,An ongoing business expense not directly linked to production.
Give one example of overhead cost.,Electricity bills.
What is revenue expenditure?,Spending on day-to-day operations.
What is capital expenditure?,Spending on long-term assets.
Why is capital expenditure important?,It supports future growth and efficiency.
What is financial objective?,A money-related business target.
Give one example of financial objective.,Increasing profit or reducing costs.
What is sales revenue?,Money earned from selling products or services.
How can businesses increase sales revenue?,Increase prices or sell more products.
What is cost reduction?,Lowering business expenses.
Why do businesses reduce costs?,To improve profits and competitiveness.
What is economies of scale?,Cost advantages from increased production.
Why do economies of scale reduce costs?,Fixed costs are spread over more units.
What is diseconomies of scale?,Higher average costs caused by overexpansion.
Why can diseconomies occur?,Communication and coordination become harder.
What is financial risk?,The possibility of losing money.
Why is financial risk important?,Businesses must avoid insolvency or failure.
What is debt finance?,Borrowed money that must be repaid.
What is equity finance?,Money raised through selling shares.
What is shareholder?,A person owning shares in a company.
What is dividend?,A share of profits paid to shareholders.
What is retained earnings?,Another term for retained profits.
What is opportunity cost?,The next best alternative given up.
Why is opportunity cost important?,Choosing one option means losing another opportunity.
What is liquidity problem?,Difficulty paying short-term debts.
How can businesses improve liquidity?,Increase cash inflows or reduce outflows.
What is overtrading?,Growing too quickly without enough finance.
Why is overtrading dangerous?,Cash shortages can occur.
What is financial efficiency?,Using resources effectively to maximise returns.
What is benchmarking?,Comparing business performance with competitors.
Why is benchmarking useful?,It helps identify areas for improvement.
What is financial performance?,How successfully a business manages its finances.
Why do businesses monitor performance?,To improve decisions and achieve objectives.
What is business growth?,An increase in size sales or market share.
Why does growth affect finance?,Expansion often increases costs and investment needs.
What is inflation?,A general rise in prices over time.
How does inflation affect businesses?,Costs and wages may increase.
What is interest rate?,The cost of borrowing money.
How do high interest rates affect businesses?,Borrowing becomes more expensive.
What is taxation?,Money paid to governments by businesses and individuals.
How can taxation affect businesses?,Higher taxes reduce profits.
What is exchange rate?,The value of one currency compared to another.
How can exchange rates affect businesses?,Imports and exports become more or less expensive.
What is financial forecasting?,Predicting future financial performance.
Why is financial forecasting important?,It helps businesses plan ahead.
What is contingency planning?,Preparing for unexpected financial problems.
Why is contingency planning useful?,It reduces risk and improves stability.
What is stakeholder?,A person or group affected by business decisions.
Why are shareholders interested in finance?,They want profits and dividends.
What are lenders interested in?,Whether businesses can repay debts.
What is audit?,An independent check of financial accounts.
Why are audits important?,They improve trust and accuracy.
What is ethical finance?,Managing money responsibly and honestly.
Why is ethical finance important?,It improves trust and reputation.
