"Front","Back"
"What is an atom?","The smallest unit of an element that retains its properties"
"What are the components of an atom","Protons neutrons electrons"
"What is a proton?","A positively charged particle in the nucleus"
"What is a neutron?","A neutral particle in the nucleus"
"What is an electron?","A negatively charged particle orbiting the nucleus"
"What is atomic number?","Number of protons in nucleus"
"What is mass number?","Number of protons and neutrons"
"What is an isotope?","Atoms with same number of protons but different neutrons"
"What is nuclear stability?","Balance between forces in nucleus"
"What is radioactive decay?","Spontaneous emission of radiation"
"What are the types of radiation","Alpha beta gamma"
"What is alpha radiation?","Helium nucleus with 2 protons and 2 neutrons"
"What is beta radiation?","Fast moving electron or positron"
"What is gamma radiation?","High energy electromagnetic wave"
"What is the charge of alpha","Plus 2"
"What is the charge of beta minus","Minus 1"
"What is the charge of gamma","Zero"
"What is ionisation?","Removal of electrons from atoms"
"Which radiation is most ionising","Alpha"
"Which radiation is most penetrating","Gamma"
"What stops alpha radiation","Paper or skin"
"What stops beta radiation","Thin aluminium"
"What stops gamma radiation","Thick lead or concrete"
"What is activity?","Number of decays per second"
"What is the unit of activity","Becquerel Bq"
"What is half life?","Time taken for activity to halve"
"What is decay constant?","Probability of decay per unit time"
"What is the formula for decay","Number equals initial times e to minus lambda t"
"What is the relationship between half life and decay constant","Half life equals ln2 divided by decay constant"
"What is background radiation?","Radiation from environment"
"What are sources of background radiation","Cosmic rays rocks medical sources"
"What is nuclear fission?","Splitting of heavy nucleus"
"What is nuclear fusion?","Joining of light nuclei"
"What is chain reaction?","Self sustaining series of reactions"
"What is critical mass?","Minimum mass for chain reaction"
"What is moderator?","Slows down neutrons"
"What is control rod?","Absorbs neutrons"
"What is nuclear reactor?","Device controlling fission"
"What is mass energy equivalence","Mass can be converted to energy"
"What is the formula for mass energy","Energy equals mass times speed of light squared"
"What is binding energy?","Energy needed to separate nucleus"
"What is binding energy per nucleon","Energy per particle in nucleus"
"What does high binding energy mean","More stable nucleus"
"What is nuclear equation?","Equation showing nuclear changes"
"What must be conserved in nuclear equations","Mass number and charge"
"What is beta minus decay","Neutron becomes proton electron and antineutrino"
"What is beta plus decay","Proton becomes neutron positron and neutrino"
"What is gamma decay","Emission of energy without particle change"
"What is ionising radiation effect","Can damage cells"
"What is radiation dose","Energy absorbed per unit mass"
"What is unit of dose","Gray Gy"
"What is equivalent dose","Dose adjusted for radiation type"
"What is sievert","Unit of equivalent dose"
"What affects radiation risk","Dose exposure time radiation type"
"What is radioactive dating?","Using decay to determine age"
"What is carbon dating?","Dating organic material"
"What is tracer?","Radioactive substance used in medicine"
"What is PET scan?","Imaging using positron emission"
"What is contamination?","Radioactive material on or in object"
"What is irradiation?","Exposure to radiation"
"What is count rate?","Detected decays per second"
"What is random decay?","Unpredictable decay process"
"What is exponential decay?","Decay at rate proportional to amount"
"What is decay graph shape","Exponential curve"
"What is half life from graph","Time for value to halve"
"What is nuclear radius","Size of nucleus"
"What is strong nuclear force","Force holding nucleus together"
"What is weak nuclear force","Responsible for beta decay"
"What is nuclear density","Very high constant density"
"What is safety in radiation","Minimise time maximise distance shielding"
"What is inverse square law in radiation","Intensity decreases with distance squared"
"What is detector of radiation","Geiger Muller tube"
"What is background count correction","Subtract background from readings"
"What is radiation hazard","Potential harm from exposure"
"What is fusion in stars","Source of energy in sun"
"What is energy released in fission","Due to mass defect"
"What is mass defect","Difference between mass and sum of nucleons"
"What is binding energy graph","Shows stability of nuclei"
"What is most stable element region","Around iron"
"What is spontaneous decay","Decay without external influence"
"What is induced fission","Fission caused by neutron"
"What is neutron role in fission","Triggers splitting"
"What is radiation penetration order","Alpha lowest beta medium gamma highest"
"What is energy of gamma radiation","Very high energy photons"
"What is shielding importance","Protects from radiation exposure"
"What is absorbed dose formula","Energy divided by mass"
"What is activity formula","Decay constant times number of nuclei"
"What is nuclear fuel","Material used in reactors"
"What is uranium 235","Common fission fuel"
"What is plutonium 239","Another fission fuel"
"What is fusion fuel","Hydrogen isotopes"
"What is thermonuclear reaction","Fusion at high temperature"
"What is confinement in fusion","Keeping plasma contained"
"What is tokamak?","Fusion reactor design"
"What is radioactive waste","Materials remaining after reactions"
"What is half life importance","Determines how long radiation lasts"

